Datetime,Water Level (m)
1980-01-01,45.01499938964844
1980-01-02,44.77899932861328
1980-01-03,44.742000579833984
1980-01-04,44.64500045776367
1980-01-05,44.21799850463867
1980-01-06,44.00699996948242
1980-01-07,44.17599868774414
1980-01-08,44.06999969482422
1980-01-09,44.290000915527344
1980-01-10,44.321998596191406
1980-01-11,44.0989990234375
1980-01-12,44.47100067138672
1980-01-13,44.6619987487793
1980-01-14,44.11999893188477
1980-01-15,44.48600006103516
1980-01-16,44.57600021362305
1980-01-17,44.48600006103516
1980-01-18,44.323001861572266
1980-01-19,44.15999984741211
1980-01-20,43.92499923706055
1980-01-21,43.89099884033203
1980-01-22,44.06100082397461
1980-01-23,44.1150016784668
1980-01-24,43.90499877929688
1980-01-25,44.14400100708008
1980-01-26,44.08200073242188
1980-01-27,43.125
1980-01-28,43.58599853515625
1980-01-29,43.9119987487793
1980-01-30,43.900001525878906
1980-01-31,43.959999084472656
1980-02-01,43.803001403808594
1980-02-02,43.72200012207031
1980-02-03,43.37099838256836
1980-02-04,43.65599822998047
1980-02-05,43.48099899291992
1980-02-06,43.30199813842773
1980-02-07,43.632999420166016
1980-02-08,43.64599990844727
1980-02-09,43.37799835205078
1980-02-10,43.40499877929688
1980-02-11,42.95800018310547
1980-02-12,43.53400039672852
1980-02-13,43.70000076293945
1980-02-14,43.44300079345703
1980-02-15,43.36199951171875
1980-02-16,43.29399871826172
1980-02-17,43.02899932861328
1980-02-18,42.84099960327149
1980-02-19,43.08700180053711
1980-02-20,43.321998596191406
1980-02-21,43.50899887084961
1980-02-22,43.51399993896485
1980-02-23,43.10599899291992
1980-02-24,42.9010009765625
1980-02-25,42.83700180053711
1980-02-26,43.25
1980-02-27,43.49499893188477
1980-02-28,43.52099990844727
1980-02-29,43.54700088500977
1980-03-01,43.33399963378906
1980-03-02,42.87200164794922
1980-03-03,42.805999755859375
1980-03-04,42.83300018310547
1980-03-05,42.76800155639648
1980-03-06,42.73600006103516
1980-03-07,42.61999893188477
1980-03-08,42.59700012207031
1980-03-09,42.63399887084961
1980-03-10,42.54399871826172
1980-03-11,42.68600082397461
1980-03-12,43.0890007019043
1980-03-13,43.180999755859375
1980-03-14,42.95899963378906
1980-03-15,42.70600128173828
1980-03-16,42.6510009765625
1980-03-17,42.74700164794922
1980-03-18,42.95100021362305
1980-03-19,43.87699890136719
1980-03-20,43.82899856567383
1980-03-21,43.5890007019043
1980-03-22,43.685001373291016
1980-03-23,43.39799880981445
1980-03-24,43.650001525878906
1980-03-25,43.91400146484375
1980-03-26,43.641998291015625
1980-03-27,43.81499862670898
1980-03-28,43.77000045776367
1980-03-29,43.8650016784668
1980-03-30,44.02399826049805
1980-03-31,44.06499862670898
1980-04-01,44.4630012512207
1980-04-02,44.19300079345703
1980-04-03,44.1870002746582
1980-04-04,44.28799819946289
1980-04-05,44.50699996948242
1980-04-06,44.516998291015625
1980-04-07,44.53499984741211
1980-04-08,44.40999984741211
1980-04-09,44.367000579833984
1980-04-10,44.44599914550781
1980-04-11,44.32899856567383
1980-04-12,44.821998596191406
1980-04-13,45.1150016784668
1980-04-14,45.28200149536133
1980-04-15,45.66400146484375
1980-04-16,45.80500030517578
1980-04-17,45.68999862670898
1980-04-18,45.30799865722656
1980-04-19,44.891998291015625
1980-04-20,44.56700134277344
1980-04-21,44.49800109863281
1980-04-22,44.44499969482422
1980-04-23,44.32899856567383
1980-04-24,44.34199905395508
1980-04-25,
1980-04-26,
1980-04-27,
1980-04-28,
1980-04-29,
1980-04-30,
1980-05-01,
1980-05-02,
1980-05-03,
1980-05-04,
1980-05-05,
1980-05-06,
1980-05-07,
1980-05-08,
1980-05-09,
1980-05-10,
1980-05-11,
1980-05-12,
1980-05-13,
1980-05-14,43.73199844360352
1980-05-15,43.81700134277344
1980-05-16,43.83000183105469
1980-05-17,43.71200180053711
1980-05-18,43.58599853515625
1980-05-19,43.53499984741211
1980-05-20,43.52899932861328
1980-05-21,43.51900100708008
1980-05-22,43.479000091552734
1980-05-23,43.41999816894531
1980-05-24,43.29100036621094
1980-05-25,43.05899810791016
1980-05-26,42.99599838256836
1980-05-27,43.25400161743164
1980-05-28,43.0890007019043
1980-05-29,42.96099853515625
1980-05-30,42.82400131225586
1980-05-31,42.38199996948242
1980-06-01,42.19499969482422
1980-06-02,42.4640007019043
1980-06-03,42.5
1980-06-04,42.59700012207031
1980-06-05,42.57600021362305
1980-06-06,42.652000427246094
1980-06-07,42.48799896240234
1980-06-08,42.52099990844727
1980-06-09,42.32699966430664
1980-06-10,42.571998596191406
1980-06-11,42.5620002746582
1980-06-12,42.59400177001953
1980-06-13,42.49499893188477
1980-06-14,42.36399841308594
1980-06-15,42.1259994506836
1980-06-16,42.39699935913086
1980-06-17,42.48600006103516
1980-06-18,42.42399978637695
1980-06-19,42.2140007019043
1980-06-20,42.13100051879883
1980-06-21,42.26300048828125
1980-06-22,42.0260009765625
1980-06-23,42.29299926757813
1980-06-24,42.43999862670898
1980-06-25,42.540000915527344
1980-06-26,42.42699813842773
1980-06-27,42.48400115966797
1980-06-28,42.34600067138672
1980-06-29,42.15700149536133
1980-06-30,42.17100143432617
1980-07-01,42.23899841308594
1980-07-02,42.35100173950195
1980-07-03,42.4379997253418
1980-07-04,42.52000045776367
1980-07-05,42.34099960327149
1980-07-06,42.060001373291016
1980-07-07,42.435001373291016
