Datetime,Water Level (m)
1994-04-01,1.024999976158142
1994-04-02,1.008999943733215
1994-04-03,1.0039999485015871
1994-04-04,1.2480000257492063
1994-04-05,1.7039999961853027
1994-04-06,2.0729999542236333
1994-04-07,2.431999921798706
1994-04-08,2.414999961853028
1994-04-09,2.174000024795532
1994-04-10,1.843999981880188
1994-04-11,1.506999969482422
1994-04-12,1.3329999446868896
1994-04-13,1.3650000095367432
1994-04-14,1.4320000410079956
1994-04-15,1.4290000200271606
1994-04-16,
1994-04-17,
1994-04-18,
1994-04-19,
1994-04-20,
1994-04-21,
1994-04-22,1.4850000143051147
1994-04-23,
1994-04-24,
1994-04-25,
1994-04-26,
1994-04-27,
1994-04-28,
1994-04-29,
1994-04-30,
1994-05-01,
1994-05-02,
1994-05-03,
1994-05-04,
1994-05-05,
1994-05-06,
1994-05-07,
1994-05-08,
1994-05-09,
1994-05-10,
1994-05-11,
1994-05-12,
1994-05-13,
1994-05-14,
1994-05-15,
1994-05-16,
1994-05-17,
1994-05-18,
1994-05-19,1.125
1994-05-20,1.0959999561309814
1994-05-21,1.0759999752044678
1994-05-22,1.0540000200271606
1994-05-23,1.034000039100647
1994-05-24,1.0160000324249268
1994-05-25,1.0360000133514404
1994-05-26,1.1330000162124634
1994-05-27,1.312000036239624
1994-05-28,1.22599995136261
1994-05-29,1.121999979019165
1994-05-30,1.069000005722046
1994-05-31,1.062000036239624
1994-06-01,1.0290000438690186
1994-06-02,1.0260000228881836
1994-06-03,1.0190000534057615
1994-06-04,0.9990000128746032
1994-06-05,0.9789999723434448
1994-06-06,0.968999981880188
1994-06-07,0.9729999899864196
1994-06-08,0.99099999666214
1994-06-09,0.9639999866485596
1994-06-10,0.9359999895095824
1994-06-11,0.9160000085830688
1994-06-12,0.8970000147819519
1994-06-13,0.902999997138977
1994-06-14,0.9100000262260436
1994-06-15,0.9919999837875366
1994-06-16,0.9380000233650208
1994-06-17,0.906000018119812
1994-06-18,0.8870000243186951
1994-06-19,1.0169999599456787
1994-06-20,
1994-06-21,
1994-06-22,
1994-06-23,
1994-06-24,
1994-06-25,
1994-06-26,
1994-06-27,
1994-06-28,
1994-06-29,
1994-06-30,
1994-07-01,
1994-07-02,
1994-07-03,
1994-07-04,
1994-07-05,
1994-07-06,
1994-07-07,
1994-07-08,
1994-07-09,
1994-07-10,
1994-07-11,
1994-07-12,
1994-07-13,
1994-07-14,
1994-07-15,
1994-07-16,
1994-07-17,
1994-07-18,
1994-07-19,
1994-07-20,
1994-07-21,
1994-07-22,
1994-07-23,
1994-07-24,
1994-07-25,
1994-07-26,
1994-07-27,
1994-07-28,
1994-07-29,
1994-07-30,
1994-07-31,
1994-08-01,
1994-08-02,
1994-08-03,
1994-08-04,
1994-08-05,
1994-08-06,
1994-08-07,
1994-08-08,
1994-08-09,
1994-08-10,
1994-08-11,
1994-08-12,
1994-08-13,
1994-08-14,
1994-08-15,
1994-08-16,
1994-08-17,0.7699999809265137
1994-08-18,0.7639999985694885
1994-08-19,0.7580000162124634
1994-08-20,0.7570000290870667
1994-08-21,0.75
1994-08-22,0.777999997138977
1994-08-23,0.7680000066757202
1994-08-24,0.7490000128746033
1994-08-25,0.7369999885559082
1994-08-26,0.7310000061988831
1994-08-27,0.7279999852180481
1994-08-28,0.7229999899864197
1994-08-29,0.7329999804496765
1994-08-30,0.7649999856948853
1994-08-31,0.7440000176429749
1994-09-01,0.7300000190734863
1994-09-02,0.7179999947547913
1994-09-03,0.7139999866485596
1994-09-04,0.7120000123977661
1994-09-05,0.7129999995231628
1994-09-06,0.765999972820282
1994-09-07,0.902999997138977
1994-09-08,0.8429999947547913
1994-09-09,0.7990000247955322
1994-09-10,0.7820000052452087
1994-09-11,0.8289999961853027
1994-09-12,0.859000027179718
1994-09-13,0.8169999718666077
1994-09-14,0.7739999890327454
1994-09-15,0.7570000290870667
1994-09-16,0.7459999918937683
1994-09-17,0.7459999918937683
1994-09-18,0.746999979019165
1994-09-19,0.75
1994-09-20,0.7419999837875366
1994-09-21,0.7300000190734863
1994-09-22,0.7229999899864197
1994-09-23,0.7149999737739563
1994-09-24,0.7059999704360962
1994-09-25,0.7120000123977661
1994-09-26,0.7129999995231628
1994-09-27,0.7149999737739563
1994-09-28,0.7139999866485596
1994-09-29,0.7829999923706055
1994-09-30,0.8330000042915344
1994-10-01,0.8000000119209291
1994-10-02,0.7739999890327454
1994-10-03,0.7490000128746033
1994-10-04,0.7440000176429749
1994-10-05,0.7329999804496765
1994-10-06,0.7269999980926514
1994-10-07,0.7200000286102295
1994-10-08,0.7160000205039978
1994-10-09,0.7229999899864197
1994-10-10,0.7170000076293945
1994-10-11,0.7179999947547913
1994-10-12,0.7120000123977661
1994-10-13,0.7020000219345093
1994-10-14,0.7070000171661377
1994-10-15,0.6970000267028809
1994-10-16,0.6980000138282776
1994-10-17,0.7039999961853027
1994-10-18,0.7039999961853027
1994-10-19,0.7080000042915344
1994-10-20,0.7049999833106995
1994-10-21,0.718999981880188
1994-10-22,0.8510000109672546
1994-10-23,0.9869999885559082
1994-10-24,0.9039999842643738
1994-10-25,0.8389999866485596
1994-10-26,0.8050000071525574
1994-10-27,0.7870000004768372
1994-10-28,0.7730000019073486
1994-10-29,0.7620000243186951
1994-10-30,0.7590000033378601
1994-10-31,0.753000020980835
1994-11-01,0.8230000138282776
1994-11-02,1.1959999799728394
1994-11-03,1.2029999494552612
1994-11-04,1.0410000085830688
1994-11-05,0.962000012397766
1994-11-06,0.9120000004768372
1994-11-07,1.0160000324249268
1994-11-08,1.027999997138977
1994-11-09,0.9480000138282776
1994-11-10,0.915000021457672
1994-11-11,0.8970000147819519
1994-11-12,0.8849999904632568
1994-11-13,0.8640000224113464
1994-11-14,0.8560000061988831
1994-11-15,0.8510000109672546
1994-11-16,0.847000002861023
1994-11-17,0.8429999947547913
1994-11-18,0.8379999995231628
1994-11-19,0.8529999852180481
1994-11-20,0.8629999756813049
1994-11-21,0.8429999947547913
1994-11-22,0.9290000200271606
1994-11-23,0.9940000176429749
1994-11-24,0.8830000162124634
1994-11-25,0.8579999804496765
1994-11-26,0.843999981880188
1994-11-27,0.8009999990463257
1994-11-28,0.7760000228881836
1994-11-29,0.8709999918937683
1994-11-30,0.9200000166893004
1994-12-01,0.9890000224113464
1994-12-02,1.0429999828338623
1994-12-03,1.037999987602234
1994-12-04,0.9589999914169312
1994-12-05,0.9639999866485596
1994-12-06,1.065999984741211
1994-12-07,1.1150000095367432
1994-12-08,1.225000023841858
1994-12-09,1.2489999532699585
1994-12-10,1.180999994277954
1994-12-11,1.128000020980835
1994-12-12,1.2020000219345093
1994-12-13,1.3619999885559082
1994-12-14,1.4819999933242798
1994-12-15,1.5429999828338623
1994-12-16,1.5579999685287476
1994-12-17,1.5460000038146973
1994-12-18,1.5010000467300415
1994-12-19,1.4259999990463257
1994-12-20,1.3559999465942385
1994-12-21,1.2970000505447388
1994-12-22,1.1579999923706057
1994-12-23,1.1080000400543213
1994-12-24,1.0900000333786009
1994-12-25,1.0130000114440918
1994-12-26,0.977999985218048
1994-12-27,0.9700000286102296
1994-12-28,0.9319999814033508
1994-12-29,0.9380000233650208
1994-12-30,1.1330000162124634
1994-12-31,1.2039999961853027
1995-01-01,1.1399999856948853
1995-01-02,1.0779999494552612
1995-01-03,1.0
1995-01-04,0.9430000185966492
1995-01-05,0.9020000100135804
1995-01-06,0.8650000095367432
1995-01-07,0.8550000190734863
1995-01-08,0.8460000157356262
1995-01-09,0.8339999914169312
1995-01-10,0.8230000138282776
1995-01-11,0.8130000233650208
1995-01-12,0.8059999942779541
1995-01-13,0.8230000138282776
1995-01-14,0.8289999961853027
1995-01-15,0.8420000076293945
1995-01-16,1.22599995136261
1995-01-17,1.8769999742507928
1995-01-18,2.009999990463257
1995-01-19,1.8869999647140503
1995-01-20,1.7050000429153442
1995-01-21,1.537999987602234
1995-01-22,1.4429999589920044
1995-01-23,1.4110000133514404
1995-01-24,1.3849999904632568
1995-01-25,1.343000054359436
1995-01-26,1.315999984741211
1995-01-27,1.3320000171661377
1995-01-28,1.3259999752044678
1995-01-29,1.3279999494552612
1995-01-30,1.2869999408721924
1995-01-31,1.2510000467300415
1995-02-01,1.225000023841858
1995-02-02,1.2079999446868896
1995-02-03,1.1890000104904177
1995-02-04,1.1820000410079956
1995-02-05,1.1959999799728394
1995-02-06,1.2200000286102295
1995-02-07,1.218000054359436
1995-02-08,1.1920000314712524
1995-02-09,1.1540000438690186
1995-02-10,1.118000030517578
1995-02-11,1.1030000448226929
1995-02-12,1.0850000381469729
1995-02-13,1.0700000524520874
1995-02-14,1.0529999732971191
1995-02-15,1.0369999408721924
1995-02-16,1.0299999713897705
1995-02-17,1.024999976158142
1995-02-18,1.0110000371932983
1995-02-19,0.9980000257492064
1995-02-20,0.9980000257492064
1995-02-21,0.9929999709129332
1995-02-22,0.984000027179718
1995-02-23,0.9679999947547911
1995-02-24,0.996999979019165
1995-02-25,1.3140000104904177
1995-02-26,1.4420000314712524
1995-02-27,1.375
1995-02-28,1.2799999713897705
1995-03-01,1.1920000314712524
1995-03-02,1.1510000228881836
1995-03-03,1.1150000095367432
1995-03-04,1.0800000429153442
1995-03-05,1.0509999990463257
1995-03-06,1.0349999666213991
1995-03-07,1.0299999713897705
1995-03-08,1.0449999570846558
1995-03-09,1.5290000438690186
1995-03-10,1.843999981880188
1995-03-11,1.8470000028610232
1995-03-12,1.82099997997284
1995-03-13,1.7289999723434448
1995-03-14,1.6369999647140503
1995-03-15,1.5310000181198118
1995-03-16,1.3849999904632568
1995-03-17,1.2599999904632568
1995-03-18,1.2029999494552612
1995-03-19,1.1749999523162842
1995-03-20,1.194000005722046
1995-03-21,1.1720000505447388
1995-03-22,1.315000057220459
1995-03-23,2.1960000991821294
1995-03-24,2.1070001125335693
1995-03-25,1.83899998664856
1995-03-26,1.690999984741211
1995-03-27,1.6419999599456787
1995-03-28,1.5540000200271606
1995-03-29,1.5889999866485596
1995-03-30,1.3350000381469729
1995-03-31,1.0319999456405642
