Datetime,Water Level (m)
1969-01-01,131.322998046875
1969-01-02,131.32000732421878
1969-01-03,131.31399536132812
1969-01-04,131.30499267578122
1969-01-05,131.29299926757812
1969-01-06,131.27999877929688
1969-01-07,131.27699279785156
1969-01-08,131.28300476074222
1969-01-09,131.27400207519528
1969-01-10,131.26800537109378
1969-01-11,131.26499938964844
1969-01-12,131.25599670410156
1969-01-13,131.25599670410156
1969-01-14,131.25599670410156
1969-01-15,131.24699401855472
1969-01-16,131.23800659179688
1969-01-17,131.22900390625
1969-01-18,131.21600341796878
1969-01-19,131.21000671386722
1969-01-20,131.21000671386722
1969-01-21,131.20700073242188
1969-01-22,131.20100402832028
1969-01-23,131.19500732421878
1969-01-24,131.18899536132812
1969-01-25,131.20399475097656
1969-01-26,131.20700073242188
1969-01-27,131.197998046875
1969-01-28,131.18899536132812
1969-01-29,131.197998046875
1969-01-30,131.19500732421878
1969-01-31,131.19500732421878
1969-02-01,131.197998046875
1969-02-02,131.20100402832028
1969-02-03,131.19500732421878
1969-02-04,131.21000671386722
1969-02-05,131.21299743652344
1969-02-06,131.20700073242188
1969-02-07,131.19500732421878
1969-02-08,131.19500732421878
1969-02-09,131.20100402832028
1969-02-10,131.21000671386722
1969-02-11,131.20700073242188
1969-02-12,131.20100402832028
1969-02-13,131.21000671386722
1969-02-14,131.197998046875
1969-02-15,131.19200134277344
1969-02-16,131.18600463867188
1969-02-17,131.17999267578122
1969-02-18,131.17399597167972
1969-02-19,131.16499328613278
1969-02-20,131.16200256347656
1969-02-21,131.16200256347656
1969-02-22,131.15199279785156
1969-02-23,131.15199279785156
1969-02-24,131.14599609375
1969-02-25,131.13999938964844
1969-02-26,131.14300537109378
1969-02-27,131.14300537109378
1969-02-28,131.13999938964844
1969-03-01,131.13099670410156
1969-03-02,131.12800598144528
1969-03-03,131.12199401855472
1969-03-04,131.11900329589844
1969-03-05,131.11300659179688
1969-03-06,131.10699462890622
1969-03-07,131.10099792480472
1969-03-08,131.09800720214844
1969-03-09,131.09100341796878
1969-03-10,131.08200073242188
1969-03-11,131.08500671386722
1969-03-12,131.08200073242188
1969-03-13,131.08799743652344
1969-03-14,131.08200073242188
1969-03-15,131.07899475097656
1969-03-16,131.08799743652344
1969-03-17,131.08799743652344
1969-03-18,131.07600402832028
1969-03-19,131.06700134277344
1969-03-20,131.06700134277344
1969-03-21,131.05799865722656
1969-03-22,131.06100463867188
1969-03-23,131.06700134277344
1969-03-24,131.07899475097656
1969-03-25,131.09100341796878
1969-03-26,131.11000061035156
1969-03-27,131.125
1969-03-28,131.13400268554688
1969-03-29,131.14300537109378
1969-03-30,131.15800476074222
1969-03-31,131.17100524902344
1969-04-01,131.17399597167972
1969-04-02,131.19500732421878
1969-04-03,131.20100402832028
1969-04-04,131.21600341796878
1969-04-05,131.21299743652344
1969-04-06,131.218994140625
1969-04-07,131.22900390625
1969-04-08,131.23800659179688
1969-04-09,131.24099731445312
1969-04-10,131.26199340820312
1969-04-11,131.29899597167972
1969-04-12,131.31700134277344
1969-04-13,131.343994140625
1969-04-14,131.375
1969-04-15,131.41099548339844
1969-04-16,131.45100402832028
1969-04-17,131.50599670410156
1969-04-18,131.57000732421878
1969-04-19,131.63099670410156
1969-04-20,131.677001953125
1969-04-21,131.71000671386722
1969-04-22,131.74099731445312
1969-04-23,131.76800537109378
1969-04-24,131.80499267578122
1969-04-25,131.83200073242188
1969-04-26,131.84700012207028
1969-04-27,131.86300659179688
1969-04-28,131.87800598144528
1969-04-29,131.91700744628906
1969-04-30,131.93600463867188
1969-05-01,131.95399475097656
1969-05-02,131.968994140625
1969-05-03,131.98399353027344
1969-05-04,131.99400329589844
1969-05-05,132.01199340820312
1969-05-06,132.01499938964844
1969-05-07,132.02400207519528
1969-05-08,132.02999877929688
1969-05-09,132.04499816894528
1969-05-10,132.05499267578122
1969-05-11,132.06399536132812
1969-05-12,132.08500671386722
1969-05-13,132.08799743652344
1969-05-14,132.08200073242188
1969-05-15,132.08500671386722
1969-05-16,132.07899475097656
1969-05-17,132.07600402832028
1969-05-18,132.093994140625
1969-05-19,132.10600280761722
1969-05-20,132.14599609375
1969-05-21,132.177001953125
1969-05-22,132.17999267578122
1969-05-23,132.18299865722656
1969-05-24,132.18899536132812
1969-05-25,132.21000671386722
1969-05-26,132.218994140625
1969-05-27,132.22200012207028
1969-05-28,132.21600341796878
1969-05-29,132.22799682617188
1969-05-30,132.23100280761722
1969-05-31,132.22799682617188
