Datetime,Water Level (m)
2007-08-08,248.0540008544922
2007-08-09,248.05099487304688
2007-08-10,248.052001953125
2007-08-11,248.0529937744141
2007-08-12,248.0540008544922
2007-08-13,248.052001953125
2007-08-14,248.05099487304688
2007-08-15,248.04800415039065
2007-08-16,248.05099487304688
2007-08-17,248.0500030517578
2007-08-18,248.04800415039065
2007-08-19,248.04600524902344
2007-08-20,248.0449981689453
2007-08-21,248.0449981689453
2007-08-22,248.052001953125
2007-08-23,248.0780029296875
2007-08-24,248.0959930419922
2007-08-25,248.12399291992188
2007-08-26,248.1230010986328
2007-08-27,248.1219940185547
2007-08-28,248.11900329589844
2007-08-29,248.113998413086
2007-08-30,248.10699462890625
2007-08-31,248.10400390625
2007-09-01,248.1000061035156
2007-09-02,248.0989990234375
2007-09-03,248.09500122070312
2007-09-04,248.0890045166016
2007-09-05,248.08999633789065
2007-09-06,248.093002319336
2007-09-07,248.0959930419922
2007-09-08,248.08200073242188
2007-09-09,248.0780029296875
2007-09-10,248.0809936523437
2007-09-11,248.08599853515625
2007-09-12,248.0919952392578
2007-09-13,248.0890045166016
2007-09-14,248.093002319336
2007-09-15,248.09500122070312
2007-09-16,248.09500122070312
2007-09-17,248.093994140625
2007-09-18,248.093002319336
2007-09-19,248.093994140625
2007-09-20,248.0890045166016
2007-09-21,248.0890045166016
2007-09-22,248.09100341796875
2007-09-23,248.08200073242188
2007-09-24,248.08200073242188
2007-09-25,248.08399963378903
2007-09-26,248.113998413086
2007-09-27,248.1210021972656
2007-09-28,248.1289978027344
2007-09-29,248.1320037841797
2007-09-30,248.1320037841797
2007-10-01,248.1360015869141
2007-10-02,248.13299560546875
2007-10-03,248.1360015869141
2007-10-04,248.1289978027344
2007-10-05,248.1230010986328
2007-10-06,248.13800048828125
2007-10-07,248.17300415039065
2007-10-08,248.1929931640625
2007-10-09,248.2059936523437
2007-10-10,248.2100067138672
2007-10-11,248.1999969482422
2007-10-12,248.19000244140625
2007-10-13,248.1840057373047
2007-10-14,248.17300415039065
2007-10-15,248.1640014648437
2007-10-16,248.1540069580078
2007-10-17,248.1519927978516
2007-10-18,248.1490020751953
2007-10-19,248.1490020751953
2007-10-20,248.14100646972656
2007-10-21,248.1289978027344
2007-10-22,248.113998413086
2007-10-23,248.11300659179688
2007-10-24,248.1210021972656
2007-10-25,248.1219940185547
2007-10-26,248.1289978027344
2007-10-27,248.1439971923828
2007-10-28,248.13999938964844
2007-10-29,248.14100646972656
2007-10-30,248.13299560546875
2007-10-31,248.13699340820312
2007-11-01,248.1280059814453
2007-11-02,248.12399291992188
2007-11-03,248.1230010986328
2007-11-04,248.1230010986328
2007-11-05,248.125
2007-11-06,248.13400268554688
2007-11-07,248.1309967041016
2007-11-08,248.1320037841797
2007-11-09,248.1320037841797
2007-11-10,248.134994506836
2007-11-11,248.13999938964844
2007-11-12,248.1430053710937
2007-11-13,248.1490020751953
2007-11-14,248.156005859375
2007-11-15,248.15499877929688
2007-11-16,248.1540069580078
2007-11-17,248.1519927978516
2007-11-18,248.1479949951172
2007-11-19,248.1419982910156
2007-11-20,248.1519927978516
2007-11-21,248.1580047607422
2007-11-22,248.1790008544922
2007-11-23,248.19400024414065
2007-11-24,248.1929931640625
2007-11-25,248.19200134277344
2007-11-26,248.18800354003903
2007-11-27,248.1909942626953
2007-11-28,248.1849975585937
2007-11-29,248.18600463867188
2007-11-30,248.1699981689453
2007-12-01,248.15899658203125
2007-12-02,248.15499877929688
2007-12-03,248.156005859375
2007-12-04,248.1479949951172
2007-12-05,248.1430053710937
2007-12-06,248.1360015869141
2007-12-07,248.1289978027344
2007-12-08,248.125
2007-12-09,248.1219940185547
2007-12-10,248.1210021972656
2007-12-11,248.1230010986328
2007-12-12,248.1260070800781
2007-12-13,248.125
2007-12-14,248.12399291992188
2007-12-15,248.1219940185547
2007-12-16,248.1260070800781
2007-12-17,248.1230010986328
2007-12-18,248.1179962158203
2007-12-19,248.1179962158203
2007-12-20,248.11900329589844
2007-12-21,248.11900329589844
2007-12-22,248.1199951171875
2007-12-23,248.13999938964844
2007-12-24,248.17300415039065
2007-12-25,248.1909942626953
2007-12-26,248.2030029296875
2007-12-27,248.2120056152344
2007-12-28,248.21299743652344
2007-12-29,248.218994140625
2007-12-30,248.2169952392578
2007-12-31,248.2140045166016
2008-01-01,248.2100067138672
2008-01-02,248.197006225586
2008-01-03,248.18299865722656
2008-01-04,248.16900634765625
2008-01-05,248.1569976806641
2008-01-06,248.1519927978516
2008-01-07,248.1790008544922
2008-01-08,248.2640075683593
2008-01-09,248.3459930419922
2008-01-10,248.36700439453125
2008-01-11,248.37399291992188
2008-01-12,248.35499572753903
2008-01-13,248.3209991455078
2008-01-14,248.2850036621093
2008-01-15,248.2469940185547
2008-01-16,248.1999969482422
2008-01-17,248.1470031738281
2008-01-18,248.1309967041016
2008-01-19,248.1499938964844
2008-01-20,248.15499877929688
2008-01-21,248.1479949951172
2008-01-22,248.1450042724609
2008-01-23,248.1430053710937
2008-01-24,248.14100646972656
2008-01-25,248.13699340820312
2008-01-26,248.13400268554688
2008-01-27,248.13400268554688
2008-01-28,248.13400268554688
2008-01-29,248.1360015869141
2008-01-30,248.16099548339844
2008-01-31,248.1790008544922
2008-02-01,248.1869964599609
2008-02-02,248.1849975585937
2008-02-03,248.1750030517578
2008-02-04,248.1679992675781
2008-02-05,248.1909942626953
2008-02-06,248.2209930419922
2008-02-07,248.2330017089844
2008-02-08,248.22999572753903
2008-02-09,248.23199462890625
2008-02-10,248.2310028076172
2008-02-11,248.2270050048828
2008-02-12,248.21299743652344
2008-02-13,248.2079925537109
2008-02-14,248.197006225586
2008-02-15,248.18800354003903
2008-02-16,248.17999267578125
2008-02-17,248.17100524902344
2008-02-18,248.1840057373047
2008-02-19,248.2030029296875
2008-02-20,248.21499633789065
2008-02-21,248.2209930419922
2008-02-22,248.2140045166016
2008-02-23,248.20700073242188
2008-02-24,248.2010040283203
2008-02-25,248.19000244140625
2008-02-26,248.1809997558593
2008-02-27,248.1739959716797
2008-02-28,248.16700744628903
2008-02-29,248.1569976806641
2008-03-01,248.1510009765625
2008-03-02,248.1450042724609
2008-03-03,248.1510009765625
2008-03-04,248.1869964599609
2008-03-05,248.2239990234375
2008-03-06,248.22799682617188
2008-03-07,248.2250061035156
2008-03-08,248.22799682617188
2008-03-09,248.218994140625
2008-03-10,248.2019958496093
2008-03-11,248.1999969482422
2008-03-12,248.1959991455078
2008-03-13,248.19000244140625
2008-03-14,248.18600463867188
2008-03-15,248.18800354003903
2008-03-16,248.19200134277344
2008-03-17,248.19500732421875
2008-03-18,248.197006225586
2008-03-19,248.2059936523437
2008-03-20,248.1809997558593
2008-03-21,248.1790008544922
2008-03-22,248.1779937744141
2008-03-23,248.1719970703125
2008-03-24,248.1640014648437
2008-03-25,248.156005859375
2008-03-26,248.1450042724609
2008-03-27,248.13800048828125
2008-03-28,248.1360015869141
2008-03-29,248.1300048828125
2008-03-30,248.1210021972656
2008-03-31,248.125
2008-04-01,248.19900512695312
2008-04-02,248.3269958496093
2008-04-03,248.35299682617188
2008-04-04,248.375
2008-04-05,248.36700439453125
2008-04-06,248.38699340820312
2008-04-07,248.36700439453125
2008-04-08,248.33799743652344
2008-04-09,248.33200073242188
2008-04-10,248.3159942626953
2008-04-11,248.28599548339844
2008-04-12,248.2899932861328
2008-04-13,248.27099609375
2008-04-14,248.23599243164065
2008-04-15,248.1909942626953
2008-04-16,248.1390075683593
2008-04-17,248.0749969482422
2008-04-18,248.0619964599609
2008-04-19,248.1009979248047
2008-04-20,248.11199951171875
2008-04-21,248.1009979248047
2008-04-22,248.11199951171875
2008-04-23,248.16700744628903
2008-04-24,248.17999267578125
2008-04-25,248.1790008544922
2008-04-26,248.18600463867188
2008-04-27,248.18600463867188
2008-04-28,248.1929931640625
2008-04-29,248.2120056152344
2008-04-30,248.2169952392578
2008-05-01,248.20899963378903
2008-05-02,248.20899963378903
2008-05-03,248.23599243164065
2008-05-04,248.2850036621093
2008-05-05,248.3000030517578
2008-05-06,248.30799865722656
2008-05-07,248.3000030517578
2008-05-08,248.28700256347656
2008-05-09,248.25799560546875
2008-05-10,248.2310028076172
2008-05-11,248.20399475097656
2008-05-12,248.1889953613281
2008-05-13,248.17300415039065
2008-05-14,248.16099548339844
2008-05-15,248.1479949951172
2008-05-16,248.1439971923828
2008-05-17,248.14599609375
2008-05-18,248.1510009765625
2008-05-19,248.1580047607422
2008-05-20,248.1569976806641
2008-05-21,248.1580047607422
2008-05-22,248.15499877929688
2008-05-23,248.1510009765625
2008-05-24,248.14599609375
2008-05-25,248.1419982910156
2008-05-26,248.13800048828125
2008-05-27,248.134994506836
2008-05-28,248.1309967041016
2008-05-29,248.1260070800781
2008-05-30,248.1199951171875
2008-05-31,248.1529998779297
2008-06-01,248.17999267578125
2008-06-02,248.19000244140625
2008-06-03,248.1929931640625
2008-06-04,248.19200134277344
2008-06-05,248.197998046875
2008-06-06,248.2749938964844
2008-06-07,248.343002319336
2008-06-08,248.3719940185547
2008-06-09,248.34100341796875
2008-06-10,248.2740020751953
2008-06-11,248.2169952392578
2008-06-12,248.17100524902344
2008-06-13,248.1569976806641
2008-06-14,248.2239990234375
2008-06-15,248.27099609375
2008-06-16,248.3350067138672
2008-06-17,248.3500061035156
2008-06-18,248.33599853515625
2008-06-19,248.3179931640625
2008-06-20,248.2700042724609
2008-06-21,248.20899963378903
2008-06-22,248.16900634765625
2008-06-23,248.13699340820312
2008-06-24,248.1179962158203
2008-06-25,248.11099243164065
2008-06-26,248.1360015869141
2008-06-27,248.1430053710937
2008-06-28,248.156005859375
2008-06-29,248.1679992675781
2008-06-30,248.17599487304688
2008-07-01,248.1779937744141
2008-07-02,248.1739959716797
2008-07-03,248.16700744628903
2008-07-04,248.1580047607422
2008-07-05,248.1470031738281
2008-07-06,248.1360015869141
2008-07-07,248.1219940185547
2008-07-08,248.11099243164065
2008-07-09,248.10699462890625
2008-07-10,248.1020050048828
2008-07-11,248.0989990234375
2008-07-12,248.0989990234375
2008-07-13,248.10299682617188
2008-07-14,248.0989990234375
2008-07-15,248.0970001220703
2008-07-16,248.0970001220703
2008-07-17,248.09500122070312
2008-07-18,248.093002319336
2008-07-19,248.08999633789065
2008-07-20,248.093002319336
2008-07-21,248.11599731445312
2008-07-22,248.1479949951172
2008-07-23,248.17999267578125
2008-07-24,248.2079925537109
2008-07-25,248.23800659179688
2008-07-26,248.27999877929688
2008-07-27,248.31700134277344
2008-07-28,248.33200073242188
2008-07-29,248.31700134277344
2008-07-30,248.29200744628903
2008-07-31,248.3099975585937
2008-08-01,248.3269958496093
2008-08-02,248.3249969482422
2008-08-03,248.31100463867188
2008-08-04,248.2899932861328
2008-08-05,248.2669982910156
2008-08-06,248.2510070800781
2008-08-07,248.23399353027344
2008-08-08,248.2239990234375
2008-08-09,248.2209930419922
2008-08-10,248.218994140625
2008-08-11,248.218002319336
2008-08-12,248.22300720214844
2008-08-13,248.22900390625
2008-08-14,248.22900390625
2008-08-15,248.2259979248047
2008-08-16,248.2209930419922
2008-08-17,248.2120056152344
2008-08-18,248.21099853515625
2008-08-19,248.24099731445312
2008-08-20,248.25
2008-08-21,248.23599243164065
2008-08-22,248.21499633789065
2008-08-23,248.197006225586
2008-08-24,248.17999267578125
2008-08-25,248.1640014648437
2008-08-26,248.1510009765625
2008-08-27,248.1390075683593
2008-08-28,248.1300048828125
2008-08-29,248.13400268554688
2008-08-30,248.1490020751953
2008-08-31,248.1479949951172
2008-09-01,248.1439971923828
2008-09-02,248.13800048828125
2008-09-03,248.1309967041016
2008-09-04,248.12399291992188
2008-09-05,248.1210021972656
2008-09-06,248.11599731445312
2008-09-07,248.11700439453125
2008-09-08,248.1199951171875
2008-09-09,248.134994506836
2008-09-10,248.1419982910156
2008-09-11,248.14599609375
2008-09-12,248.1569976806641
2008-09-13,248.1660003662109
2008-09-14,248.1909942626953
2008-09-15,248.2050018310547
2008-09-16,248.21299743652344
2008-09-17,248.21299743652344
2008-09-18,248.2050018310547
2008-09-19,248.1959991455078
2008-09-20,248.1820068359375
2008-09-21,248.1649932861328
2008-09-22,248.1540069580078
2008-09-23,248.1430053710937
2008-09-24,248.13400268554688
2008-09-25,248.125
2008-09-26,248.11700439453125
2008-09-27,248.11300659179688
2008-09-28,248.12399291992188
2008-09-29,248.1280059814453
2008-09-30,248.1450042724609
2008-10-01,248.1750030517578
2008-10-02,248.197006225586
2008-10-03,248.2100067138672
2008-10-04,248.2100067138672
2008-10-05,248.2120056152344
2008-10-06,248.20899963378903
2008-10-07,248.197006225586
2008-10-08,248.18600463867188
2008-10-09,248.1790008544922
2008-10-10,248.1519927978516
2008-10-11,248.13299560546875
2008-10-12,248.1230010986328
2008-10-13,248.1179962158203
2008-10-14,248.1150054931641
2008-10-15,248.10899353027344
2008-10-16,248.1100006103516
2008-10-17,248.11099243164065
2008-10-18,248.1150054931641
2008-10-19,248.11599731445312
2008-10-20,248.11700439453125
2008-10-21,248.1320037841797
2008-10-22,248.1490020751953
2008-10-23,248.16200256347656
2008-10-24,248.1719970703125
2008-10-25,248.18800354003903
2008-10-26,248.218002319336
2008-10-27,248.22999572753903
2008-10-28,248.2270050048828
2008-10-29,248.2239990234375
2008-10-30,248.21299743652344
2008-10-31,248.19900512695312
2008-11-01,248.17999267578125
2008-11-02,248.1660003662109
2008-11-03,248.1600036621093
2008-11-04,248.1540069580078
2008-11-05,248.1499938964844
2008-11-06,248.1470031738281
2008-11-07,248.1450042724609
2008-11-08,248.1470031738281
2008-11-09,248.1430053710937
2008-11-10,248.1450042724609
2008-11-11,248.13999938964844
2008-11-12,248.13999938964844
2008-11-13,248.1490020751953
2008-11-14,248.1600036621093
2008-11-15,248.1750030517578
2008-11-16,248.23199462890625
2008-11-17,248.2700042724609
2008-11-18,248.28700256347656
2008-11-19,248.28599548339844
2008-11-20,248.2720031738281
2008-11-21,248.2530059814453
2008-11-22,248.2259979248047
2008-11-23,248.197006225586
2008-11-24,248.1750030517578
2008-11-25,248.1679992675781
2008-11-26,248.1699981689453
2008-11-27,248.1750030517578
2008-11-28,248.18299865722656
2008-11-29,248.1889953613281
2008-11-30,248.1909942626953
2008-12-01,248.2019958496093
2008-12-02,248.2100067138672
2008-12-03,248.218002319336
2008-12-04,248.2259979248047
2008-12-05,248.22799682617188
2008-12-06,248.218994140625
2008-12-07,248.20700073242188
2008-12-08,248.1909942626953
2008-12-09,248.1889953613281
2008-12-10,248.19500732421875
2008-12-11,248.2010040283203
2008-12-12,248.2079925537109
2008-12-13,248.20700073242188
2008-12-14,248.1999969482422
2008-12-15,248.2239990234375
2008-12-16,248.2720031738281
2008-12-17,248.28700256347656
2008-12-18,248.2850036621093
2008-12-19,248.2779998779297
2008-12-20,248.26199340820312
2008-12-21,248.2460021972656
2008-12-22,248.22900390625
2008-12-23,248.2120056152344
2008-12-24,248.2079925537109
2008-12-25,248.218002319336
2008-12-26,248.2310028076172
2008-12-27,248.26600646972656
2008-12-28,248.42999267578125
2008-12-29,248.4810028076172
2008-12-30,248.47000122070312
2008-12-31,248.43800354003903
2009-01-01,248.3800048828125
2009-01-02,248.32000732421875
2009-01-03,248.26300048828125
2009-01-04,248.2059936523437
2009-01-05,248.16200256347656
2009-01-06,248.12399291992188
2009-01-07,248.10499572753903
2009-01-08,248.08599853515625
2009-01-09,248.08399963378903
2009-01-10,248.1219940185547
2009-01-11,248.1450042724609
2009-01-12,248.15499877929688
2009-01-13,248.1600036621093
2009-01-14,248.16099548339844
2009-01-15,248.15899658203125
2009-01-16,248.1529998779297
2009-01-17,248.1470031738281
2009-01-18,248.1470031738281
