Datetime,Water Level (m)
2009-10-23,266.50299072265625
2009-10-24,266.5169982910156
2009-10-25,266.52499389648443
2009-10-26,266.52700805664057
2009-10-27,266.531005859375
2009-10-28,266.52999877929693
2009-10-29,266.52499389648443
2009-10-30,266.52099609375
2009-10-31,
2009-11-01,
2009-11-02,266.52700805664057
2009-11-03,266.52700805664057
2009-11-04,266.52398681640625
2009-11-05,266.52099609375
2009-11-06,266.52301025390625
2009-11-07,266.5169982910156
2009-11-08,266.51400756835943
2009-11-09,266.510986328125
2009-11-10,266.50900268554693
2009-11-11,266.5050048828125
2009-11-12,266.50100708007807
2009-11-13,266.4979858398437
2009-11-14,266.4960021972656
2009-11-15,266.4949951171875
2009-11-16,266.49301147460943
2009-11-17,266.489013671875
2009-11-18,266.4849853515625
2009-11-19,266.48199462890625
2009-11-20,266.489990234375
2009-11-21,
2009-11-22,266.49301147460943
2009-11-23,266.49200439453125
2009-11-24,266.49099731445307
2009-11-25,266.489990234375
2009-11-26,266.49301147460943
2009-11-27,266.49301147460943
2009-11-28,266.49099731445307
2009-11-29,266.48699951171875
2009-11-30,266.48800659179693
2009-12-01,266.4849853515625
2009-12-02,266.48199462890625
2009-12-03,266.49398803710943
2009-12-04,
2009-12-05,266.50399780273443
2009-12-06,266.50399780273443
2009-12-07,266.50201416015625
2009-12-08,266.5
2009-12-09,266.50299072265625
2009-12-10,266.510986328125
2009-12-11,266.50601196289057
2009-12-12,266.50100708007807
2009-12-13,266.50100708007807
2009-12-14,266.50201416015625
2009-12-15,266.50399780273443
2009-12-16,266.50100708007807
2009-12-17,266.4970092773437
2009-12-18,266.49301147460943
2009-12-19,266.489990234375
2009-12-20,266.48699951171875
2009-12-21,266.4840087890625
2009-12-22,266.48001098632807
2009-12-23,266.48098754882807
2009-12-24,266.47799682617193
2009-12-25,266.4760131835937
2009-12-26,266.4760131835937
2009-12-27,266.48300170898443
2009-12-28,266.48199462890625
2009-12-29,266.48098754882807
2009-12-30,266.47900390625
2009-12-31,266.4769897460937
2010-01-01,266.47799682617193
2010-01-02,266.48001098632807
2010-01-03,266.48199462890625
2010-01-04,266.48098754882807
2010-01-05,266.48098754882807
2010-01-06,
2010-01-07,266.4769897460937
2010-01-08,266.4739990234375
2010-01-09,266.47198486328125
2010-01-10,266.47000122070307
2010-01-11,266.46798706054693
2010-01-12,266.46600341796875
2010-01-13,266.46499633789057
2010-01-14,266.4639892578125
2010-01-15,
2010-01-16,
2010-01-17,
2010-01-18,266.4580078125
2010-01-19,266.45700073242193
2010-01-20,266.4559936523437
2010-01-21,266.4540100097656
2010-01-22,266.45199584960943
2010-01-23,266.45001220703125
2010-01-24,266.44900512695307
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,266.510986328125
2010-01-30,266.50698852539057
2010-01-31,266.50201416015625
2010-02-01,266.4949951171875
2010-02-02,266.48800659179693
2010-02-03,266.48098754882807
2010-02-04,266.48300170898443
2010-02-05,266.4849853515625
2010-02-06,266.48699951171875
2010-02-07,266.48699951171875
2010-02-08,266.48699951171875
2010-02-09,266.48599243164057
2010-02-10,266.4849853515625
2010-02-11,266.4840087890625
2010-02-12,266.48199462890625
2010-02-13,266.48001098632807
2010-02-14,266.48001098632807
2010-02-15,266.48199462890625
2010-02-16,
2010-02-17,
2010-02-18,266.49301147460943
2010-02-19,266.4960021972656
2010-02-20,
2010-02-21,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-02-27,
2010-02-28,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,266.4530029296875
2010-03-06,266.4429931640625
2010-03-07,
2010-03-08,266.427001953125
2010-03-09,
2010-03-10,266.40399169921875
2010-03-11,
2010-03-12,
2010-03-13,
2010-03-14,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-20,
2010-03-21,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,266.34698486328125
2010-03-27,266.3389892578125
2010-03-28,
2010-03-29,266.35299682617193
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,266.3729858398437
2010-04-03,
2010-04-04,266.385009765625
2010-04-05,266.38900756835943
2010-04-06,266.3919982910156
2010-04-07,266.39999389648443
2010-04-08,266.40399169921875
2010-04-09,266.42001342773443
2010-04-10,266.42599487304693
2010-04-11,266.427001953125
2010-04-12,266.42401123046875
2010-04-13,266.427001953125
2010-04-14,266.4349975585937
2010-04-15,266.44198608398443
2010-04-16,266.4750061035156
2010-04-17,266.5050048828125
2010-04-18,266.52700805664057
2010-04-19,266.5379943847656
2010-04-20,266.5419921875
2010-04-21,266.54299926757807
2010-04-22,266.54400634765625
2010-04-23,266.54299926757807
2010-04-24,266.5369873046875
2010-04-25,266.53201293945307
2010-04-26,266.52700805664057
2010-04-27,266.51901245117193
2010-04-28,266.50900268554693
2010-04-29,266.5
2010-04-30,266.4949951171875
2010-05-01,266.4979858398437
2010-05-02,266.5050048828125
2010-05-03,266.510986328125
2010-05-04,266.51300048828125
2010-05-05,266.510986328125
2010-05-06,266.51199340820307
2010-05-07,266.510009765625
2010-05-08,266.51199340820307
2010-05-09,266.5150146484375
2010-05-10,266.51199340820307
2010-05-11,266.50799560546875
2010-05-12,266.5050048828125
2010-05-13,266.49899291992193
2010-05-14,266.4960021972656
2010-05-15,266.4970092773437
2010-05-16,266.4960021972656
2010-05-17,266.49099731445307
2010-05-18,266.49200439453125
2010-05-19,266.49099731445307
2010-05-20,266.49099731445307
2010-05-21,266.489013671875
2010-05-22,266.48699951171875
2010-05-23,266.48800659179693
2010-05-24,266.489990234375
2010-05-25,
2010-05-26,
2010-05-27,266.48800659179693
2010-05-28,266.4849853515625
2010-05-29,266.4840087890625
2010-05-30,266.47900390625
2010-05-31,266.47299194335943
2010-06-01,266.489013671875
2010-06-02,266.4960021972656
2010-06-03,266.4970092773437
2010-06-04,266.4970092773437
2010-06-05,266.49899291992193
2010-06-06,266.4979858398437
2010-06-07,266.4949951171875
2010-06-08,266.49200439453125
2010-06-09,266.489013671875
2010-06-10,266.4960021972656
2010-06-11,266.4960021972656
2010-06-12,266.4960021972656
2010-06-13,266.4960021972656
2010-06-14,266.4960021972656
2010-06-15,266.49301147460943
2010-06-16,266.489990234375
2010-06-17,266.49099731445307
2010-06-18,266.48599243164057
2010-06-19,266.49398803710943
2010-06-20,266.50601196289057
2010-06-21,266.50299072265625
2010-06-22,266.4970092773437
2010-06-23,266.50100708007807
2010-06-24,266.51998901367193
2010-06-25,266.5180053710937
2010-06-26,266.51400756835943
2010-06-27,266.50799560546875
2010-06-28,266.50601196289057
2010-06-29,266.50698852539057
2010-06-30,266.4979858398437
2010-07-01,266.4949951171875
2010-07-02,266.489990234375
2010-07-03,266.48599243164057
2010-07-04,266.48800659179693
2010-07-05,266.489013671875
2010-07-06,266.489013671875
2010-07-07,266.48800659179693
2010-07-08,266.489013671875
2010-07-09,266.50799560546875
2010-07-10,266.510986328125
2010-07-11,266.5050048828125
2010-07-12,266.50698852539057
2010-07-13,266.5369873046875
2010-07-14,266.54299926757807
2010-07-15,266.5379943847656
2010-07-16,266.53298950195307
2010-07-17,266.52801513671875
2010-07-18,266.52499389648443
2010-07-19,266.52398681640625
2010-07-20,266.52200317382807
2010-07-21,266.52801513671875
2010-07-22,266.5589904785156
2010-07-23,266.5570068359375
2010-07-24,266.55300903320307
2010-07-25,266.54998779296875
2010-07-26,266.5419921875
2010-07-27,266.53399658203125
2010-07-28,266.52899169921875
2010-07-29,266.52499389648443
2010-07-30,266.5180053710937
2010-07-31,266.510986328125
2010-08-01,266.50601196289057
2010-08-02,266.50201416015625
2010-08-03,266.50698852539057
2010-08-04,266.5159912109375
2010-08-05,266.51901245117193
2010-08-06,266.5150146484375
2010-08-07,266.50698852539057
2010-08-08,266.50100708007807
2010-08-09,266.5
2010-08-10,266.4979858398437
2010-08-11,266.4949951171875
2010-08-12,266.49099731445307
2010-08-13,266.48800659179693
2010-08-14,266.4840087890625
2010-08-15,266.48800659179693
2010-08-16,266.52499389648443
2010-08-17,266.52499389648443
2010-08-18,266.52398681640625
2010-08-19,266.52200317382807
2010-08-20,266.51998901367193
2010-08-21,266.51901245117193
2010-08-22,266.52499389648443
2010-08-23,266.5260009765625
2010-08-24,266.52301025390625
2010-08-25,266.52099609375
2010-08-26,266.52301025390625
2010-08-27,266.51901245117193
2010-08-28,266.51400756835943
2010-08-29,266.510986328125
2010-08-30,266.50799560546875
2010-08-31,266.50601196289057
2010-09-01,266.50201416015625
2010-09-02,266.50299072265625
2010-09-03,266.51199340820307
2010-09-04,266.531005859375
2010-09-05,266.52801513671875
2010-09-06,266.52499389648443
2010-09-07,266.53399658203125
2010-09-08,266.5570068359375
2010-09-09,266.56900024414057
2010-09-10,266.5679931640625
2010-09-11,266.56500244140625
2010-09-12,266.56399536132807
2010-09-13,266.56900024414057
2010-09-14,266.57598876953125
2010-09-15,266.572998046875
2010-09-16,266.5679931640625
2010-09-17,266.56500244140625
2010-09-18,266.55300903320307
2010-09-19,266.54299926757807
2010-09-20,266.52999877929693
2010-09-21,266.51998901367193
2010-09-22,266.51400756835943
2010-09-23,266.5050048828125
2010-09-24,266.54098510742193
2010-09-25,266.55599975585943
2010-09-26,266.55599975585943
2010-09-27,266.552001953125
2010-09-28,266.5880126953125
2010-09-29,266.59100341796875
2010-09-30,266.57000732421875
2010-10-01,266.55599975585943
2010-10-02,266.5360107421875
2010-10-03,266.52999877929693
2010-10-04,266.52301025390625
2010-10-05,266.52301025390625
2010-10-06,266.52499389648443
2010-10-07,266.531005859375
2010-10-08,266.52999877929693
2010-10-09,266.52801513671875
2010-10-10,266.51998901367193
2010-10-11,266.51400756835943
2010-10-12,266.50601196289057
2010-10-13,266.49899291992193
2010-10-14,266.4979858398437
2010-10-15,266.5050048828125
2010-10-16,266.50299072265625
2010-10-17,266.49899291992193
2010-10-18,266.49301147460943
2010-10-19,266.48699951171875
2010-10-20,266.48199462890625
2010-10-21,266.4849853515625
2010-10-22,266.47900390625
2010-10-23,266.4739990234375
2010-10-24,266.47000122070307
2010-10-25,266.48300170898443
2010-10-26,266.50399780273443
2010-10-27,266.52301025390625
2010-10-28,266.53201293945307
2010-10-29,266.52398681640625
2010-10-30,266.51199340820307
2010-10-31,266.5
2010-11-01,266.489013671875
2010-11-02,266.48699951171875
2010-11-03,266.4849853515625
2010-11-04,266.4849853515625
2010-11-05,266.4960021972656
2010-11-06,266.5050048828125
2010-11-07,266.50601196289057
2010-11-08,266.50698852539057
2010-11-09,266.50399780273443
2010-11-10,266.5
2010-11-11,266.4970092773437
2010-11-12,266.49301147460943
2010-11-13,266.489990234375
2010-11-14,266.48599243164057
2010-11-15,266.48599243164057
2010-11-16,266.48300170898443
2010-11-17,266.50201416015625
2010-11-18,
2010-11-19,266.50900268554693
2010-11-20,266.50698852539057
2010-11-21,266.49899291992193
2010-11-22,266.50201416015625
2010-11-23,266.531005859375
2010-11-24,266.56100463867193
2010-11-25,266.56698608398443
2010-11-26,266.57400512695307
2010-11-27,266.57400512695307
2010-11-28,266.56600952148443
2010-11-29,266.5580139160156
2010-11-30,266.54800415039057
2010-12-01,266.57501220703125
2010-12-02,266.5790100097656
2010-12-03,266.56100463867193
2010-12-04,266.55300903320307
2010-12-05,266.5390014648437
2010-12-06,266.52301025390625
2010-12-07,266.50799560546875
2010-12-08,266.4979858398437
2010-12-09,266.489990234375
2010-12-10,266.48300170898443
2010-12-11,266.48001098632807
2010-12-12,266.47900390625
2010-12-13,266.49099731445307
2010-12-14,266.489990234375
2010-12-15,266.48699951171875
2010-12-16,266.48300170898443
2010-12-17,266.4750061035156
2010-12-18,266.47299194335943
2010-12-19,266.47799682617193
2010-12-20,266.48098754882807
2010-12-21,266.48199462890625
2010-12-22,266.48199462890625
2010-12-23,266.48199462890625
2010-12-24,266.47799682617193
2010-12-25,266.47299194335943
2010-12-26,266.47100830078125
2010-12-27,266.46798706054693
2010-12-28,266.46499633789057
