Datetime,Water Level (m)
1964-05-01,19.6299991607666
1964-05-02,19.65999984741211
1964-05-03,19.700000762939453
1964-05-04,19.700000762939453
1964-05-05,19.6200008392334
1964-05-06,19.559999465942383
1964-05-07,19.489999771118164
1964-05-08,19.420000076293945
1964-05-09,19.3799991607666
1964-05-10,19.290000915527344
1964-05-11,19.13999938964844
1964-05-12,19.18000030517578
1964-05-13,19.21999931335449
1964-05-14,19.21999931335449
1964-05-15,19.25
1964-05-16,19.26000022888184
1964-05-17,19.280000686645508
1964-05-18,19.270000457763672
1964-05-19,19.309999465942383
1964-05-20,19.350000381469727
1964-05-21,19.420000076293945
1964-05-22,19.479999542236328
1964-05-23,19.520000457763672
1964-05-24,19.38999938964844
1964-05-25,19.31999969482422
1964-05-26,19.290000915527344
1964-05-27,19.270000457763672
1964-05-28,19.21999931335449
1964-05-29,19.31999969482422
1964-05-30,19.420000076293945
1964-05-31,19.520000457763672
1964-06-01,19.46999931335449
1964-06-02,19.43000030517578
1964-06-03,19.3700008392334
1964-06-04,19.280000686645508
1964-06-05,19.239999771118164
1964-06-06,19.200000762939453
1964-06-07,19.15999984741211
1964-06-08,19.100000381469727
1964-06-09,19.170000076293945
1964-06-10,19.239999771118164
1964-06-11,
1964-06-12,
1964-06-13,
1964-06-14,
1964-06-15,
1964-06-16,
1964-06-17,
1964-06-18,
1964-06-19,
1964-06-20,
1964-06-21,
1964-06-22,
1964-06-23,
1964-06-24,
1964-06-25,
1964-06-26,
1964-06-27,
1964-06-28,
1964-06-29,
1964-06-30,
1964-07-01,19.13999938964844
1964-07-02,19.1200008392334
1964-07-03,19.13999938964844
1964-07-04,19.13999938964844
1964-07-05,19.170000076293945
1964-07-06,19.18000030517578
1964-07-07,19.21999931335449
1964-07-08,19.229999542236328
1964-07-09,19.239999771118164
1964-07-10,19.25
1964-07-11,19.270000457763672
1964-07-12,19.18000030517578
1964-07-13,19.1299991607666
1964-07-14,19.030000686645508
1964-07-15,18.979999542236328
1964-07-16,18.89999961853028
1964-07-17,18.84000015258789
1964-07-18,18.790000915527344
1964-07-19,18.75
1964-07-20,18.68000030517578
1964-07-21,18.6200008392334
1964-07-22,18.59000015258789
1964-07-23,18.57999992370605
1964-07-24,18.540000915527344
1964-07-25,18.489999771118164
1964-07-26,18.43000030517578
1964-07-27,18.43000030517578
1964-07-28,18.38999938964844
1964-07-29,18.3799991607666
1964-07-30,18.3700008392334
1964-07-31,18.36000061035156
1964-08-01,18.350000381469727
1964-08-02,18.38999938964844
1964-08-03,18.420000076293945
1964-08-04,18.3799991607666
1964-08-05,18.36000061035156
1964-08-06,18.350000381469727
1964-08-07,18.34000015258789
1964-08-08,18.36000061035156
1964-08-09,18.38999938964844
1964-08-10,18.440000534057614
1964-08-11,18.43000030517578
1964-08-12,18.479999542236328
1964-08-13,18.520000457763672
1964-08-14,18.56999969482422
1964-08-15,18.61000061035156
1964-08-16,18.65999984741211
1964-08-17,18.75
1964-08-18,18.770000457763672
1964-08-19,18.780000686645508
1964-08-20,18.809999465942383
1964-08-21,18.84000015258789
1964-08-22,18.700000762939453
1964-08-23,18.6299991607666
1964-08-24,18.530000686645508
1964-08-25,18.520000457763672
1964-08-26,18.32999992370605
1964-08-27,18.489999771118164
1964-08-28,18.440000534057614
1964-08-29,18.43000030517578
1964-08-30,18.38999938964844
1964-08-31,18.350000381469727
1964-09-01,18.34000015258789
1964-09-02,18.32999992370605
1964-09-03,18.31999969482422
1964-09-04,18.309999465942383
1964-09-05,18.299999237060547
1964-09-06,18.26000022888184
1964-09-07,18.229999542236328
1964-09-08,18.21999931335449
1964-09-09,18.25
1964-09-10,18.280000686645508
1964-09-11,18.309999465942383
1964-09-12,18.059999465942383
1964-09-13,18.43000030517578
1964-09-14,18.479999542236328
1964-09-15,18.459999084472656
1964-09-16,18.40999984741211
1964-09-17,18.40999984741211
1964-09-18,18.39999961853028
1964-09-19,18.38999938964844
1964-09-20,18.3700008392334
1964-09-21,18.31999969482422
1964-09-22,18.309999465942383
1964-09-23,18.280000686645508
1964-09-24,18.26000022888184
1964-09-25,18.25
1964-09-26,18.26000022888184
1964-09-27,18.270000457763672
1964-09-28,18.280000686645508
1964-09-29,18.280000686645508
1964-09-30,18.270000457763672
1964-10-01,18.25
1964-10-02,18.290000915527344
1964-10-03,18.290000915527344
1964-10-04,18.31999969482422
1964-10-05,18.32999992370605
1964-10-06,18.32999992370605
1964-10-07,18.32999992370605
1964-10-08,18.32999992370605
1964-10-09,18.32999992370605
1964-10-10,18.32999992370605
1964-10-11,18.31999969482422
1964-10-12,18.31999969482422
1964-10-13,18.31999969482422
1964-10-14,18.32999992370605
1964-10-15,18.34000015258789
1964-10-16,18.350000381469727
1964-10-17,18.3700008392334
1964-10-18,18.3799991607666
1964-10-19,18.38999938964844
1964-10-20,18.38999938964844
1964-10-21,18.38999938964844
1964-10-22,18.39999961853028
1964-10-23,18.31999969482422
1964-10-24,18.420000076293945
1964-10-25,18.43000030517578
1964-10-26,18.43000030517578
1964-10-27,18.440000534057614
1964-10-28,18.43000030517578
1964-10-29,18.43000030517578
1964-10-30,18.420000076293945
1964-10-31,18.40999984741211
1964-11-01,18.40999984741211
1964-11-02,18.40999984741211
1964-11-03,18.40999984741211
1964-11-04,18.39999961853028
1964-11-05,18.39999961853028
1964-11-06,18.38999938964844
1964-11-07,18.3700008392334
1964-11-08,18.36000061035156
1964-11-09,18.350000381469727
1964-11-10,18.3700008392334
1964-11-11,18.38999938964844
1964-11-12,18.39999961853028
1964-11-13,18.43000030517578
1964-11-14,18.440000534057614
1964-11-15,18.450000762939453
1964-11-16,18.479999542236328
1964-11-17,18.489999771118164
1964-11-18,18.5
1964-11-19,18.5
1964-11-20,18.51000022888184
1964-11-21,18.520000457763672
1964-11-22,18.530000686645508
1964-11-23,18.540000915527344
1964-11-24,18.559999465942383
1964-11-25,18.6200008392334
1964-11-26,18.6200008392334
1964-11-27,18.709999084472656
1964-11-28,18.8799991607666
1964-11-29,18.93000030517578
1964-11-30,18.950000762939453
1964-12-01,18.959999084472656
1964-12-02,18.979999542236328
1964-12-03,19.01000022888184
1964-12-04,19.01000022888184
1964-12-05,19.020000457763672
1964-12-06,19.030000686645508
1964-12-07,19.040000915527344
1964-12-08,19.059999465942383
1964-12-09,19.07999992370605
1964-12-10,19.1299991607666
1964-12-11,19.13999938964844
1964-12-12,19.14999961853028
1964-12-13,19.21999931335449
1964-12-14,19.290000915527344
1964-12-15,19.299999237060547
1964-12-16,19.309999465942383
1964-12-17,19.31999969482422
1964-12-18,19.31999969482422
1964-12-19,19.32999992370605
1964-12-20,19.34000015258789
1964-12-21,19.34000015258789
1964-12-22,19.36000061035156
1964-12-23,19.450000762939453
1964-12-24,19.520000457763672
1964-12-25,19.57999992370605
1964-12-26,19.670000076293945
1964-12-27,19.71999931335449
1964-12-28,19.739999771118164
1964-12-29,19.739999771118164
1964-12-30,19.75
1964-12-31,19.76000022888184
1965-01-01,19.75
1965-01-02,19.75
1965-01-03,19.75
1965-01-04,19.739999771118164
1965-01-05,19.739999771118164
1965-01-06,19.729999542236328
1965-01-07,19.71999931335449
1965-01-08,19.709999084472656
1965-01-09,19.739999771118164
1965-01-10,19.790000915527344
1965-01-11,19.809999465942383
1965-01-12,19.75
1965-01-13,19.700000762939453
1965-01-14,19.63999938964844
1965-01-15,19.540000915527344
1965-01-16,19.350000381469727
1965-01-17,19.34000015258789
1965-01-18,19.34000015258789
1965-01-19,19.32999992370605
1965-01-20,19.32999992370605
1965-01-21,19.32999992370605
1965-01-22,19.31999969482422
1965-01-23,19.31999969482422
1965-01-24,19.31999969482422
1965-01-25,19.31999969482422
1965-01-26,19.31999969482422
1965-01-27,19.32999992370605
1965-01-28,19.31999969482422
1965-01-29,19.31999969482422
1965-01-30,19.32999992370605
1965-01-31,19.32999992370605
1965-02-01,19.32999992370605
1965-02-02,19.290000915527344
1965-02-03,19.26000022888184
1965-02-04,19.239999771118164
1965-02-05,19.21999931335449
1965-02-06,19.170000076293945
1965-02-07,19.1200008392334
1965-02-08,19.11000061035156
1965-02-09,19.14999961853028
1965-02-10,19.209999084472656
1965-02-11,19.25
1965-02-12,19.270000457763672
1965-02-13,19.31999969482422
1965-02-14,19.350000381469727
1965-02-15,19.3799991607666
1965-02-16,19.290000915527344
1965-02-17,19.170000076293945
1965-02-18,19.0
1965-02-19,18.88999938964844
1965-02-20,18.770000457763672
1965-02-21,18.68000030517578
1965-02-22,18.709999084472656
1965-02-23,18.709999084472656
1965-02-24,18.770000457763672
1965-02-25,18.790000915527344
1965-02-26,18.81999969482422
1965-02-27,18.84000015258789
1965-02-28,18.8700008392334
1965-03-01,18.86000061035156
1965-03-02,18.86000061035156
1965-03-03,18.850000381469727
1965-03-04,18.84000015258789
1965-03-05,18.81999969482422
1965-03-06,18.76000022888184
1965-03-07,18.71999931335449
1965-03-08,18.709999084472656
1965-03-09,18.76000022888184
1965-03-10,18.81999969482422
1965-03-11,18.86000061035156
1965-03-12,18.920000076293945
1965-03-13,18.979999542236328
1965-03-14,19.0
1965-03-15,19.01000022888184
1965-03-16,19.01000022888184
1965-03-17,19.0
1965-03-18,18.979999542236328
1965-03-19,18.96999931335449
1965-03-20,18.959999084472656
1965-03-21,18.950000762939453
1965-03-22,18.950000762939453
1965-03-23,18.940000534057614
1965-03-24,18.920000076293945
1965-03-25,18.920000076293945
1965-03-26,18.920000076293945
1965-03-27,18.90999984741211
1965-03-28,18.89999961853028
1965-03-29,18.88999938964844
1965-03-30,18.88999938964844
1965-03-31,18.88999938964844
1965-04-01,18.88999938964844
1965-04-02,18.88999938964844
1965-04-03,18.89999961853028
1965-04-04,18.89999961853028
1965-04-05,18.89999961853028
1965-04-06,18.850000381469727
1965-04-07,19.020000457763672
1965-04-08,19.21999931335449
1965-04-09,19.299999237060547
1965-04-10,19.350000381469727
1965-04-11,19.40999984741211
1965-04-12,19.43000030517578
1965-04-13,19.43000030517578
1965-04-14,19.420000076293945
1965-04-15,19.38999938964844
1965-04-16,19.38999938964844
1965-04-17,19.39999961853028
1965-04-18,19.5
1965-04-19,19.700000762939453
1965-04-20,19.709999084472656
1965-04-21,19.790000915527344
1965-04-22,19.520000457763672
1965-04-23,19.450000762939453
1965-04-24,19.290000915527344
1965-04-25,19.350000381469727
1965-04-26,19.18000030517578
1965-04-27,18.959999084472656
1965-04-28,18.88999938964844
1965-04-29,19.0
1965-04-30,19.059999465942383
1965-05-01,19.100000381469727
1965-05-02,19.18000030517578
1965-05-03,19.239999771118164
1965-05-04,19.280000686645508
1965-05-05,19.290000915527344
1965-05-06,19.299999237060547
1965-05-07,19.309999465942383
1965-05-08,19.31999969482422
1965-05-09,19.309999465942383
1965-05-10,19.18000030517578
1965-05-11,19.13999938964844
1965-05-12,19.09000015258789
1965-05-13,19.13999938964844
1965-05-14,19.170000076293945
1965-05-15,19.21999931335449
1965-05-16,19.290000915527344
1965-05-17,19.65999984741211
1965-05-18,19.700000762939453
1965-05-19,19.75
1965-05-20,19.780000686645508
1965-05-21,19.65999984741211
1965-05-22,19.59000015258789
1965-05-23,19.5
1965-05-24,19.440000534057614
1965-05-25,19.290000915527344
1965-05-26,19.31999969482422
1965-05-27,19.36000061035156
1965-05-28,19.36000061035156
1965-05-29,19.3799991607666
1965-05-30,19.38999938964844
1965-05-31,19.38999938964844
1965-06-01,19.09000015258789
1965-06-02,18.920000076293945
1965-06-03,18.959999084472656
1965-06-04,18.989999771118164
1965-06-05,19.030000686645508
1965-06-06,19.030000686645508
1965-06-07,19.11000061035156
1965-06-08,19.09000015258789
1965-06-09,19.06999969482422
1965-06-10,19.059999465942383
1965-06-11,19.059999465942383
1965-06-12,19.040000915527344
1965-06-13,19.01000022888184
1965-06-14,19.020000457763672
1965-06-15,19.040000915527344
1965-06-16,19.059999465942383
1965-06-17,19.06999969482422
1965-06-18,19.06999969482422
1965-06-19,19.07999992370605
1965-06-20,19.07999992370605
1965-06-21,19.09000015258789
1965-06-22,19.020000457763672
1965-06-23,18.950000762939453
1965-06-24,18.6299991607666
1965-06-25,18.790000915527344
1965-06-26,18.75
1965-06-27,18.709999084472656
1965-06-28,18.690000534057614
1965-06-29,18.63999938964844
1965-06-30,18.61000061035156
1965-07-01,18.56999969482422
1965-07-02,18.520000457763672
1965-07-03,18.479999542236328
1965-07-04,18.479999542236328
1965-07-05,18.46999931335449
1965-07-06,18.459999084472656
1965-07-07,18.479999542236328
1965-07-08,18.5
1965-07-09,18.530000686645508
1965-07-10,18.549999237060547
1965-07-11,18.56999969482422
1965-07-12,18.57999992370605
1965-07-13,18.57999992370605
1965-07-14,18.57999992370605
1965-07-15,18.59000015258789
1965-07-16,18.59000015258789
1965-07-17,18.600000381469727
1965-07-18,18.600000381469727
1965-07-19,18.600000381469727
1965-07-20,18.61000061035156
1965-07-21,18.6200008392334
1965-07-22,18.61000061035156
1965-07-23,18.61000061035156
1965-07-24,18.61000061035156
1965-07-25,18.61000061035156
1965-07-26,18.63999938964844
1965-07-27,18.61000061035156
1965-07-28,18.57999992370605
1965-07-29,18.56999969482422
1965-07-30,18.540000915527344
1965-07-31,18.549999237060547
1965-08-01,18.51000022888184
1965-08-02,18.530000686645508
1965-08-03,18.530000686645508
1965-08-04,18.56999969482422
1965-08-05,18.600000381469727
1965-08-06,18.63999938964844
1965-08-07,18.770000457763672
1965-08-08,18.82999992370605
1965-08-09,18.959999084472656
1965-08-10,19.0
1965-08-11,19.0
1965-08-12,18.989999771118164
1965-08-13,19.0
1965-08-14,19.0
1965-08-15,19.0
1965-08-16,19.0
1965-08-17,18.920000076293945
1965-08-18,18.89999961853028
1965-08-19,18.88999938964844
1965-08-20,18.8700008392334
1965-08-21,18.81999969482422
1965-08-22,18.780000686645508
1965-08-23,18.75
1965-08-24,18.780000686645508
1965-08-25,18.780000686645508
1965-08-26,18.790000915527344
1965-08-27,18.780000686645508
1965-08-28,18.780000686645508
1965-08-29,18.770000457763672
1965-08-30,18.76000022888184
1965-08-31,18.75
1965-09-01,18.71999931335449
1965-09-02,18.670000076293945
1965-09-03,18.65999984741211
1965-09-04,18.68000030517578
1965-09-05,18.700000762939453
1965-09-06,18.71999931335449
1965-09-07,18.739999771118164
1965-09-08,18.729999542236328
1965-09-09,18.700000762939453
1965-09-10,18.700000762939453
1965-09-11,18.68000030517578
1965-09-12,18.68000030517578
1965-09-13,18.670000076293945
1965-09-14,18.61000061035156
1965-09-15,18.59000015258789
1965-09-16,18.549999237060547
1965-09-17,18.520000457763672
1965-09-18,18.520000457763672
1965-09-19,18.489999771118164
1965-09-20,18.450000762939453
1965-09-21,18.739999771118164
1965-09-22,18.82999992370605
1965-09-23,18.89999961853028
1965-09-24,18.959999084472656
1965-09-25,19.1200008392334
1965-09-26,19.25
1965-09-27,19.36000061035156
1965-09-28,19.350000381469727
1965-09-29,19.32999992370605
1965-09-30,19.309999465942383
1965-10-01,19.299999237060547
1965-10-02,19.280000686645508
1965-10-03,19.270000457763672
1965-10-04,19.270000457763672
1965-10-05,19.299999237060547
1965-10-06,19.34000015258789
1965-10-07,19.350000381469727
1965-10-08,19.3700008392334
1965-10-09,19.3799991607666
1965-10-10,19.39999961853028
1965-10-11,19.420000076293945
1965-10-12,19.43000030517578
1965-10-13,19.440000534057614
1965-10-14,19.420000076293945
1965-10-15,19.38999938964844
1965-10-16,19.39999961853028
1965-10-17,19.39999961853028
1965-10-18,19.43000030517578
1965-10-19,19.459999084472656
1965-10-20,19.51000022888184
1965-10-21,19.549999237060547
1965-10-22,19.600000381469727
1965-10-23,19.6200008392334
1965-10-24,19.670000076293945
1965-10-25,19.709999084472656
1965-10-26,19.670000076293945
1965-10-27,19.64999961853028
1965-10-28,19.61000061035156
1965-10-29,19.56999969482422
1965-10-30,19.489999771118164
1965-10-31,19.459999084472656
1965-11-01,19.450000762939453
1965-11-02,19.43000030517578
1965-11-03,19.36000061035156
1965-11-04,19.299999237060547
1965-11-05,19.290000915527344
1965-11-06,19.239999771118164
1965-11-07,19.209999084472656
1965-11-08,19.190000534057614
1965-11-09,19.14999961853028
1965-11-10,19.1299991607666
1965-11-11,19.100000381469727
1965-11-12,19.100000381469727
1965-11-13,19.1299991607666
1965-11-14,19.13999938964844
1965-11-15,19.14999961853028
1965-11-16,19.190000534057614
1965-11-17,19.209999084472656
1965-11-18,19.25
1965-11-19,19.290000915527344
1965-11-20,19.299999237060547
1965-11-21,19.309999465942383
1965-11-22,19.31999969482422
1965-11-23,19.309999465942383
1965-11-24,19.290000915527344
1965-11-25,19.280000686645508
1965-11-26,19.26000022888184
1965-11-27,19.239999771118164
1965-11-28,19.209999084472656
1965-11-29,19.200000762939453
1965-11-30,19.18000030517578
1965-12-01,19.209999084472656
1965-12-02,19.209999084472656
1965-12-03,19.26000022888184
1965-12-04,19.25
1965-12-05,19.26000022888184
1965-12-06,19.26000022888184
1965-12-07,19.209999084472656
1965-12-08,19.200000762939453
1965-12-09,19.190000534057614
1965-12-10,19.18000030517578
1965-12-11,19.18000030517578
1965-12-12,19.170000076293945
1965-12-13,19.170000076293945
1965-12-14,19.15999984741211
1965-12-15,19.13999938964844
1965-12-16,19.1299991607666
1965-12-17,19.1299991607666
1965-12-18,19.1200008392334
1965-12-19,19.11000061035156
1965-12-20,19.11000061035156
1965-12-21,19.11000061035156
1965-12-22,19.11000061035156
1965-12-23,19.100000381469727
1965-12-24,19.100000381469727
1965-12-25,19.100000381469727
1965-12-26,19.100000381469727
1965-12-27,19.040000915527344
1965-12-28,19.01000022888184
1965-12-29,19.0
1965-12-30,18.96999931335449
1965-12-31,18.959999084472656
1966-01-01,19.0
1966-01-02,19.06999969482422
1966-01-03,19.13999938964844
1966-01-04,19.21999931335449
1966-01-05,19.229999542236328
1966-01-06,19.229999542236328
1966-01-07,19.229999542236328
1966-01-08,19.229999542236328
1966-01-09,19.239999771118164
1966-01-10,19.239999771118164
1966-01-11,19.239999771118164
1966-01-12,19.209999084472656
1966-01-13,19.200000762939453
1966-01-14,19.170000076293945
1966-01-15,19.15999984741211
1966-01-16,19.13999938964844
1966-01-17,19.100000381469727
1966-01-18,19.09000015258789
1966-01-19,19.07999992370605
1966-01-20,19.06999969482422
1966-01-21,19.06999969482422
1966-01-22,19.059999465942383
1966-01-23,19.059999465942383
1966-01-24,19.059999465942383
1966-01-25,19.040000915527344
1966-01-26,19.030000686645508
1966-01-27,19.020000457763672
1966-01-28,19.0
1966-01-29,19.0
1966-01-30,18.979999542236328
1966-01-31,18.979999542236328
1966-02-01,18.96999931335449
1966-02-02,18.959999084472656
1966-02-03,18.950000762939453
1966-02-04,18.940000534057614
1966-02-05,18.93000030517578
1966-02-06,18.93000030517578
1966-02-07,18.93000030517578
1966-02-08,18.93000030517578
1966-02-09,18.940000534057614
1966-02-10,18.959999084472656
1966-02-11,18.979999542236328
1966-02-12,19.0
1966-02-13,19.01000022888184
1966-02-14,19.030000686645508
1966-02-15,19.020000457763672
1966-02-16,19.01000022888184
1966-02-17,19.0
1966-02-18,18.989999771118164
1966-02-19,18.979999542236328
1966-02-20,18.96999931335449
1966-02-21,18.959999084472656
1966-02-22,18.959999084472656
1966-02-23,18.959999084472656
1966-02-24,18.959999084472656
1966-02-25,18.959999084472656
1966-02-26,18.950000762939453
1966-02-27,18.940000534057614
1966-02-28,18.940000534057614
1966-03-01,18.950000762939453
1966-03-02,18.959999084472656
1966-03-03,18.979999542236328
1966-03-04,19.0
1966-03-05,19.040000915527344
1966-03-06,19.09000015258789
1966-03-07,19.13999938964844
1966-03-08,19.21999931335449
1966-03-09,19.229999542236328
1966-03-10,19.229999542236328
1966-03-11,19.25
1966-03-12,19.26000022888184
1966-03-13,19.26000022888184
1966-03-14,19.270000457763672
1966-03-15,19.309999465942383
1966-03-16,19.31999969482422
1966-03-17,19.34000015258789
1966-03-18,19.350000381469727
1966-03-19,19.3700008392334
1966-03-20,19.38999938964844
1966-03-21,19.420000076293945
1966-03-22,19.459999084472656
1966-03-23,19.479999542236328
1966-03-24,19.520000457763672
1966-03-25,19.56999969482422
1966-03-26,19.6200008392334
1966-03-27,19.790000915527344
1966-03-28,19.57999992370605
1966-03-29,19.59000015258789
1966-03-30,19.600000381469727
1966-03-31,19.61000061035156
1966-04-01,19.6200008392334
1966-04-02,19.6200008392334
1966-04-03,19.6299991607666
1966-04-04,19.63999938964844
1966-04-05,19.59000015258789
1966-04-06,19.59000015258789
1966-04-07,19.57999992370605
1966-04-08,19.59000015258789
1966-04-09,19.65999984741211
1966-04-10,19.65999984741211
1966-04-11,19.65999984741211
1966-04-12,19.68000030517578
1966-04-13,19.63999938964844
1966-04-14,19.65999984741211
1966-04-15,19.670000076293945
1966-04-16,19.68000030517578
1966-04-17,19.690000534057614
1966-04-18,19.700000762939453
1966-04-19,19.709999084472656
1966-04-20,19.729999542236328
1966-04-21,19.76000022888184
1966-04-22,19.770000457763672
1966-04-23,19.809999465942383
1966-04-24,19.850000381469727
1966-04-25,19.850000381469727
1966-04-26,19.850000381469727
1966-04-27,19.850000381469727
1966-04-28,19.790000915527344
1966-04-29,19.739999771118164
1966-04-30,19.670000076293945
1966-05-01,19.64999961853028
1966-05-02,19.57999992370605
1966-05-03,19.559999465942383
1966-05-04,19.520000457763672
1966-05-05,19.51000022888184
