Datetime,Water Level (m)
1999-01-01,207.71499633789065
1999-01-02,207.7050018310547
1999-01-03,207.7050018310547
1999-01-04,207.69500732421875
1999-01-05,207.6849975585937
1999-01-06,207.6450042724609
1999-01-07,207.6150054931641
1999-01-08,207.60499572753903
1999-01-09,207.6150054931641
1999-01-10,207.625
1999-01-11,207.60499572753903
1999-01-12,207.60499572753903
1999-01-13,207.59500122070312
1999-01-14,207.5850067138672
1999-01-15,207.5850067138672
1999-01-16,207.5749969482422
1999-01-17,207.5749969482422
1999-01-18,207.5749969482422
1999-01-19,207.59500122070312
1999-01-20,207.60499572753903
1999-01-21,207.59500122070312
1999-01-22,207.59500122070312
1999-01-23,207.5749969482422
1999-01-24,207.5850067138672
1999-01-25,207.6150054931641
1999-01-26,207.6450042724609
1999-01-27,207.6450042724609
1999-01-28,207.65499877929688
1999-01-29,207.6450042724609
1999-01-30,207.6450042724609
1999-01-31,207.634994506836
1999-02-01,207.60499572753903
1999-02-02,207.6150054931641
1999-02-03,207.5850067138672
1999-02-04,207.55499267578125
1999-02-05,207.55499267578125
1999-02-06,207.5249938964844
1999-02-07,207.51499938964844
1999-02-08,207.4750061035156
1999-02-09,207.46499633789065
1999-02-10,207.44500732421875
1999-02-11,207.4149932861328
1999-02-12,207.3950042724609
1999-02-13,207.3650054931641
1999-02-14,207.3350067138672
1999-02-15,207.3249969482422
1999-02-16,207.31500244140625
1999-02-17,207.30499267578125
1999-02-18,207.2949981689453
1999-02-19,207.2850036621093
1999-02-20,207.2749938964844
1999-02-21,207.26499938964844
1999-02-22,207.2250061035156
1999-02-23,207.2050018310547
1999-02-24,207.19500732421875
1999-02-25,207.1849975585937
1999-02-26,207.19500732421875
1999-02-27,207.1750030517578
1999-02-28,207.1649932861328
1999-03-01,207.1750030517578
1999-03-02,207.1849975585937
1999-03-03,207.1849975585937
1999-03-04,207.1649932861328
1999-03-05,207.2050018310547
1999-03-06,207.2050018310547
1999-03-07,207.21499633789065
1999-03-08,207.21499633789065
1999-03-09,207.2050018310547
1999-03-10,207.19500732421875
1999-03-11,207.1649932861328
1999-03-12,207.1649932861328
1999-03-13,207.1649932861328
1999-03-14,207.1750030517578
1999-03-15,207.15499877929688
1999-03-16,207.1450042724609
1999-03-17,207.1150054931641
1999-03-18,207.134994506836
1999-03-19,207.1150054931641
1999-03-20,207.1450042724609
1999-03-21,207.15499877929688
1999-03-22,207.1150054931641
1999-03-23,207.1649932861328
1999-03-24,207.2050018310547
1999-03-25,207.21499633789065
1999-03-26,207.2449951171875
1999-03-27,207.2550048828125
1999-03-28,207.2749938964844
1999-03-29,207.30499267578125
1999-03-30,207.3650054931641
1999-03-31,207.4250030517578
1999-04-01,207.4720001220703
1999-04-02,207.5269927978516
1999-04-03,207.59100341796875
1999-04-04,207.66900634765625
1999-04-05,207.738998413086
1999-04-06,207.78700256347656
1999-04-07,207.8329925537109
1999-04-08,207.8650054931641
1999-04-09,207.8890075683593
1999-04-10,207.8930053710937
1999-04-11,207.88299560546875
1999-04-12,207.86199951171875
1999-04-13,207.8370056152344
1999-04-14,207.8260040283203
1999-04-15,207.8119964599609
1999-04-16,207.8059997558593
1999-04-17,207.80799865722656
1999-04-18,207.80799865722656
1999-04-19,207.8090057373047
1999-04-20,207.81500244140625
1999-04-21,207.82000732421875
1999-04-22,207.8260040283203
1999-04-23,207.8179931640625
1999-04-24,207.81900024414065
1999-04-25,207.82400512695312
1999-04-26,207.8209991455078
1999-04-27,207.8119964599609
1999-04-28,207.8099975585937
1999-04-29,207.802001953125
1999-04-30,207.8040008544922
1999-05-01,207.80499267578125
1999-05-02,207.8040008544922
1999-05-03,207.802001953125
1999-05-04,207.8059997558593
1999-05-05,207.81700134277344
1999-05-06,207.83200073242188
1999-05-07,207.8470001220703
1999-05-08,207.8560028076172
1999-05-09,207.86099243164065
1999-05-10,207.8650054931641
1999-05-11,207.86700439453125
1999-05-12,207.8650054931641
1999-05-13,207.8600006103516
1999-05-14,207.863998413086
1999-05-15,207.86300659179688
1999-05-16,207.8650054931641
1999-05-17,207.8679962158203
1999-05-18,207.8730010986328
1999-05-19,207.8710021972656
1999-05-20,207.8939971923828
1999-05-21,207.9100036621093
1999-05-22,207.92100524902344
1999-05-23,207.9160003662109
1999-05-24,207.9100036621093
1999-05-25,207.91700744628903
1999-05-26,207.906005859375
1999-05-27,207.8860015869141
1999-05-28,207.8760070800781
1999-05-29,207.863998413086
1999-05-30,207.8600006103516
1999-05-31,207.8419952392578
1999-06-01,207.8329925537109
1999-06-02,207.8260040283203
1999-06-03,207.82899475097656
1999-06-04,207.79800415039065
1999-06-05,207.80499267578125
1999-06-06,207.8119964599609
1999-06-07,207.8119964599609
1999-06-08,207.82000732421875
1999-06-09,207.8000030517578
1999-06-10,207.8099975585937
1999-06-11,207.8099975585937
1999-06-12,207.8099975585937
1999-06-13,207.8000030517578
1999-06-14,207.8099975585937
1999-06-15,207.7899932861328
1999-06-16,207.77999877929688
1999-06-17,207.77999877929688
1999-06-18,207.7700042724609
1999-06-19,207.7700042724609
1999-06-20,207.759994506836
1999-06-21,207.75
1999-06-22,207.7400054931641
1999-06-23,207.7400054931641
1999-06-24,207.72000122070312
1999-06-25,207.72000122070312
1999-06-26,207.7100067138672
1999-06-27,207.6999969482422
1999-06-28,207.67999267578125
1999-06-29,207.6999969482422
1999-06-30,207.7100067138672
1999-07-01,207.6999969482422
1999-07-02,207.75
1999-07-03,207.72000122070312
1999-07-04,207.72000122070312
1999-07-05,207.72999572753903
1999-07-06,207.7400054931641
1999-07-07,207.7899932861328
1999-07-08,207.8000030517578
1999-07-09,207.8099975585937
1999-07-10,207.8300018310547
1999-07-11,207.8500061035156
1999-07-12,207.8699951171875
1999-07-13,207.8699951171875
1999-07-14,207.8800048828125
1999-07-15,207.8699951171875
1999-07-16,207.8600006103516
1999-07-17,207.8600006103516
1999-07-18,207.8600006103516
1999-07-19,207.8600006103516
1999-07-20,207.8300018310547
1999-07-21,207.82000732421875
1999-07-22,207.8099975585937
1999-07-23,207.7899932861328
1999-07-24,207.7899932861328
1999-07-25,207.77999877929688
