Datetime,Water Level (m)
1965-01-01,191.3000030517578
1965-01-02,191.2400054931641
1965-01-03,191.19000244140625
1965-01-04,191.1300048828125
1965-01-05,191.0800018310547
1965-01-06,191.0200042724609
1965-01-07,190.97000122070312
1965-01-08,190.9199981689453
1965-01-09,190.8600006103516
1965-01-10,190.8000030517578
1965-01-11,190.75
1965-01-12,190.69000244140625
1965-01-13,190.6300048828125
1965-01-14,190.57000732421875
1965-01-15,190.509994506836
1965-01-16,190.4499969482422
1965-01-17,190.3999938964844
1965-01-18,190.33999633789065
1965-01-19,190.2899932861328
1965-01-20,190.22999572753903
1965-01-21,190.1699981689453
1965-01-22,190.1199951171875
1965-01-23,190.0599975585937
1965-01-24,190.009994506836
1965-01-25,189.9600067138672
1965-01-26,189.9100036621093
1965-01-27,189.8500061035156
1965-01-28,189.77999877929688
1965-01-29,189.75
1965-01-30,189.6999969482422
1965-01-31,189.6499938964844
1965-02-01,189.58999633789065
1965-02-02,189.5399932861328
1965-02-03,189.4900054931641
1965-02-04,189.44000244140625
1965-02-05,189.3800048828125
1965-02-06,189.3300018310547
1965-02-07,189.2899932861328
1965-02-08,189.2400054931641
1965-02-09,189.19000244140625
1965-02-10,189.1499938964844
1965-02-11,189.1000061035156
1965-02-12,189.0599975585937
1965-02-13,189.0500030517578
1965-02-14,189.0599975585937
1965-02-15,189.0599975585937
1965-02-16,189.0599975585937
1965-02-17,189.0599975585937
1965-02-18,189.07000732421875
1965-02-19,189.07000732421875
1965-02-20,189.0800018310547
1965-02-21,189.08999633789065
1965-02-22,189.08999633789065
1965-02-23,189.1000061035156
1965-02-24,189.1100006103516
1965-02-25,189.1199951171875
1965-02-26,189.1300048828125
1965-02-27,189.13999938964844
1965-02-28,189.1499938964844
1965-03-01,189.1499938964844
1965-03-02,189.1600036621093
1965-03-03,189.1600036621093
1965-03-04,189.1699981689453
1965-03-05,189.17999267578125
1965-03-06,189.19000244140625
1965-03-07,189.19000244140625
1965-03-08,189.1999969482422
1965-03-09,189.2100067138672
1965-03-10,189.2100067138672
1965-03-11,189.22000122070312
1965-03-12,189.22000122070312
1965-03-13,189.22999572753903
1965-03-14,189.2400054931641
1965-03-15,189.2400054931641
1965-03-16,189.2400054931641
1965-03-17,189.25
1965-03-18,189.259994506836
1965-03-19,189.2700042724609
1965-03-20,189.2700042724609
1965-03-21,189.2700042724609
1965-03-22,189.27999877929688
1965-03-23,189.27999877929688
1965-03-24,189.2899932861328
1965-03-25,189.2899932861328
1965-03-26,189.3000030517578
1965-03-27,189.3000030517578
1965-03-28,189.3099975585937
1965-03-29,189.3099975585937
1965-03-30,189.3099975585937
1965-03-31,189.32000732421875
1965-04-01,189.32000732421875
1965-04-02,189.32000732421875
1965-04-03,189.3300018310547
1965-04-04,189.3300018310547
1965-04-05,189.33999633789065
1965-04-06,189.33999633789065
1965-04-07,189.3500061035156
1965-04-08,189.3500061035156
1965-04-09,189.3500061035156
1965-04-10,189.3600006103516
1965-04-11,189.3699951171875
1965-04-12,189.3699951171875
1965-04-13,189.3699951171875
1965-04-14,189.3800048828125
1965-04-15,189.3800048828125
1965-04-16,189.38999938964844
1965-04-17,189.3999938964844
1965-04-18,189.4100036621093
1965-04-19,189.4199981689453
1965-04-20,189.4199981689453
1965-04-21,189.42999267578125
1965-04-22,189.42999267578125
1965-04-23,189.44000244140625
1965-04-24,189.44000244140625
1965-04-25,189.4499969482422
1965-04-26,189.4499969482422
1965-04-27,189.4600067138672
1965-04-28,189.4600067138672
1965-04-29,189.47000122070312
1965-04-30,189.47999572753903
1965-05-01,189.4900054931641
1965-05-02,189.5
1965-05-03,189.509994506836
1965-05-04,189.509994506836
1965-05-05,189.5200042724609
1965-05-06,189.5200042724609
1965-05-07,189.5399932861328
1965-05-08,189.5599975585937
1965-05-09,189.5800018310547
1965-05-10,189.6100006103516
1965-05-11,189.6499938964844
1965-05-12,189.6999969482422
1965-05-13,189.75
1965-05-14,189.8000030517578
1965-05-15,189.8500061035156
1965-05-16,189.9100036621093
1965-05-17,190.009994506836
1965-05-18,190.1199951171875
1965-05-19,190.22999572753903
1965-05-20,190.3500061035156
1965-05-21,190.47000122070312
1965-05-22,190.58999633789065
1965-05-23,190.6999969482422
1965-05-24,190.8000030517578
1965-05-25,190.8999938964844
1965-05-26,190.9900054931641
1965-05-27,191.0800018310547
1965-05-28,191.1600036621093
1965-05-29,191.2400054931641
1965-05-30,191.3099975585937
1965-05-31,191.3999938964844
1965-06-01,191.4499969482422
1965-06-02,191.5200042724609
1965-06-03,191.5800018310547
1965-06-04,191.6300048828125
1965-06-05,191.69000244140625
1965-06-06,191.72999572753903
1965-06-07,191.7899932861328
1965-06-08,191.8500061035156
1965-06-09,191.8999938964844
1965-06-10,191.94000244140625
1965-06-11,192.0
1965-06-12,192.0500030517578
1965-06-13,192.1000061035156
1965-06-14,192.1300048828125
1965-06-15,192.1600036621093
1965-06-16,192.19000244140625
1965-06-17,192.2100067138672
1965-06-18,192.22999572753903
1965-06-19,192.25
1965-06-20,192.259994506836
1965-06-21,192.27999877929688
1965-06-22,192.3000030517578
1965-06-23,192.3300018310547
1965-06-24,192.33999633789065
1965-06-25,192.3699951171875
1965-06-26,192.4100036621093
1965-06-27,192.44000244140625
1965-06-28,192.4600067138672
1965-06-29,192.47999572753903
1965-06-30,192.5
1965-07-01,192.509994506836
1965-07-02,192.5200042724609
1965-07-03,192.5200042724609
1965-07-04,192.52999877929688
1965-07-05,192.5399932861328
1965-07-06,192.5500030517578
1965-07-07,192.57000732421875
1965-07-08,192.57000732421875
1965-07-09,192.57000732421875
1965-07-10,192.5599975585937
1965-07-11,192.5500030517578
1965-07-12,192.5399932861328
1965-07-13,192.5399932861328
1965-07-14,192.5399932861328
1965-07-15,192.52999877929688
1965-07-16,192.509994506836
1965-07-17,192.5
1965-07-18,192.5
1965-07-19,192.5
1965-07-20,192.5
1965-07-21,192.4900054931641
1965-07-22,192.4900054931641
1965-07-23,192.4900054931641
1965-07-24,192.4900054931641
1965-07-25,192.4900054931641
1965-07-26,192.4900054931641
1965-07-27,192.4900054931641
1965-07-28,192.5
1965-07-29,192.5
1965-07-30,192.509994506836
1965-07-31,192.5200042724609
1965-08-01,192.52999877929688
1965-08-02,192.5399932861328
1965-08-03,192.5500030517578
1965-08-04,192.5500030517578
1965-08-05,192.5500030517578
1965-08-06,192.5599975585937
1965-08-07,192.5800018310547
1965-08-08,192.58999633789065
1965-08-09,192.58999633789065
1965-08-10,192.58999633789065
1965-08-11,192.58999633789065
1965-08-12,192.58999633789065
1965-08-13,192.5800018310547
1965-08-14,192.5800018310547
1965-08-15,192.57000732421875
1965-08-16,192.57000732421875
1965-08-17,192.57000732421875
1965-08-18,192.5500030517578
1965-08-19,192.5399932861328
1965-08-20,192.52999877929688
1965-08-21,192.52999877929688
1965-08-22,192.52999877929688
1965-08-23,192.52999877929688
1965-08-24,192.5399932861328
1965-08-25,192.5500030517578
1965-08-26,192.5599975585937
1965-08-27,192.5599975585937
1965-08-28,192.5599975585937
1965-08-29,192.5500030517578
1965-08-30,192.57000732421875
1965-08-31,192.6000061035156
1965-09-01,192.6100006103516
1965-09-02,192.6000061035156
1965-09-03,192.58999633789065
1965-09-04,192.58999633789065
1965-09-05,192.5800018310547
1965-09-06,192.5599975585937
1965-09-07,192.5399932861328
1965-09-08,192.52999877929688
1965-09-09,192.52999877929688
1965-09-10,192.5399932861328
1965-09-11,192.5200042724609
1965-09-12,192.509994506836
1965-09-13,192.52999877929688
1965-09-14,192.5399932861328
1965-09-15,192.5200042724609
1965-09-16,192.509994506836
1965-09-17,192.509994506836
1965-09-18,192.5399932861328
