Datetime,Water Level (m)
1943-01-01,408.30999755859375
1943-01-02,408.2200012207031
1943-01-03,408.1900024414063
1943-01-04,408.1300048828125
1943-01-05,408.1000061035156
1943-01-06,408.0700073242188
1943-01-07,408.05999755859375
1943-01-08,408.0499877929688
1943-01-09,408.0299987792969
1943-01-10,408.010009765625
1943-01-11,408.0
1943-01-12,407.9800109863281
1943-01-13,407.9599914550781
1943-01-14,407.9500122070313
1943-01-15,407.8999938964844
1943-01-16,407.8800048828125
1943-01-17,407.8500061035156
1943-01-18,407.80999755859375
1943-01-19,407.8200073242188
1943-01-20,407.7799987792969
1943-01-21,407.75
1943-01-22,407.75
1943-01-23,407.739990234375
1943-01-24,407.7300109863281
1943-01-25,407.6600036621094
1943-01-26,407.6600036621094
1943-01-27,407.6099853515625
1943-01-28,407.5700073242188
1943-01-29,407.5700073242188
1943-01-30,407.5400085449219
1943-01-31,407.5400085449219
1943-02-01,407.5299987792969
1943-02-02,407.510009765625
1943-02-03,407.5
1943-02-04,407.4800109863281
1943-02-05,407.4800109863281
1943-02-06,407.4500122070313
1943-02-07,407.4599914550781
1943-02-08,407.4599914550781
1943-02-09,407.4400024414063
1943-02-10,407.3699951171875
1943-02-11,407.3999938964844
1943-02-12,407.3800048828125
1943-02-13,407.30999755859375
1943-02-14,407.3699951171875
1943-02-15,407.3800048828125
1943-02-16,407.3800048828125
1943-02-17,407.4200134277344
1943-02-18,407.3999938964844
1943-02-19,407.3999938964844
1943-02-20,407.3800048828125
1943-02-21,407.3900146484375
1943-02-22,407.3500061035156
1943-02-23,407.3500061035156
1943-02-24,407.3399963378906
1943-02-25,407.3800048828125
1943-02-26,407.3399963378906
1943-02-27,407.3500061035156
1943-02-28,407.3299865722656
1943-03-01,407.3299865722656
1943-03-02,407.3200073242188
1943-03-03,407.3200073242188
1943-03-04,407.30999755859375
1943-03-05,407.3200073242188
1943-03-06,407.3200073242188
1943-03-07,407.2999877929688
1943-03-08,407.3999938964844
1943-03-09,407.3900146484375
1943-03-10,407.3500061035156
1943-03-11,407.3399963378906
1943-03-12,407.2999877929688
1943-03-13,407.25
1943-03-14,407.2900085449219
1943-03-15,407.2799987792969
1943-03-16,407.2699890136719
1943-03-17,407.25
1943-03-18,407.239990234375
1943-03-19,407.2099914550781
1943-03-20,407.2300109863281
1943-03-21,407.2000122070313
1943-03-22,407.1499938964844
1943-03-23,407.1400146484375
1943-03-24,407.1400146484375
1943-03-25,407.1600036621094
1943-03-26,407.1400146484375
1943-03-27,407.1300048828125
1943-03-28,407.1400146484375
1943-03-29,407.1300048828125
1943-03-30,407.1300048828125
1943-03-31,407.1000061035156
1943-04-01,407.0899963378906
1943-04-02,407.0799865722656
1943-04-03,407.0799865722656
1943-04-04,407.1099853515625
1943-04-05,407.0700073242188
1943-04-06,407.0700073242188
1943-04-07,407.05999755859375
1943-04-08,407.0499877929688
1943-04-09,407.0400085449219
1943-04-10,407.0299987792969
1943-04-11,407.010009765625
1943-04-12,407.0
1943-04-13,407.0299987792969
1943-04-14,407.05999755859375
1943-04-15,407.0400085449219
1943-04-16,407.0299987792969
1943-04-17,407.0400085449219
1943-04-18,407.0299987792969
1943-04-19,407.0299987792969
1943-04-20,407.0299987792969
1943-04-21,407.0799865722656
1943-04-22,406.989990234375
1943-04-23,406.9500122070313
1943-04-24,406.8900146484375
1943-04-25,406.8900146484375
1943-04-26,406.9200134277344
1943-04-27,406.9299926757813
1943-04-28,406.9400024414063
1943-04-29,406.9500122070313
1943-04-30,407.0
1943-05-01,407.0499877929688
1943-05-02,407.0499877929688
1943-05-03,407.0899963378906
1943-05-04,407.1700134277344
1943-05-05,408.0400085449219
1943-05-06,408.3299865722656
