Datetime,Water Level (m)
1992-03-21,29.75
1992-03-22,29.68000030517578
1992-03-23,29.75
1992-03-24,29.739999771118164
1992-03-25,29.729999542236328
1992-03-26,29.71999931335449
1992-03-27,29.709999084472656
1992-03-28,29.739999771118164
1992-03-29,29.75
1992-03-30,29.76000022888184
1992-03-31,29.770000457763672
1992-04-01,29.78000068664551
1992-04-02,29.78000068664551
1992-04-03,29.790000915527344
1992-04-04,29.790000915527344
1992-04-05,29.790000915527344
1992-04-06,29.790000915527344
1992-04-07,29.79999923706055
1992-04-08,29.82999992370605
1992-04-09,29.82999992370605
1992-04-10,29.82999992370605
1992-04-11,29.79999923706055
1992-04-12,29.790000915527344
1992-04-13,29.78000068664551
1992-04-14,29.78000068664551
1992-04-15,29.75
1992-04-16,29.739999771118164
1992-04-17,29.71999931335449
1992-04-18,29.71999931335449
1992-04-19,29.71999931335449
1992-04-20,29.75
1992-04-21,29.82999992370605
1992-04-22,29.96999931335449
1992-04-23,30.209999084472656
1992-04-24,30.46999931335449
1992-04-25,30.6299991607666
1992-04-26,30.8799991607666
1992-04-27,31.06999969482422
1992-04-28,31.20000076293945
1992-04-29,31.3799991607666
1992-04-30,31.489999771118164
1992-05-01,31.489999771118164
1992-05-02,31.40999984741211
1992-05-03,31.559999465942383
1992-05-04,31.57999992370605
1992-05-05,31.70000076293945
1992-05-06,31.649999618530284
1992-05-07,31.459999084472656
1992-05-08,31.35000038146973
1992-05-09,31.420000076293945
1992-05-10,31.649999618530284
1992-05-11,31.82999992370605
1992-05-12,31.989999771118164
1992-05-13,32.2599983215332
1992-05-14,32.630001068115234
1992-05-15,32.93000030517578
1992-05-16,32.97999954223633
1992-05-17,32.84000015258789
1992-05-18,32.77000045776367
1992-05-19,32.779998779296875
1992-05-20,32.880001068115234
1992-05-21,32.81999969482422
1992-05-22,32.669998168945305
1992-05-23,32.490001678466804
1992-05-24,32.299999237060554
1992-05-25,32.15999984741211
1992-05-26,31.979999542236328
1992-05-27,31.81999969482422
1992-05-28,31.6299991607666
1992-05-29,31.46999931335449
1992-05-30,31.309999465942383
