Datetime,Water Level (m)
1965-01-01,300.7799987792969
1965-01-02,299.3099975585937
1965-01-03,299.3699951171875
1965-01-04,299.4100036621094
1965-01-05,299.4100036621094
1965-01-06,299.44000244140625
1965-01-07,299.44000244140625
1965-01-08,299.44000244140625
1965-01-09,299.3699951171875
1965-01-10,299.3399963378906
1965-01-11,299.3399963378906
1965-01-12,299.3099975585937
1965-01-13,299.2200012207031
1965-01-14,299.1600036621094
1965-01-15,299.07000732421875
1965-01-16,299.010009765625
1965-01-17,298.95001220703125
1965-01-18,298.8900146484375
1965-01-19,298.79998779296875
1965-01-20,298.7300109863281
1965-01-21,298.6400146484375
1965-01-22,298.5799865722656
1965-01-23,298.5199890136719
1965-01-24,298.4599914550781
1965-01-25,298.3999938964844
1965-01-26,298.3099975585937
1965-01-27,298.25
1965-01-28,298.1600036621094
1965-01-29,298.0899963378906
1965-01-30,298.0
1965-01-31,297.94000244140625
1965-02-01,297.8800048828125
1965-02-02,297.7900085449219
1965-02-03,297.70001220703125
1965-02-04,297.6400146484375
1965-02-05,297.54998779296875
1965-02-06,297.45001220703125
1965-02-07,297.3599853515625
1965-02-08,297.29998779296875
1965-02-09,297.2099914550781
1965-02-10,297.0899963378906
1965-02-11,297.0
1965-02-12,296.94000244140625
1965-02-13,296.69000244140625
1965-02-14,296.6300048828125
1965-02-15,296.5400085449219
1965-02-16,296.4800109863281
1965-02-17,296.3900146484375
1965-02-18,296.29998779296875
1965-02-19,296.20001220703125
1965-02-20,296.1099853515625
1965-02-21,296.0199890136719
1965-02-22,295.92999267578125
1965-02-23,295.8399963378906
1965-02-24,295.7200012207031
1965-02-25,295.6600036621094
1965-02-26,295.5599975585937
1965-02-27,295.4700012207031
1965-02-28,295.3800048828125
1965-03-01,295.2900085449219
1965-03-02,295.20001220703125
1965-03-03,295.0799865722656
1965-03-04,295.0199890136719
1965-03-05,294.9200134277344
1965-03-06,294.8599853515625
1965-03-07,294.7699890136719
1965-03-08,294.7699890136719
1965-03-09,294.79998779296875
1965-03-10,294.8299865722656
1965-03-11,294.79998779296875
1965-03-12,294.7699890136719
1965-03-13,294.67999267578125
1965-03-14,294.6499938964844
1965-03-15,294.67999267578125
1965-03-16,294.67999267578125
1965-03-17,294.7099914550781
1965-03-18,294.67999267578125
1965-03-19,294.739990234375
1965-03-20,294.739990234375
1965-03-21,294.7699890136719
1965-03-22,294.7699890136719
1965-03-23,294.7699890136719
1965-03-24,294.79998779296875
1965-03-25,294.79998779296875
1965-03-26,294.8599853515625
1965-03-27,294.8599853515625
1965-03-28,294.8599853515625
1965-03-29,294.8599853515625
1965-03-30,294.8599853515625
1965-03-31,294.8599853515625
1965-04-01,294.8599853515625
1965-04-02,294.8599853515625
1965-04-03,294.8599853515625
1965-04-04,294.9200134277344
1965-04-05,294.989990234375
1965-04-06,295.0199890136719
1965-04-07,295.0199890136719
1965-04-08,295.0199890136719
1965-04-09,294.989990234375
1965-04-10,294.989990234375
1965-04-11,294.95001220703125
1965-04-12,294.9200134277344
1965-04-13,294.8299865722656
1965-04-14,294.7699890136719
1965-04-15,294.7099914550781
1965-04-16,294.6499938964844
1965-04-17,294.5899963378906
1965-04-18,294.5599975585937
1965-04-19,294.5
1965-04-20,294.44000244140625
1965-04-21,294.3800048828125
1965-04-22,294.2799987792969
1965-04-23,294.1000061035156
1965-04-24,293.8900146484375
1965-04-25,293.7099914550781
1965-04-26,293.5199890136719
1965-04-27,293.3399963378906
1965-04-28,293.1600036621094
1965-04-29,292.94000244140625
1965-04-30,292.760009765625
1965-05-01,292.5799865722656
1965-05-02,292.42999267578125
1965-05-03,292.239990234375
1965-05-04,292.0599975585937
1965-05-05,291.8800048828125
1965-05-06,291.69000244140625
1965-05-07,291.4800109863281
1965-05-08,291.239990234375
1965-05-09,291.0199890136719
1965-05-10,290.8399963378906
1965-05-11,290.69000244140625
1965-05-12,290.6300048828125
1965-05-13,290.7799987792969
1965-05-14,290.8699951171875
1965-05-15,291.0199890136719
1965-05-16,291.1400146484375
1965-05-17,291.3599853515625
1965-05-18,291.4200134277344
1965-05-19,291.510009765625
1965-05-20,291.8800048828125
1965-05-21,292.2699890136719
1965-05-22,292.3299865722656
1965-05-23,292.489990234375
1965-05-24,292.6099853515625
1965-05-25,292.7300109863281
1965-05-26,292.8800048828125
1965-05-27,292.9700012207031
1965-05-28,293.07000732421875
1965-05-29,293.2799987792969
1965-05-30,293.5799865722656
1965-05-31,293.8599853515625
1965-06-01,294.2200012207031
1965-06-02,294.6199951171875
1965-06-03,294.95001220703125
1965-06-04,295.2900085449219
1965-06-05,295.69000244140625
1965-06-06,296.0199890136719
1965-06-07,296.4200134277344
1965-06-08,296.75
1965-06-09,297.1499938964844
1965-06-10,297.5199890136719
1965-06-11,297.8800048828125
1965-06-12,298.1600036621094
1965-06-13,298.4599914550781
1965-06-14,298.70001220703125
1965-06-15,298.95001220703125
1965-06-16,299.1600036621094
1965-06-17,299.3399963378906
1965-06-18,299.5299987792969
1965-06-19,299.67999267578125
1965-06-20,299.79998779296875
1965-06-21,299.9200134277344
1965-06-22,300.04998779296875
1965-06-23,300.1700134277344
1965-06-24,300.2900085449219
1965-06-25,300.44000244140625
1965-06-26,300.6199951171875
1965-06-27,300.7200012207031
1965-06-28,300.9599914550781
1965-06-29,301.1400146484375
1965-06-30,301.3900146484375
1965-07-01,300.04998779296875
1965-07-02,301.6600036621094
1965-07-03,301.7799987792969
1965-07-04,301.8399963378906
1965-07-05,302.0
1965-07-06,302.0
1965-07-07,302.0
1965-07-08,302.0299987792969
1965-07-09,302.0599975585937
1965-07-10,302.0899963378906
1965-07-11,302.0899963378906
1965-07-12,302.1199951171875
1965-07-13,302.1199951171875
1965-07-14,302.1199951171875
1965-07-15,302.1499938964844
1965-07-16,302.17999267578125
1965-07-17,302.2099914550781
1965-07-18,302.2099914550781
1965-07-19,302.2099914550781
1965-07-20,302.2099914550781
1965-07-21,302.1499938964844
1965-07-22,302.1199951171875
1965-07-23,302.1199951171875
1965-07-24,302.0899963378906
1965-07-25,302.0599975585937
1965-07-26,302.0599975585937
1965-07-27,302.0899963378906
1965-07-28,302.1499938964844
1965-07-29,302.2099914550781
1965-07-30,302.2099914550781
1965-07-31,302.239990234375
1965-08-01,302.17999267578125
1965-08-02,302.1499938964844
1965-08-03,302.1499938964844
1965-08-04,302.1499938964844
1965-08-05,302.1499938964844
1965-08-06,302.1499938964844
1965-08-07,302.17999267578125
1965-08-08,302.2099914550781
1965-08-09,302.239990234375
1965-08-10,302.2699890136719
1965-08-11,302.29998779296875
1965-08-12,302.2900085449219
1965-08-13,302.29998779296875
1965-08-14,302.2699890136719
1965-08-15,302.2699890136719
1965-08-16,302.29998779296875
1965-08-17,302.29998779296875
1965-08-18,302.29998779296875
1965-08-19,302.29998779296875
1965-08-20,302.32000732421875
1965-08-21,302.29998779296875
1965-08-22,302.2900085449219
1965-08-23,302.2900085449219
1965-08-24,302.3599853515625
1965-08-25,302.3299865722656
1965-08-26,302.3299865722656
1965-08-27,302.29998779296875
1965-08-28,302.2699890136719
1965-08-29,302.239990234375
1965-08-30,302.2099914550781
1965-08-31,302.2699890136719
1965-09-01,302.29998779296875
1965-09-02,302.3299865722656
1965-09-03,302.3900146484375
1965-09-04,302.3900146484375
1965-09-05,302.3900146484375
1965-09-06,302.3299865722656
1965-09-07,302.3299865722656
1965-09-08,302.3299865722656
1965-09-09,302.32000732421875
1965-09-10,302.2699890136719
1965-09-11,302.2900085449219
1965-09-12,302.239990234375
1965-09-13,302.2699890136719
1965-09-14,302.25
1965-09-15,302.2699890136719
1965-09-16,302.2099914550781
1965-09-17,302.1199951171875
1965-09-18,302.1499938964844
1965-09-19,302.1199951171875
1965-09-20,302.0899963378906
1965-09-21,302.0599975585937
1965-09-22,302.0899963378906
1965-09-23,302.0899963378906
1965-09-24,302.1499938964844
1965-09-25,302.239990234375
1965-09-26,302.2699890136719
1965-09-27,302.29998779296875
1965-09-28,302.3299865722656
1965-09-29,302.3599853515625
1965-09-30,302.3299865722656
1965-10-01,302.3299865722656
1965-10-02,302.3599853515625
1965-10-03,302.3299865722656
1965-10-04,302.3599853515625
1965-10-05,302.3599853515625
1965-10-06,302.29998779296875
1965-10-07,302.3599853515625
1965-10-08,302.3599853515625
1965-10-09,302.3599853515625
1965-10-10,302.3599853515625
1965-10-11,302.3299865722656
1965-10-12,302.29998779296875
1965-10-13,302.2699890136719
1965-10-14,302.29998779296875
1965-10-15,302.3299865722656
1965-10-16,302.3299865722656
1965-10-17,302.3299865722656
1965-10-18,302.3299865722656
1965-10-19,302.29998779296875
1965-10-20,302.29998779296875
1965-10-21,302.29998779296875
1965-10-22,302.3299865722656
1965-10-23,302.3299865722656
1965-10-24,302.3299865722656
1965-10-25,302.3900146484375
1965-10-26,302.3599853515625
1965-10-27,302.3900146484375
1965-10-28,302.3900146484375
1965-10-29,302.3900146484375
1965-10-30,302.3599853515625
1965-10-31,302.3299865722656
1965-11-01,302.3299865722656
1965-11-02,302.3299865722656
1965-11-03,302.29998779296875
1965-11-04,302.239990234375
1965-11-05,302.239990234375
1965-11-06,302.2099914550781
1965-11-07,302.2099914550781
1965-11-08,302.17999267578125
1965-11-09,302.17999267578125
1965-11-10,302.1199951171875
1965-11-11,302.0899963378906
1965-11-12,302.0599975585937
1965-11-13,302.0
1965-11-14,301.9700012207031
1965-11-15,301.8999938964844
1965-11-16,301.8399963378906
1965-11-17,301.8099975585937
1965-11-18,301.7799987792969
1965-11-19,301.75
1965-11-20,301.7200012207031
1965-11-21,301.7200012207031
1965-11-22,301.7200012207031
1965-11-23,301.6600036621094
1965-11-24,301.6000061035156
1965-11-25,301.510009765625
1965-11-26,301.4800109863281
1965-11-27,301.45001220703125
1965-11-28,301.4200134277344
1965-11-29,301.3599853515625
1965-11-30,301.2900085449219
1965-12-01,301.20001220703125
1965-12-02,301.0799865722656
1965-12-03,300.9599914550781
1965-12-04,300.92999267578125
1965-12-05,300.8999938964844
1965-12-06,300.8699951171875
1965-12-07,300.8099975585937
1965-12-08,300.7799987792969
1965-12-09,300.75
1965-12-10,300.7200012207031
1965-12-11,300.6199951171875
1965-12-12,300.5899963378906
1965-12-13,300.4700012207031
1965-12-14,300.3500061035156
1965-12-15,300.2300109863281
1965-12-16,300.1400146484375
1965-12-17,300.04998779296875
1965-12-18,299.9800109863281
1965-12-19,299.8900146484375
1965-12-20,299.79998779296875
1965-12-21,299.7099914550781
1965-12-22,299.6199951171875
1965-12-23,299.5299987792969
1965-12-24,299.4100036621094
1965-12-25,299.3099975585937
1965-12-26,299.2200012207031
1965-12-27,299.1000061035156
1965-12-28,298.9800109863281
1965-12-29,298.8599853515625
1965-12-30,298.760009765625
1965-12-31,298.6700134277344
1966-01-01,298.5799865722656
1966-01-02,298.4599914550781
1966-01-03,298.3699951171875
1966-01-04,298.2799987792969
1966-01-05,298.19000244140625
1966-01-06,298.0899963378906
1966-01-07,298.0
1966-01-08,297.8800048828125
1966-01-09,297.7900085449219
1966-01-10,297.70001220703125
1966-01-11,297.6099853515625
1966-01-12,297.4800109863281
1966-01-13,297.3900146484375
1966-01-14,297.2699890136719
1966-01-15,297.1199951171875
1966-01-16,296.9700012207031
1966-01-17,296.7799987792969
1966-01-18,296.6600036621094
1966-01-19,296.5400085449219
1966-01-20,296.4800109863281
1966-01-21,296.4200134277344
1966-01-22,296.29998779296875
1966-01-23,296.239990234375
1966-01-24,296.1400146484375
1966-01-25,296.0199890136719
1966-01-26,295.8999938964844
1966-01-27,295.7799987792969
1966-01-28,295.69000244140625
1966-01-29,295.5299987792969
1966-01-30,295.3800048828125
1966-01-31,295.260009765625
1966-02-01,295.1099853515625
1966-02-02,294.9200134277344
1966-02-03,294.79998779296875
1966-02-04,294.6199951171875
1966-02-05,294.5
1966-02-06,294.3500061035156
1966-02-07,294.19000244140625
1966-02-08,294.0400085449219
1966-02-09,293.8900146484375
1966-02-10,293.739990234375
1966-02-11,293.5799865722656
1966-02-12,293.4599914550781
1966-02-13,293.3099975585937
1966-02-14,293.19000244140625
1966-02-15,293.0299987792969
1966-02-16,292.8800048828125
1966-02-17,292.760009765625
1966-02-18,292.6099853515625
1966-02-19,292.4599914550781
1966-02-20,292.29998779296875
1966-02-21,292.17999267578125
1966-02-22,292.0
1966-02-23,291.8500061035156
1966-02-24,291.69000244140625
1966-02-25,291.510009765625
1966-02-26,291.3299865722656
1966-02-27,291.1400146484375
1966-02-28,290.9599914550781
1966-03-01,290.75
1966-03-02,290.5400085449219
1966-03-03,290.32000732421875
1966-03-04,290.1099853515625
1966-03-05,289.92999267578125
1966-03-06,289.7699890136719
1966-03-07,289.5599975585937
1966-03-08,289.3500061035156
1966-03-09,289.19000244140625
1966-03-10,289.010009765625
1966-03-11,288.8599853515625
1966-03-12,288.739990234375
1966-03-13,288.6199951171875
1966-03-14,288.4599914550781
1966-03-15,288.2799987792969
1966-03-16,288.1000061035156
1966-03-17,287.8800048828125
1966-03-18,287.70001220703125
1966-03-19,287.5199890136719
1966-03-20,287.3699951171875
1966-03-21,287.17999267578125
1966-03-22,286.94000244140625
1966-03-23,286.7300109863281
1966-03-24,286.510009765625
1966-03-25,286.510009765625
1966-03-26,286.510009765625
1966-03-27,286.2699890136719
1966-03-28,286.0899963378906
1966-03-29,285.8399963378906
1966-03-30,285.45001220703125
1966-03-31,285.32000732421875
1966-04-01,285.1099853515625
1966-04-02,284.9599914550781
1966-04-03,284.739990234375
1966-04-04,284.5299987792969
1966-04-05,284.32000732421875
1966-04-06,284.1300048828125
1966-04-07,283.9200134277344
1966-04-08,283.67999267578125
1966-04-09,283.4599914550781
1966-04-10,283.25
1966-04-11,283.010009765625
1966-04-12,282.760009765625
1966-04-13,282.6400146484375
1966-04-14,282.760009765625
1966-04-15,282.8500061035156
1966-04-16,282.95001220703125
1966-04-17,283.0400085449219
1966-04-18,283.1300048828125
1966-04-19,283.2200012207031
1966-04-20,283.2799987792969
1966-04-21,283.3399963378906
1966-04-22,283.4599914550781
1966-04-23,283.5599975585937
1966-04-24,283.6499938964844
1966-04-25,283.739990234375
1966-04-26,283.8299865722656
1966-04-27,283.9200134277344
1966-04-28,283.9800109863281
1966-04-29,284.1000061035156
1966-04-30,284.1700134277344
1966-05-01,284.2900085449219
1966-05-02,284.3800048828125
1966-05-03,284.5
1966-05-04,284.5599975585937
1966-05-05,284.6199951171875
1966-05-06,284.67999267578125
1966-05-07,284.739990234375
1966-05-08,284.8699951171875
1966-05-09,284.92999267578125
1966-05-10,284.989990234375
1966-05-11,285.04998779296875
1966-05-12,285.1099853515625
1966-05-13,285.1700134277344
1966-05-14,285.260009765625
1966-05-15,285.32000732421875
1966-05-16,285.3800048828125
1966-05-17,285.510009765625
1966-05-18,285.7200012207031
1966-05-19,285.8999938964844
1966-05-20,286.17999267578125
1966-05-21,286.5400085449219
1966-05-22,286.94000244140625
1966-05-23,287.3999938964844
1966-05-24,287.82000732421875
