Datetime,Water Level (m)
1960-05-09,36.150001525878906
1960-05-10,36.18000030517578
1960-05-11,36.20000076293945
1960-05-12,36.2400016784668
1960-05-13,36.2400016784668
1960-05-14,36.36000061035156
1960-05-15,36.65999984741211
1960-05-16,37.08000183105469
1960-05-17,37.86000061035156
1960-05-18,37.81999969482422
1960-05-19,
1960-05-20,
1960-05-21,
1960-05-22,
1960-05-23,
1960-05-24,
1960-05-25,41.75
1960-05-26,41.61999893188477
1960-05-27,41.20000076293945
1960-05-28,40.900001525878906
1960-05-29,40.72000122070313
1960-05-30,40.61000061035156
1960-05-31,40.34999847412109
1960-06-01,40.209999084472656
1960-06-02,40.31999969482422
1960-06-03,40.13999938964844
1960-06-04,39.810001373291016
1960-06-05,39.5099983215332
1960-06-06,39.150001525878906
1960-06-07,38.810001373291016
1960-06-08,38.54999923706055
1960-06-09,38.27000045776367
1960-06-10,38.08000183105469
1960-06-11,37.93999862670898
1960-06-12,37.790000915527344
1960-06-13,37.63000106811523
1960-06-14,37.52999877929688
1960-06-15,
1960-06-16,
1960-06-17,37.290000915527344
1960-06-18,37.18999862670898
1960-06-19,37.11000061035156
1960-06-20,37.02000045776367
1960-06-21,
1960-06-22,
1960-06-23,36.72000122070313
1960-06-24,36.68000030517578
1960-06-25,
1960-06-26,36.560001373291016
1960-06-27,
1960-06-28,
1960-06-29,
1960-06-30,36.54999923706055
