Datetime,Water Level (m)
2007-01-01,328.1180114746094
2007-01-02,328.11199951171875
2007-01-03,328.1090087890625
2007-01-04,328.1080017089844
2007-01-05,328.1059875488281
2007-01-06,328.1029968261719
2007-01-07,328.0989990234375
2007-01-08,328.0979919433594
2007-01-09,328.09600830078125
2007-01-10,328.0880126953125
2007-01-11,328.0830078125
2007-01-12,328.0820007324219
2007-01-13,328.0790100097656
2007-01-14,328.0780029296875
2007-01-15,328.07598876953125
2007-01-16,328.07598876953125
2007-01-17,328.07501220703125
2007-01-18,328.07000732421875
2007-01-19,328.06298828125
2007-01-20,328.05499267578125
2007-01-21,328.0469970703125
2007-01-22,328.0409851074219
2007-01-23,328.0369873046875
2007-01-24,328.0320129394531
2007-01-25,328.0260009765625
2007-01-26,328.02301025390625
2007-01-27,328.0220031738281
2007-01-28,328.0190124511719
2007-01-29,328.01300048828125
2007-01-30,328.010986328125
2007-01-31,328.0050048828125
2007-02-01,328.0
2007-02-02,327.9949951171875
2007-02-03,327.9909973144531
2007-02-04,327.9840087890625
2007-02-05,327.9779968261719
2007-02-06,327.9739990234375
2007-02-07,327.9649963378906
2007-02-08,327.9580078125
2007-02-09,327.9519958496094
2007-02-10,327.94500732421875
2007-02-11,327.9410095214844
2007-02-12,327.9349975585937
2007-02-13,327.92999267578125
2007-02-14,327.9259948730469
2007-02-15,327.9200134277344
2007-02-16,327.9150085449219
2007-02-17,327.9140014648437
2007-02-18,327.9119873046875
2007-02-19,327.9119873046875
2007-02-20,327.9150085449219
2007-02-21,327.9150085449219
2007-02-22,327.91900634765625
2007-02-23,327.9200134277344
2007-02-24,327.9200134277344
2007-02-25,327.9209899902344
2007-02-26,327.9209899902344
2007-02-27,327.9209899902344
2007-02-28,327.9179992675781
2007-03-01,327.9140014648437
2007-03-02,327.9100036621094
2007-03-03,327.9070129394531
2007-03-04,327.9020080566406
2007-03-05,327.8949890136719
2007-03-06,327.88800048828125
2007-03-07,327.8800048828125
2007-03-08,327.8699951171875
2007-03-09,327.86700439453125
2007-03-10,327.8689880371094
2007-03-11,327.864990234375
2007-03-12,327.86199951171875
2007-03-13,327.8659973144531
2007-03-14,327.864013671875
2007-03-15,327.8590087890625
2007-03-16,327.8550109863281
2007-03-17,327.8489990234375
2007-03-18,327.843994140625
2007-03-19,327.84698486328125
2007-03-20,327.8399963378906
2007-03-21,327.8340148925781
2007-03-22,327.8330078125
2007-03-23,327.8290100097656
2007-03-24,327.8280029296875
2007-03-25,327.82598876953125
2007-03-26,327.8380126953125
2007-03-27,327.8550109863281
2007-03-28,327.864990234375
2007-03-29,327.88299560546875
2007-03-30,327.8940124511719
2007-03-31,327.8949890136719
2007-04-01,327.89898681640625
2007-04-02,327.90899658203125
2007-04-03,327.9129943847656
2007-04-04,327.9129943847656
2007-04-05,327.9119873046875
2007-04-06,327.90899658203125
2007-04-07,327.90399169921875
2007-04-08,327.9010009765625
2007-04-09,327.8970031738281
2007-04-10,327.8949890136719
2007-04-11,327.8949890136719
2007-04-12,327.8949890136719
2007-04-13,327.8970031738281
2007-04-14,327.89801025390625
2007-04-15,327.9010009765625
2007-04-16,327.9129943847656
2007-04-17,327.9410095214844
2007-04-18,327.9700012207031
2007-04-19,328.0069885253906
2007-04-20,328.0669860839844
2007-04-21,328.1549987792969
2007-04-22,328.26300048828125
2007-04-23,328.39801025390625
2007-04-24,328.5350036621094
2007-04-25,328.656005859375
2007-04-26,328.76300048828125
2007-04-27,328.875
2007-04-28,329.010009765625
2007-04-29,329.1610107421875
2007-04-30,329.3219909667969
2007-05-01,329.4729919433594
2007-05-02,329.64898681640625
2007-05-03,329.7640075683594
2007-05-04,329.8179931640625
2007-05-05,329.8510131835937
2007-05-06,329.85699462890625
2007-05-07,329.8349914550781
2007-05-08,329.7900085449219
2007-05-09,329.7279968261719
2007-05-10,329.6839904785156
2007-05-11,329.6159973144531
2007-05-12,329.5610046386719
2007-05-13,329.50299072265625
2007-05-14,329.4179992675781
2007-05-15,329.364990234375
2007-05-16,329.31500244140625
2007-05-17,329.2799987792969
2007-05-18,329.1629943847656
2007-05-19,329.12799072265625
2007-05-20,329.10400390625
2007-05-21,329.0559997558594
2007-05-22,329.0390014648437
2007-05-23,329.0249938964844
2007-05-24,329.0039978027344
2007-05-25,329.0379943847656
