Datetime,Water Level (m)
2006-12-01,260.7879943847656
2006-12-02,260.7919921875
2006-12-03,260.7890014648437
2006-12-04,260.7879943847656
2006-12-05,260.77801513671875
2006-12-06,260.76998901367193
2006-12-07,
2006-12-08,260.74200439453125
2006-12-09,260.73300170898443
2006-12-10,260.7250061035156
2006-12-11,260.7080078125
2006-12-12,260.70199584960943
2006-12-13,260.78201293945307
2006-12-14,260.843994140625
2006-12-15,260.89898681640625
2006-12-16,260.92300415039057
2006-12-17,260.94699096679693
2006-12-18,
2006-12-19,260.93798828125
2006-12-20,260.9349975585937
2006-12-21,260.91500854492193
2006-12-22,260.88800048828125
2006-12-23,260.89401245117193
2006-12-24,260.89401245117193
2006-12-25,260.8710021972656
2006-12-26,260.8389892578125
2006-12-27,260.81500244140625
2006-12-28,260.78298950195307
2006-12-29,260.76199340820307
2006-12-30,260.7460021972656
2006-12-31,260.73001098632807
2007-01-01,260.7269897460937
2007-01-02,260.70901489257807
2007-01-03,260.69900512695307
2007-01-04,260.69198608398443
2007-01-05,260.69500732421875
2007-01-06,260.7030029296875
2007-01-07,260.6929931640625
2007-01-08,260.68899536132807
2007-01-09,260.67898559570307
2007-01-10,260.6610107421875
2007-01-11,260.6510009765625
2007-01-12,260.64599609375
2007-01-13,260.61700439453125
2007-01-14,260.6010131835937
2007-01-15,260.59201049804693
2007-01-16,260.5799865722656
2007-01-17,260.57501220703125
2007-01-18,260.57400512695307
2007-01-19,260.56399536132807
2007-01-20,260.54598999023443
2007-01-21,260.5369873046875
2007-01-22,260.5369873046875
2007-01-23,260.53298950195307
2007-01-24,260.50698852539057
2007-01-25,260.50601196289057
2007-01-26,260.4960021972656
2007-01-27,260.48300170898443
2007-01-28,260.4769897460937
2007-01-29,260.47100830078125
2007-01-30,260.46099853515625
2007-01-31,260.45098876953125
2007-02-01,260.45199584960943
2007-02-02,260.45098876953125
2007-02-03,260.4429931640625
2007-02-04,260.43099975585943
2007-02-05,260.427001953125
2007-02-06,260.4219970703125
2007-02-07,260.4169921875
2007-02-08,260.41799926757807
2007-02-09,260.4119873046875
2007-02-10,260.40798950195307
2007-02-11,260.40200805664057
2007-02-12,260.39599609375
2007-02-13,260.38800048828125
2007-02-14,260.385986328125
2007-02-15,260.38198852539057
2007-02-16,260.38101196289057
2007-02-17,260.385009765625
2007-02-18,260.37600708007807
2007-02-19,260.37399291992193
2007-02-20,260.38101196289057
2007-02-21,260.375
2007-02-22,260.38299560546875
2007-02-23,260.38198852539057
2007-02-24,260.37899780273443
2007-02-25,260.3729858398437
2007-02-26,260.37701416015625
2007-02-27,260.37799072265625
2007-02-28,260.37701416015625
2007-03-01,260.375
2007-03-02,260.37799072265625
2007-03-03,260.3919982910156
2007-03-04,260.39498901367193
2007-03-05,260.3909912109375
2007-03-06,260.38198852539057
2007-03-07,260.37899780273443
2007-03-08,260.3720092773437
2007-03-09,260.3800048828125
2007-03-10,260.3909912109375
2007-03-11,260.38900756835943
2007-03-12,260.406005859375
2007-03-13,260.4119873046875
2007-03-14,260.42098999023443
2007-03-15,260.39599609375
2007-03-16,260.39401245117193
2007-03-17,260.39498901367193
2007-03-18,260.39498901367193
2007-03-19,260.39700317382807
2007-03-20,260.39401245117193
2007-03-21,260.39498901367193
2007-03-22,260.25601196289057
2007-03-23,259.99099731445307
2007-03-24,259.98098754882807
2007-03-25,260.0379943847656
2007-03-26,260.24200439453125
2007-03-27,260.31900024414057
2007-03-28,260.3070068359375
2007-03-29,260.3089904785156
2007-03-30,260.35800170898443
2007-03-31,260.3710021972656
2007-04-01,260.406005859375
2007-04-02,260.5150146484375
2007-04-03,260.55398559570307
2007-04-04,260.5180053710937
2007-04-05,260.3800048828125
2007-04-06,260.36700439453125
2007-04-07,260.38198852539057
2007-04-08,260.43099975585943
2007-04-09,260.41000366210943
2007-04-10,260.37399291992193
2007-04-11,260.33200073242193
2007-04-12,260.28500366210943
2007-04-13,260.25
2007-04-14,260.20901489257807
2007-04-15,260.17098999023443
2007-04-16,260.14801025390625
2007-04-17,260.177001953125
2007-04-18,260.3380126953125
2007-04-19,260.63400268554693
2007-04-20,260.9639892578125
2007-04-21,261.11700439453125
2007-04-22,261.27999877929693
2007-04-23,261.41598510742193
2007-04-24,261.48699951171875
2007-04-25,261.50698852539057
2007-04-26,261.50399780273443
2007-04-27,261.43600463867193
2007-04-28,261.33599853515625
2007-04-29,261.322998046875
2007-04-30,261.3099975585937
2007-05-01,261.3080139160156
2007-05-02,261.27801513671875
2007-05-03,261.23001098632807
2007-05-04,261.1220092773437
2007-05-05,261.0780029296875
2007-05-06,261.0469970703125
2007-05-07,261.0169982910156
2007-05-08,260.97799682617193
2007-05-09,260.94100952148443
2007-05-10,260.9949951171875
2007-05-11,261.06298828125
2007-05-12,261.05099487304693
2007-05-13,261.03399658203125
2007-05-14,261.0180053710937
2007-05-15,260.99200439453125
2007-05-16,260.9769897460937
2007-05-17,260.97198486328125
2007-05-18,260.9580078125
2007-05-19,260.91799926757807
2007-05-20,260.90399169921875
2007-05-21,260.90301513671875
2007-05-22,260.8930053710937
2007-05-23,260.885986328125
2007-05-24,260.864013671875
2007-05-25,260.84100341796875
2007-05-26,260.79998779296875
2007-05-27,260.78500366210943
2007-05-28,260.77099609375
2007-05-29,260.75601196289057
2007-05-30,260.75100708007807
2007-05-31,260.78399658203125
2007-06-01,260.82501220703125
2007-06-02,260.87899780273443
2007-06-03,260.90701293945307
2007-06-04,260.9639892578125
2007-06-05,261.0570068359375
2007-06-06,261.11700439453125
2007-06-07,261.14801025390625
2007-06-08,261.17999267578125
2007-06-09,261.1719970703125
2007-06-10,261.14700317382807
2007-06-11,261.1210021972656
2007-06-12,261.0889892578125
2007-06-13,261.07101440429693
2007-06-14,261.07000732421875
2007-06-15,261.04998779296875
2007-06-16,261.01300048828125
2007-06-17,260.97900390625
2007-06-18,260.9559936523437
2007-06-19,260.9330139160156
2007-06-20,260.8909912109375
2007-06-21,260.85598754882807
2007-06-22,260.81698608398443
2007-06-23,260.79501342773443
2007-06-24,260.76901245117193
2007-06-25,260.75
2007-06-26,260.72198486328125
2007-06-27,260.718994140625
2007-06-28,260.7030029296875
2007-06-29,260.718994140625
2007-06-30,260.7239990234375
2007-07-01,260.73001098632807
2007-07-02,260.73599243164057
2007-07-03,260.7470092773437
2007-07-04,260.76199340820307
2007-07-05,260.781005859375
2007-07-06,260.80398559570307
2007-07-07,260.83401489257807
