Datetime,Water Level (m)
2013-01-01,515.333984375
2013-01-02,515.333984375
2013-01-03,515.3330078125
2013-01-04,515.3330078125
2013-01-05,515.3309936523439
2013-01-06,515.3309936523439
2013-01-07,515.3330078125
2013-01-08,515.3330078125
2013-01-09,515.3330078125
2013-01-10,515.3330078125
2013-01-11,515.3319702148439
2013-01-12,515.3289794921875
2013-01-13,515.3280029296875
2013-01-14,515.3270263671875
2013-01-15,515.3270263671875
2013-01-16,515.3270263671875
2013-01-17,515.3250122070311
2013-01-18,515.3300170898439
2013-01-19,515.3309936523439
2013-01-20,515.3280029296875
2013-01-21,515.3280029296875
2013-01-22,515.3259887695311
2013-01-23,515.3250122070311
2013-01-24,515.3289794921875
2013-01-25,515.3300170898439
2013-01-26,515.3280029296875
2013-01-27,515.3289794921875
2013-01-28,515.3309936523439
2013-01-29,515.3319702148439
2013-01-30,515.3309936523439
2013-01-31,515.3289794921875
2013-02-01,515.3280029296875
2013-02-02,515.3280029296875
2013-02-03,515.3280029296875
2013-02-04,515.3309936523439
2013-02-05,515.3309936523439
2013-02-06,515.3300170898439
2013-02-07,515.3280029296875
2013-02-08,515.3280029296875
2013-02-09,515.3270263671875
2013-02-10,515.3300170898439
2013-02-11,515.3280029296875
2013-02-12,515.3270263671875
2013-02-13,515.3280029296875
2013-02-14,515.3259887695311
2013-02-15,515.3250122070311
2013-02-16,515.323974609375
2013-02-17,515.3259887695311
2013-02-18,515.323974609375
2013-02-19,515.322998046875
2013-02-20,515.322021484375
2013-02-21,515.3209838867189
2013-02-22,515.3209838867189
2013-02-23,515.3209838867189
2013-02-24,515.3189697265625
2013-02-25,515.3189697265625
2013-02-26,515.3189697265625
2013-02-27,515.3179931640625
2013-02-28,515.3170166015625
2013-03-01,515.3159790039061
2013-03-02,515.3159790039061
2013-03-03,515.3170166015625
2013-03-04,515.3150024414061
2013-03-05,515.3150024414061
2013-03-06,515.3150024414061
2013-03-07,515.3150024414061
2013-03-08,515.3150024414061
2013-03-09,515.3150024414061
2013-03-10,515.31298828125
2013-03-11,515.3150024414061
2013-03-12,515.31298828125
2013-03-13,515.3140258789061
2013-03-14,515.3140258789061
2013-03-15,515.31201171875
2013-03-16,515.31298828125
2013-03-17,515.31298828125
2013-03-18,515.31201171875
2013-03-19,515.31201171875
2013-03-20,515.3109741210939
2013-03-21,515.3099975585939
2013-03-22,515.3090209960939
2013-03-23,515.3079833984375
2013-03-24,515.3070068359375
2013-03-25,515.3070068359375
2013-03-26,515.3070068359375
2013-03-27,515.3060302734375
2013-03-28,515.3049926757811
2013-03-29,515.3049926757811
2013-03-30,515.3049926757811
2013-03-31,515.3040161132811
2013-04-01,515.302978515625
2013-04-02,515.3040161132811
2013-04-03,515.302978515625
2013-04-04,515.302978515625
2013-04-05,515.3040161132811
2013-04-06,515.3079833984375
2013-04-07,515.3090209960939
2013-04-08,515.3070068359375
2013-04-09,515.3049926757811
2013-04-10,515.3049926757811
2013-04-11,515.3079833984375
2013-04-12,515.3099975585939
2013-04-13,515.3099975585939
2013-04-14,515.3090209960939
2013-04-15,515.3079833984375
2013-04-16,515.3049926757811
2013-04-17,515.3040161132811
2013-04-18,515.3040161132811
2013-04-19,515.302978515625
2013-04-20,515.302978515625
2013-04-21,515.3079833984375
2013-04-22,515.3049926757811
2013-04-23,515.3060302734375
2013-04-24,515.3070068359375
2013-04-25,515.3070068359375
2013-04-26,515.3090209960939
2013-04-27,515.3159790039061
2013-04-28,515.3289794921875
2013-04-29,515.343994140625
2013-04-30,515.3489990234375
2013-05-01,515.3510131835939
2013-05-02,515.3489990234375
2013-05-03,515.35302734375
2013-05-04,515.3569946289061
2013-05-05,515.3610229492189
2013-05-06,515.3709716796875
2013-05-07,515.3800048828125
2013-05-08,515.3870239257811
2013-05-09,515.39697265625
2013-05-10,515.4180297851561
2013-05-11,515.4130249023439
2013-05-12,515.4149780273439
2013-05-13,515.4229736328125
2013-05-14,515.427001953125
2013-05-15,515.416015625
2013-05-16,515.4089965820311
2013-05-17,515.4149780273439
2013-05-18,515.426025390625
2013-05-19,515.426025390625
2013-05-20,515.427001953125
2013-05-21,515.4249877929689
2013-05-22,515.427001953125
2013-05-23,515.416015625
2013-05-24,515.4130249023439
2013-05-25,515.4080200195311
2013-05-26,515.405029296875
2013-05-27,515.405029296875
2013-05-28,515.4080200195311
2013-05-29,515.4110107421875
2013-05-30,515.4439697265625
2013-05-31,515.4600219726561
2013-06-01,515.458984375
2013-06-02,515.458984375
2013-06-03,515.4609985351561
2013-06-04,515.4600219726561
2013-06-05,515.4520263671875
2013-06-06,515.4630126953125
2013-06-07,515.4719848632811
2013-06-08,515.4869995117189
2013-06-09,515.5280151367189
2013-06-10,515.541015625
2013-06-11,515.56298828125
2013-06-12,515.5789794921875
2013-06-13,515.6079711914061
2013-06-14,515.6719970703125
2013-06-15,515.7559814453125
2013-06-16,515.9149780273439
2013-06-17,515.9630126953125
2013-06-18,515.968017578125
2013-06-19,515.968017578125
2013-06-20,515.9439697265625
2013-06-21,515.926025390625
2013-06-22,515.9080200195311
2013-06-23,515.9030151367189
2013-06-24,515.9019775390625
2013-06-25,515.9000244140625
2013-06-26,515.916015625
2013-06-27,515.926025390625
2013-06-28,515.9819946289061
2013-06-29,515.9849853515625
2013-06-30,515.9600219726561
2013-07-01,515.9299926757811
2013-07-02,515.8980102539061
2013-07-03,515.8709716796875
2013-07-04,515.8380126953125
2013-07-05,515.8049926757811
2013-07-06,515.7760009765625
2013-07-07,515.7540283203125
2013-07-08,515.72998046875
2013-07-09,515.7069702148439
2013-07-10,515.6890258789061
2013-07-11,515.6640014648439
2013-07-12,515.6420288085939
2013-07-13,515.6179809570311
2013-07-14,515.594970703125
2013-07-15,515.5750122070311
2013-07-16,515.5579833984375
2013-07-17,515.5339965820311
2013-07-18,515.5170288085939
2013-07-19,515.5
2013-07-20,515.4840087890625
2013-07-21,515.4879760742189
2013-07-22,515.4949951171875
2013-07-23,515.5020141601561
2013-07-24,515.5089721679689
2013-07-25,515.5159912109375
2013-07-26,515.5230102539061
2013-07-27,515.530029296875
2013-07-28,515.5369873046875
2013-07-29,515.5440063476561
2013-07-30,515.5390014648439
2013-07-31,515.5339965820311
2013-08-01,515.530029296875
2013-08-02,515.5230102539061
2013-08-03,515.5139770507811
2013-08-04,515.5070190429689
2013-08-05,515.4979858398439
2013-08-06,515.4910278320311
2013-08-07,515.4840087890625
2013-08-08,515.4769897460939
2013-08-09,515.4710083007811
2013-08-10,515.4639892578125
2013-08-11,515.4569702148439
2013-08-12,515.4500122070311
2013-08-13,515.4429931640625
2013-08-14,515.43798828125
2013-08-15,515.43701171875
2013-08-16,515.4420166015625
2013-08-17,515.447998046875
2013-08-18,515.4420166015625
2013-08-19,515.43798828125
2013-08-20,515.427978515625
2013-08-21,515.4240112304689
2013-08-22,515.4190063476561
2013-08-23,515.4199829101561
2013-08-24,515.4229736328125
2013-08-25,515.4190063476561
2013-08-26,515.4199829101561
2013-08-27,515.4190063476561
2013-08-28,515.4149780273439
2013-08-29,515.4130249023439
2013-08-30,515.4229736328125
2013-08-31,515.47998046875
2013-09-01,515.47900390625
2013-09-02,515.47802734375
2013-09-03,515.4840087890625
2013-09-04,515.4719848632811
2013-09-05,515.4710083007811
2013-09-06,515.4710083007811
2013-09-07,515.4660034179689
2013-09-08,515.4580078125
2013-09-09,515.4550170898439
2013-09-10,515.4520263671875
2013-09-11,515.4500122070311
2013-09-12,515.4420166015625
2013-09-13,515.43701171875
2013-09-14,515.4390258789061
2013-09-15,515.427001953125
2013-09-16,515.4190063476561
2013-09-17,515.4130249023439
2013-09-18,515.4149780273439
2013-09-19,515.4130249023439
2013-09-20,515.405029296875
2013-09-21,515.39599609375
2013-09-22,515.3920288085939
2013-09-23,515.3909912109375
2013-09-24,515.385009765625
2013-09-25,515.3829956054689
2013-09-26,515.385009765625
2013-09-27,515.3709716796875
2013-09-28,515.364990234375
2013-09-29,515.3599853515625
2013-09-30,515.35400390625
2013-10-01,515.3610229492189
2013-10-02,515.385986328125
2013-10-03,515.385009765625
2013-10-04,515.3790283203125
2013-10-05,515.3720092773439
2013-10-06,515.3770141601561
2013-10-07,515.3729858398439
2013-10-08,515.3709716796875
2013-10-09,515.364990234375
2013-10-10,515.3629760742189
2013-10-11,515.3690185546875
2013-10-12,515.3629760742189
2013-10-13,515.35498046875
2013-10-14,515.35498046875
2013-10-15,515.3469848632811
2013-10-16,515.3560180664061
2013-10-17,515.3480224609375
2013-10-18,515.3489990234375
2013-10-19,515.3480224609375
2013-10-20,515.3510131835939
2013-10-21,515.3480224609375
2013-10-22,515.3469848632811
2013-10-23,515.3400268554689
2013-10-24,515.3280029296875
2013-10-25,515.333984375
2013-10-26,515.3200073242189
2013-10-27,515.3270263671875
2013-10-28,515.3099975585939
2013-10-29,515.302001953125
2013-10-30,515.2990112304689
2013-10-31,515.2999877929689
2013-11-01,515.3049926757811
2013-11-02,515.3079833984375
2013-11-03,515.3330078125
2013-11-04,515.3579711914061
2013-11-05,515.3599853515625
2013-11-06,515.3579711914061
2013-11-07,515.344970703125
2013-11-08,515.3419799804689
2013-11-09,515.3369750976561
2013-11-10,515.3319702148439
2013-11-11,515.3259887695311
2013-11-12,515.322021484375
2013-11-13,515.3189697265625
2013-11-14,515.3150024414061
2013-11-15,515.31201171875
2013-11-16,515.3079833984375
2013-11-17,515.3049926757811
2013-11-18,515.301025390625
2013-11-19,515.2979736328125
2013-11-20,515.2949829101561
2013-11-21,515.291015625
2013-11-22,515.2880249023439
2013-11-23,515.2839965820311
2013-11-24,515.281982421875
2013-11-25,515.2789916992189
2013-11-26,515.2760009765625
2013-11-27,515.2739868164061
2013-11-28,515.27197265625
2013-11-29,515.27001953125
2013-11-30,515.2680053710939
2013-12-01,515.2680053710939
2013-12-02,515.2680053710939
2013-12-03,515.2659912109375
2013-12-04,515.2639770507811
2013-12-05,515.2620239257811
2013-12-06,515.260009765625
2013-12-07,515.2570190429689
2013-12-08,515.2559814453125
2013-12-09,515.2529907226561
2013-12-10,515.2509765625
2013-12-11,515.25
2013-12-12,515.2479858398439
2013-12-13,515.2459716796875
2013-12-14,515.2440185546875
2013-12-15,515.2449951171875
2013-12-16,515.2440185546875
2013-12-17,515.2429809570311
2013-12-18,515.2429809570311
2013-12-19,515.2410278320311
2013-12-20,515.2410278320311
2013-12-21,515.2410278320311
2013-12-22,515.239990234375
2013-12-23,515.239990234375
2013-12-24,515.239013671875
2013-12-25,515.239013671875
2013-12-26,515.239013671875
2013-12-27,515.2379760742189
2013-12-28,515.2379760742189
2013-12-29,515.2369995117189
2013-12-30,515.2369995117189
2013-12-31,515.2360229492189
2014-01-01,515.2360229492189
2014-01-02,515.2349853515625
2014-01-03,515.2349853515625
2014-01-04,515.2340087890625
2014-01-05,515.2340087890625
2014-01-06,515.2329711914061
2014-01-07,515.2329711914061
2014-01-08,515.2319946289061
2014-01-09,515.2319946289061
2014-01-10,515.2310180664061
2014-01-11,515.2310180664061
2014-01-12,515.22998046875
2014-01-13,515.2310180664061
2014-01-14,515.2310180664061
2014-01-15,515.22900390625
2014-01-16,515.2269897460939
2014-01-17,515.2260131835939
2014-01-18,515.2239990234375
2014-01-19,515.2249755859375
2014-01-20,515.2249755859375
2014-01-21,515.2249755859375
2014-01-22,515.2239990234375
2014-01-23,515.2219848632811
2014-01-24,515.2230224609375
2014-01-25,515.2249755859375
2014-01-26,515.2239990234375
2014-01-27,515.2230224609375
2014-01-28,515.2219848632811
2014-01-29,515.2219848632811
2014-01-30,515.218994140625
2014-01-31,515.218994140625
2014-02-01,515.2169799804689
2014-02-02,515.2169799804689
2014-02-03,515.2160034179689
2014-02-04,515.2160034179689
2014-02-05,515.2150268554689
2014-02-06,515.2139892578125
2014-02-07,515.2139892578125
2014-02-08,515.2139892578125
2014-02-09,515.2130126953125
2014-02-10,515.2119750976561
2014-02-11,515.2130126953125
2014-02-12,515.2119750976561
2014-02-13,515.2119750976561
2014-02-14,515.2130126953125
2014-02-15,515.2119750976561
2014-02-16,515.2119750976561
2014-02-17,515.2100219726561
2014-02-18,515.208984375
2014-02-19,515.208984375
2014-02-20,515.2069702148439
2014-02-21,515.2069702148439
2014-02-22,515.2059936523439
2014-02-23,515.2050170898439
2014-02-24,515.2030029296875
2014-02-25,515.2020263671875
2014-02-26,515.2009887695311
2014-02-27,515.2000122070311
2014-02-28,515.2000122070311
2014-03-01,515.197021484375
2014-03-02,515.197021484375
2014-03-03,515.1959838867189
2014-03-04,515.1950073242189
2014-03-05,515.1950073242189
2014-03-06,515.1950073242189
2014-03-07,515.1929931640625
2014-03-08,515.1909790039061
2014-03-09,515.1900024414061
2014-03-10,515.1890258789061
2014-03-11,515.18798828125
2014-03-12,515.18701171875
2014-03-13,515.18701171875
2014-03-14,515.18798828125
2014-03-15,515.18701171875
2014-03-16,515.18701171875
2014-03-17,515.1859741210939
2014-03-18,515.1849975585939
2014-03-19,515.1849975585939
2014-03-20,515.1849975585939
2014-03-21,515.1840209960939
2014-03-22,515.1829833984375
2014-03-23,515.1820068359375
2014-03-24,515.1810302734375
2014-03-25,515.1790161132811
2014-03-26,515.1790161132811
2014-03-27,515.177978515625
2014-03-28,515.177001953125
2014-03-29,515.177001953125
2014-03-30,515.177001953125
2014-03-31,515.1749877929689
2014-04-01,515.1740112304689
2014-04-02,515.1729736328125
2014-04-03,515.1729736328125
2014-04-04,515.1719970703125
2014-04-05,515.1719970703125
2014-04-06,515.1740112304689
2014-04-07,515.1729736328125
2014-04-08,515.1719970703125
2014-04-09,515.176025390625
2014-04-10,515.1820068359375
2014-04-11,515.18798828125
2014-04-12,515.2009887695311
2014-04-13,515.2030029296875
2014-04-14,515.2039794921875
2014-04-15,515.2050170898439
2014-04-16,515.2050170898439
2014-04-17,515.2039794921875
2014-04-18,515.2059936523439
2014-04-19,515.2109985351561
2014-04-20,515.2109985351561
2014-04-21,515.2119750976561
2014-04-22,515.218994140625
2014-04-23,515.2369995117189
2014-04-24,515.27099609375
2014-04-25,515.2849731445311
2014-04-26,515.2940063476561
2014-04-27,515.3070068359375
2014-04-28,515.3270263671875
2014-04-29,515.3460083007811
2014-04-30,515.3590087890625
2014-05-01,515.3800048828125
2014-05-02,515.3889770507811
2014-05-03,515.3829956054689
2014-05-04,515.3880004882811
2014-05-05,515.39599609375
2014-05-06,515.3980102539061
2014-05-07,515.39599609375
2014-05-08,515.39501953125
2014-05-09,515.39501953125
2014-05-10,515.39599609375
2014-05-11,515.4000244140625
2014-05-12,515.4099731445311
2014-05-13,515.4130249023439
2014-05-14,515.3820190429689
2014-05-15,515.3720092773439
2014-05-16,515.3699951171875
2014-05-17,515.3679809570311
2014-05-18,515.3670043945311
2014-05-19,515.3729858398439
2014-05-20,515.375
2014-05-21,515.3679809570311
2014-05-22,515.3699951171875
2014-05-23,515.3629760742189
2014-05-24,515.3590087890625
2014-05-25,515.3469848632811
2014-05-26,515.343017578125
2014-05-27,515.3569946289061
2014-05-28,515.3770141601561
2014-05-29,515.4130249023439
2014-05-30,515.4229736328125
2014-05-31,515.4459838867189
2014-06-01,515.447998046875
2014-06-02,515.4340209960939
2014-06-03,515.4229736328125
2014-06-04,515.4140014648439
2014-06-05,515.4030151367189
2014-06-06,515.3870239257811
2014-06-07,515.375
2014-06-08,515.3690185546875
2014-06-09,515.3629760742189
2014-06-10,515.3629760742189
2014-06-11,515.3569946289061
2014-06-12,515.3510131835939
2014-06-13,515.344970703125
2014-06-14,515.333984375
2014-06-15,515.322998046875
2014-06-16,515.3250122070311
2014-06-17,515.3350219726561
2014-06-18,515.3629760742189
2014-06-19,515.4010009765625
2014-06-20,515.4359741210939
2014-06-21,515.469970703125
2014-06-22,515.510986328125
2014-06-23,515.5479736328125
2014-06-24,515.552001953125
2014-06-25,515.5479736328125
2014-06-26,515.530029296875
2014-06-27,515.5079956054689
2014-06-28,515.4869995117189
2014-06-29,515.4669799804689
2014-06-30,515.4630126953125
2014-07-01,515.4429931640625
2014-07-02,515.4359741210939
2014-07-03,515.426025390625
2014-07-04,515.4210205078125
2014-07-05,515.4299926757811
2014-07-06,515.426025390625
2014-07-07,515.4310302734375
2014-07-08,515.4180297851561
2014-07-09,515.4030151367189
2014-07-10,515.3939819335939
2014-07-11,515.3779907226561
2014-07-12,515.364990234375
2014-07-13,515.3469848632811
