Datetime,Water Level (m)
1936-03-17,28.895000457763672
1936-03-18,
1936-03-19,
1936-03-20,28.895000457763672
1936-03-21,
1936-03-22,
1936-03-23,
1936-03-24,
1936-03-25,
1936-03-26,
1936-03-27,
1936-03-28,
1936-03-29,
1936-03-30,
1936-03-31,
1936-04-01,
1936-04-02,
1936-04-03,
1936-04-04,
1936-04-05,
1936-04-06,
1936-04-07,
1936-04-08,
1936-04-09,
1936-04-10,
1936-04-11,
1936-04-12,
1936-04-13,29.559999465942383
1936-04-14,29.61100006103516
1936-04-15,29.91600036621093
1936-04-16,29.88599967956543
1936-04-17,
1936-04-18,29.70000076293945
1936-04-19,29.70000076293945
1936-04-20,
1936-04-21,29.70000076293945
1936-04-22,
1936-04-23,
1936-04-24,
1936-04-25,29.70000076293945
1936-04-26,
1936-04-27,29.70000076293945
1936-04-28,
1936-04-29,
1936-04-30,29.70000076293945
1936-05-01,
1936-05-02,
1936-05-03,
1936-05-04,
1936-05-05,29.6879997253418
1936-05-06,
1936-05-07,
1936-05-08,
1936-05-09,29.6879997253418
1936-05-10,
1936-05-11,
1936-05-12,29.67499923706055
1936-05-13,
1936-05-14,
1936-05-15,29.67499923706055
1936-05-16,
1936-05-17,
1936-05-18,29.66900062561035
1936-05-19,
1936-05-20,
1936-05-21,
1936-05-22,29.65699958801269
1936-05-23,
1936-05-24,
1936-05-25,
1936-05-26,
1936-05-27,29.63599967956543
1936-05-28,
1936-05-29,29.62400054931641
1936-05-30,
1936-05-31,
1936-06-01,
1936-06-02,29.58699989318848
1936-06-03,
1936-06-04,
1936-06-05,29.559999465942383
1936-06-06,
1936-06-07,
1936-06-08,29.54999923706055
1936-06-09,
1936-06-10,
1936-06-11,
1936-06-12,29.54999923706055
