Datetime,Water Level (m)
1964-03-06,570.5120239257812
1964-03-07,
1964-03-08,
1964-03-09,
1964-03-10,
1964-03-11,
1964-03-12,
1964-03-13,
1964-03-14,
1964-03-15,
1964-03-16,
1964-03-17,
1964-03-18,
1964-03-19,
1964-03-20,
1964-03-21,
1964-03-22,
1964-03-23,
1964-03-24,
1964-03-25,
1964-03-26,
1964-03-27,
1964-03-28,
1964-03-29,
1964-03-30,
1964-03-31,
1964-04-01,570.5250244140625
1964-04-02,570.572998046875
1964-04-03,570.5609741210938
1964-04-04,
1964-04-05,
1964-04-06,570.6500244140625
1964-04-07,
1964-04-08,570.802001953125
1964-04-09,
1964-04-10,570.8839721679688
1964-04-11,
1964-04-12,
1964-04-13,571.0059814453125
1964-04-14,
1964-04-15,571.0369873046875
1964-04-16,
1964-04-17,571.0369873046875
1964-04-18,
1964-04-19,
1964-04-20,571.0369873046875
1964-04-21,
1964-04-22,571.0369873046875
1964-04-23,
1964-04-24,570.9669799804688
1964-04-25,
1964-04-26,
1964-04-27,570.8660278320312
1964-04-28,
1964-04-29,570.8660278320312
1964-04-30,
1964-05-01,570.8660278320312
1964-05-02,
1964-05-03,
1964-05-04,570.8660278320312
1964-05-05,
1964-05-06,570.8140258789062
1964-05-07,
1964-05-08,570.8389892578125
1964-05-09,
1964-05-10,
1964-05-11,570.8289794921875
1964-05-12,
1964-05-13,570.8289794921875
1964-05-14,
1964-05-15,570.802001953125
1964-05-16,
1964-05-17,
1964-05-18,
1964-05-19,570.7780151367188
1964-05-20,570.7650146484375
1964-05-21,
1964-05-22,570.7139892578125
1964-05-23,
1964-05-24,
1964-05-25,570.6890258789062
1964-05-26,
1964-05-27,570.6649780273438
1964-05-28,
1964-05-29,570.6370239257812
1964-05-30,
1964-05-31,
1964-06-01,570.6010131835938
1964-06-02,
1964-06-03,570.5889892578125
1964-06-04,
1964-06-05,570.5609741210938
1964-06-06,
1964-06-07,
1964-06-08,570.6010131835938
1964-06-09,
1964-06-10,570.5609741210938
1964-06-11,
1964-06-12,570.6500244140625
1964-06-13,
1964-06-14,
1964-06-15,570.625
1964-06-16,
1964-06-17,570.5889892578125
1964-06-18,
1964-06-19,570.6500244140625
1964-06-20,
1964-06-21,
1964-06-22,570.7009887695312
1964-06-23,
1964-06-24,570.677001953125
1964-06-25,
1964-06-26,570.6500244140625
1964-06-27,
1964-06-28,
1964-06-29,570.625
1964-06-30,570.6129760742188
1964-07-01,
1964-07-02,570.6010131835938
1964-07-03,570.6010131835938
1964-07-04,
1964-07-05,
1964-07-06,571.094970703125
1964-07-07,
1964-07-08,571.0579833984375
1964-07-09,
1964-07-10,570.9940185546875
1964-07-11,
1964-07-12,
1964-07-13,570.6010131835938
1964-07-14,
1964-07-15,570.85400390625
1964-07-16,
1964-07-17,570.85400390625
1964-07-18,
1964-07-19,
1964-07-20,570.85400390625
1964-07-21,
1964-07-22,570.85400390625
1964-07-23,
1964-07-24,570.8359985351562
1964-07-25,
1964-07-26,
1964-07-27,570.802001953125
1964-07-28,
1964-07-29,570.802001953125
1964-07-30,
1964-07-31,570.7780151367188
1964-08-01,
1964-08-02,
1964-08-03,570.7780151367188
1964-08-04,
1964-08-05,570.7529907226562
1964-08-06,
1964-08-07,570.7410278320312
1964-08-08,
1964-08-09,
1964-08-10,570.7230224609375
1964-08-11,
1964-08-12,570.7139892578125
1964-08-13,
1964-08-14,570.7139892578125
1964-08-15,
1964-08-16,
1964-08-17,570.6890258789062
1964-08-18,
1964-08-19,570.6710205078125
1964-08-20,
1964-08-21,570.6500244140625
1964-08-22,
1964-08-23,
1964-08-24,570.6649780273438
1964-08-25,
1964-08-26,570.6649780273438
1964-08-27,
1964-08-28,570.6439819335938
1964-08-29,
1964-08-30,
1964-08-31,570.625
1964-09-01,
1964-09-02,570.6309814453125
1964-09-03,
1964-09-04,570.6129760742188
1964-09-05,
1964-09-06,
1964-09-07,
1964-09-08,570.6309814453125
1964-09-09,570.625
1964-09-10,
1964-09-11,570.625
1964-09-12,
1964-09-13,
1964-09-14,570.6010131835938
1964-09-15,
1964-09-16,570.5830078125
1964-09-17,
1964-09-18,570.5609741210938
1964-09-19,
1964-09-20,
1964-09-21,570.5490112304688
1964-09-22,
1964-09-23,570.5430297851562
1964-09-24,
1964-09-25,570.5490112304688
1964-09-26,
1964-09-27,
1964-09-28,570.6010131835938
1964-09-29,
1964-09-30,570.6010131835938
1964-10-01,
1964-10-02,570.572998046875
1964-10-03,
1964-10-04,
1964-10-05,570.572998046875
1964-10-06,
1964-10-07,570.5670166015625
1964-10-08,
1964-10-09,570.5670166015625
1964-10-10,
1964-10-11,
1964-10-12,
1964-10-13,570.5609741210938
1964-10-14,570.5490112304688
1964-10-15,
1964-10-16,570.5430297851562
1964-10-17,
1964-10-18,
1964-10-19,570.531005859375
1964-10-20,
1964-10-21,570.531005859375
1964-10-22,
1964-10-23,570.4970092773438
1964-10-24,
1964-10-25,
1964-10-26,570.4970092773438
1964-10-27,
1964-10-28,570.5250244140625
1964-10-29,
1964-10-30,570.4970092773438
1964-10-31,
1964-11-01,
1964-11-02,570.4910278320312
1964-11-03,
1964-11-04,570.4730224609375
1964-11-05,
1964-11-06,570.4730224609375
1964-11-07,
1964-11-08,
1964-11-09,570.4730224609375
1964-11-10,570.4730224609375
1964-11-11,
1964-11-12,570.4730224609375
1964-11-13,570.4730224609375
1964-11-14,
1964-11-15,
1964-11-16,570.4730224609375
1964-11-17,
1964-11-18,570.4730224609375
1964-11-19,
1964-11-20,570.4730224609375
1964-11-21,
1964-11-22,
1964-11-23,570.4609985351562
1964-11-24,
1964-11-25,570.4609985351562
1964-11-26,
1964-11-27,570.447998046875
1964-11-28,
1964-11-29,
1964-11-30,570.447998046875
1964-12-01,
1964-12-02,570.447998046875
1964-12-03,
1964-12-04,570.4420166015625
1964-12-05,
1964-12-06,
1964-12-07,570.4420166015625
1964-12-08,
