Datetime,Water Level (m)
1968-09-06,525.0029907226561
1968-09-07,525.2310180664061
1968-09-08,525.35302734375
1968-09-09,525.4359741210939
1968-09-10,525.5819702148439
1968-09-11,525.6890258789061
1968-09-12,525.8040161132811
1968-09-13,525.947998046875
1968-09-14,526.0540161132811
1968-09-15,526.14599609375
1968-09-16,526.2069702148439
1968-09-17,526.2830200195311
1968-09-18,526.3740234375
1968-09-19,526.4660034179689
1968-09-20,526.572021484375
1968-09-21,526.6640014648439
1968-09-22,526.6939697265625
1968-09-23,526.7860107421875
1968-09-24,526.8770141601561
1968-09-25,
1968-09-26,526.9840087890625
1968-09-27,527.0599975585939
1968-09-28,527.135986328125
1968-09-29,527.2130126953125
1968-09-30,527.2739868164061
1968-10-01,527.3189697265625
1968-10-02,527.39501953125
1968-10-03,527.4719848632811
1968-10-04,527.5330200195311
1968-10-05,527.5780029296875
1968-10-06,527.6090087890625
1968-10-07,527.6699829101561
1968-10-08,527.7459716796875
1968-10-09,527.8070068359375
1968-10-10,527.8679809570311
1968-10-11,527.9140014648439
1968-10-12,527.9749755859375
1968-10-13,528.0360107421875
1968-10-14,528.051025390625
1968-10-15,528.1119995117189
1968-10-16,528.18798828125
1968-10-17,528.218017578125
1968-10-18,
1968-10-19,528.2639770507811
1968-10-20,528.2949829101561
1968-10-21,528.3400268554689
1968-10-22,528.385986328125
1968-10-23,528.4320068359375
1968-10-24,528.4769897460939
1968-10-25,
1968-10-26,528.583984375
1968-10-27,528.614990234375
1968-10-28,528.64501953125
1968-10-29,528.6599731445311
1968-10-30,
1968-10-31,
1968-11-01,
1968-11-02,
1968-11-03,
1968-11-04,
1968-11-05,
1968-11-06,
1968-11-07,
1968-11-08,
1968-11-09,
1968-11-10,
1968-11-11,
1968-11-12,
1968-11-13,
1968-11-14,
1968-11-15,
1968-11-16,
1968-11-17,
1968-11-18,
1968-11-19,
1968-11-20,
1968-11-21,
1968-11-22,
1968-11-23,
1968-11-24,
1968-11-25,
1968-11-26,
1968-11-27,
1968-11-28,
1968-11-29,
1968-11-30,
1968-12-01,
1968-12-02,
1968-12-03,
1968-12-04,
1968-12-05,
1968-12-06,
1968-12-07,
1968-12-08,
1968-12-09,
1968-12-10,
1968-12-11,
1968-12-12,
1968-12-13,
1968-12-14,
1968-12-15,
1968-12-16,
1968-12-17,
1968-12-18,
1968-12-19,
1968-12-20,
1968-12-21,
1968-12-22,
1968-12-23,
1968-12-24,
1968-12-25,
1968-12-26,
1968-12-27,
1968-12-28,
1968-12-29,
1968-12-30,
1968-12-31,
1969-01-01,
1969-01-02,
1969-01-03,
1969-01-04,
1969-01-05,
1969-01-06,
1969-01-07,
1969-01-08,
1969-01-09,
1969-01-10,
1969-01-11,
1969-01-12,
1969-01-13,
1969-01-14,
1969-01-15,
1969-01-16,
1969-01-17,
1969-01-18,
1969-01-19,
1969-01-20,
1969-01-21,
1969-01-22,
1969-01-23,
1969-01-24,
1969-01-25,
1969-01-26,
1969-01-27,
1969-01-28,
1969-01-29,
1969-01-30,
1969-01-31,
1969-02-01,
1969-02-02,
1969-02-03,
1969-02-04,
1969-02-05,
1969-02-06,
1969-02-07,
1969-02-08,
