Datetime,Water Level (m)
1958-05-13,247.7140045166016
1958-05-14,247.7140045166016
1958-05-15,247.8029937744141
1958-05-16,247.8209991455078
1958-05-17,247.6840057373047
1958-05-18,247.5619964599609
1958-05-19,247.5249938964844
1958-05-20,247.72999572753903
1958-05-21,247.66900634765625
1958-05-22,247.7140045166016
1958-05-23,247.8059997558593
1958-05-24,247.7449951171875
1958-05-25,247.8059997558593
1958-05-26,247.6230010986328
1958-05-27,247.6529998779297
1958-05-28,247.8059997558593
1958-05-29,247.7449951171875
1958-05-30,247.72999572753903
1958-05-31,247.6529998779297
1958-06-01,247.7449951171875
1958-06-02,247.8970031738281
1958-06-03,247.7449951171875
1958-06-04,247.58599853515625
1958-06-05,247.7449951171875
1958-06-06,247.7449951171875
1958-06-07,247.6080017089844
1958-06-08,247.7140045166016
1958-06-09,247.7140045166016
1958-06-10,247.47000122070312
1958-06-11,247.6840057373047
1958-06-12,247.7140045166016
1958-06-13,247.6529998779297
1958-06-14,247.72999572753903
1958-06-15,247.7140045166016
1958-06-16,247.7140045166016
1958-06-17,247.6840057373047
1958-06-18,247.7449951171875
1958-06-19,247.5919952392578
1958-06-20,247.6230010986328
1958-06-21,247.6840057373047
1958-06-22,247.6840057373047
1958-06-23,247.5619964599609
1958-06-24,247.5769958496093
1958-06-25,247.5469970703125
1958-06-26,247.63800048828125
1958-06-27,247.7140045166016
1958-06-28,247.6529998779297
1958-06-29,247.66900634765625
1958-06-30,247.7749938964844
1958-07-01,247.66900634765625
1958-07-02,247.6529998779297
1958-07-03,247.6840057373047
1958-07-04,247.63800048828125
1958-07-05,247.6080017089844
1958-07-06,247.63800048828125
1958-07-07,247.6840057373047
1958-07-08,247.7140045166016
1958-07-09,247.7140045166016
1958-07-10,247.66900634765625
1958-07-11,247.6840057373047
1958-07-12,247.7749938964844
1958-07-13,247.6840057373047
1958-07-14,247.6529998779297
1958-07-15,247.6529998779297
1958-07-16,247.7140045166016
1958-07-17,247.6529998779297
1958-07-18,247.5919952392578
1958-07-19,247.69900512695312
1958-07-20,247.69900512695312
1958-07-21,247.7140045166016
1958-07-22,247.6840057373047
1958-07-23,247.66900634765625
1958-07-24,247.63800048828125
1958-07-25,247.6080017089844
1958-07-26,247.6230010986328
1958-07-27,247.6840057373047
1958-07-28,247.6529998779297
1958-07-29,247.5919952392578
1958-07-30,247.6529998779297
1958-07-31,247.7140045166016
1958-08-01,247.6230010986328
1958-08-02,247.51600646972656
1958-08-03,247.6230010986328
1958-08-04,247.531005859375
1958-08-05,247.51600646972656
1958-08-06,247.5619964599609
1958-08-07,247.61700439453125
1958-08-08,247.6529998779297
1958-08-09,247.5919952392578
1958-08-10,247.5769958496093
1958-08-11,247.6529998779297
1958-08-12,247.5010070800781
1958-08-13,247.6439971923828
1958-08-14,247.48599243164065
1958-08-15,247.5769958496093
1958-08-16,247.58599853515625
1958-08-17,247.63800048828125
1958-08-18,247.5769958496093
1958-08-19,247.5619964599609
1958-08-20,247.531005859375
1958-08-21,247.531005859375
1958-08-22,247.5769958496093
1958-08-23,247.5010070800781
1958-08-24,247.5469970703125
1958-08-25,247.47000122070312
1958-08-26,247.6230010986328
1958-08-27,247.4550018310547
1958-08-28,247.5619964599609
1958-08-29,247.4949951171875
1958-08-30,247.5469970703125
1958-08-31,247.5619964599609
1958-09-01,247.63800048828125
1958-09-02,247.6080017089844
1958-09-03,247.5010070800781
1958-09-04,247.5619964599609
1958-09-05,247.58599853515625
1958-09-06,247.51600646972656
1958-09-07,247.48599243164065
1958-09-08,247.5919952392578
1958-09-09,247.3939971923828
1958-09-10,247.6529998779297
1958-09-11,247.54400634765625
1958-09-12,247.531005859375
1958-09-13,247.6529998779297
1958-09-14,247.6529998779297
1958-09-15,247.40899658203125
1958-09-16,247.5010070800781
1958-09-17,247.6230010986328
1958-09-18,247.51600646972656
1958-09-19,247.531005859375
1958-09-20,247.5469970703125
1958-09-21,247.44000244140625
1958-09-22,247.51600646972656
1958-09-23,247.5010070800781
1958-09-24,247.3489990234375
1958-09-25,247.51600646972656
1958-09-26,247.40899658203125
1958-09-27,247.51600646972656
1958-09-28,247.531005859375
1958-09-29,247.3419952392578
1958-09-30,247.3179931640625
1958-10-01,247.40899658203125
1958-10-02,247.6230010986328
1958-10-03,247.47000122070312
1958-10-04,247.51600646972656
1958-10-05,247.6840057373047
1958-10-06,247.4550018310547
1958-10-07,247.1959991455078
1958-10-08,247.1660003662109
1958-10-09,247.07400512695312
1958-10-10,247.1959991455078
1958-10-11,247.4550018310547
1958-10-12,247.6230010986328
1958-10-13,247.5769958496093
1958-10-14,247.48599243164065
