Datetime,Water Level (m)
2002-02-01,245.1080017089844
2002-02-02,245.1060028076172
2002-02-03,245.10299682617188
2002-02-04,245.10499572753903
2002-02-05,245.1020050048828
2002-02-06,245.0989990234375
2002-02-07,245.0919952392578
2002-02-08,245.08999633789065
2002-02-09,245.08999633789065
2002-02-10,245.08999633789065
2002-02-11,245.093994140625
2002-02-12,245.093002319336
2002-02-13,245.0919952392578
2002-02-14,245.08799743652344
2002-02-15,245.0870056152344
2002-02-16,245.08599853515625
2002-02-17,245.08999633789065
2002-02-18,245.08799743652344
2002-02-19,245.0829925537109
2002-02-20,245.0850067138672
2002-02-21,245.08799743652344
2002-02-22,245.08599853515625
2002-02-23,245.0870056152344
2002-02-24,245.0959930419922
2002-02-25,245.0890045166016
2002-02-26,245.0919952392578
2002-02-27,245.09100341796875
2002-02-28,245.1080017089844
2002-03-01,245.0989990234375
2002-03-02,245.0970001220703
2002-03-03,245.09800720214844
2002-03-04,245.09500122070312
2002-03-05,245.093002319336
2002-03-06,245.09800720214844
2002-03-07,245.093994140625
2002-03-08,245.0850067138672
2002-03-09,245.08799743652344
2002-03-10,245.09100341796875
2002-03-11,245.08799743652344
2002-03-12,245.08799743652344
2002-03-13,245.09500122070312
2002-03-14,245.093002319336
2002-03-15,245.09500122070312
2002-03-16,245.093994140625
2002-03-17,245.08599853515625
2002-03-18,245.0970001220703
2002-03-19,245.0989990234375
2002-03-20,245.10400390625
2002-03-21,245.11099243164065
2002-03-22,245.1080017089844
2002-03-23,245.1000061035156
2002-03-24,245.09800720214844
2002-03-25,245.0989990234375
2002-03-26,245.0989990234375
2002-03-27,245.09800720214844
2002-03-28,245.1020050048828
2002-03-29,245.10699462890625
2002-03-30,245.1009979248047
2002-03-31,245.1009979248047
2002-04-01,245.093994140625
2002-04-02,245.093994140625
2002-04-03,245.09500122070312
2002-04-04,245.0959930419922
2002-04-05,245.09800720214844
2002-04-06,245.08799743652344
2002-04-07,245.0890045166016
2002-04-08,245.08999633789065
2002-04-09,245.093994140625
2002-04-10,245.0890045166016
2002-04-11,245.0890045166016
2002-04-12,245.0870056152344
2002-04-13,245.0870056152344
2002-04-14,245.093002319336
2002-04-15,245.09500122070312
2002-04-16,245.08399963378903
2002-04-17,245.10899353027344
2002-04-18,245.1020050048828
2002-04-19,245.1020050048828
2002-04-20,245.1020050048828
2002-04-21,245.11099243164065
2002-04-22,245.1210021972656
2002-04-23,245.1300048828125
2002-04-24,245.11300659179688
2002-04-25,245.10299682617188
2002-04-26,245.1000061035156
2002-04-27,245.1000061035156
2002-04-28,245.113998413086
2002-04-29,245.113998413086
2002-04-30,245.1100006103516
2002-05-01,245.0989990234375
2002-05-02,245.07000732421875
2002-05-03,245.12399291992188
2002-05-04,245.0970001220703
2002-05-05,245.0429992675781
2002-05-06,245.0319976806641
2002-05-07,245.0709991455078
2002-05-08,245.0410003662109
2002-05-09,244.98399353027344
2002-05-10,245.04600524902344
2002-05-11,245.08599853515625
2002-05-12,245.11199951171875
2002-05-13,245.072998046875
2002-05-14,245.1779937744141
2002-05-15,244.94200134277344
2002-05-16,244.968994140625
2002-05-17,245.0140075683593
2002-05-18,245.0070037841797
2002-05-19,245.01300048828125
2002-05-20,245.06700134277344
2002-05-21,245.1080017089844
2002-05-22,244.95700073242188
2002-05-23,244.9620056152344
2002-05-24,245.0599975585937
2002-05-25,245.072998046875
2002-05-26,245.093994140625
2002-05-27,245.10899353027344
2002-05-28,245.11700439453125
2002-05-29,245.08799743652344
2002-05-30,245.1020050048828
2002-05-31,245.09500122070312
2002-06-01,245.0570068359375
2002-06-02,245.0919952392578
2002-06-03,245.11900329589844
2002-06-04,245.1009979248047
2002-06-05,245.1060028076172
2002-06-06,245.1300048828125
2002-06-07,245.1360015869141
2002-06-08,245.05099487304688
2002-06-09,244.98199462890625
2002-06-10,244.9199981689453
2002-06-11,245.0469970703125
2002-06-12,245.09500122070312
2002-06-13,245.08999633789065
2002-06-14,245.0760040283203
2002-06-15,245.0970001220703
2002-06-16,245.08999633789065
2002-06-17,245.1100006103516
2002-06-18,245.156005859375
2002-06-19,245.10299682617188
2002-06-20,245.1300048828125
2002-06-21,245.1629943847656
2002-06-22,245.1519927978516
2002-06-23,245.1269989013672
2002-06-24,245.1289978027344
2002-06-25,245.1309967041016
2002-06-26,245.1390075683593
2002-06-27,245.1529998779297
2002-06-28,245.19500732421875
2002-06-29,245.1999969482422
2002-06-30,245.31500244140625
2002-07-01,245.30099487304688
2002-07-02,245.24400329589844
2002-07-03,245.1289978027344
2002-07-04,245.13699340820312
2002-07-05,245.1869964599609
2002-07-06,245.1580047607422
2002-07-07,245.1739959716797
2002-07-08,245.0870056152344
2002-07-09,245.08999633789065
2002-07-10,245.1080017089844
2002-07-11,245.16099548339844
2002-07-12,245.1529998779297
2002-07-13,245.1529998779297
2002-07-14,245.125
2002-07-15,245.40499877929688
2002-07-16,245.5540008544922
2002-07-17,245.5019989013672
2002-07-18,245.5410003662109
2002-07-19,245.53599548339844
2002-07-20,245.509994506836
2002-07-21,245.5379943847656
2002-07-22,245.4290008544922
2002-07-23,245.5140075683593
2002-07-24,245.5169982910156
2002-07-25,245.5
2002-07-26,245.5070037841797
2002-07-27,245.4810028076172
2002-07-28,245.49200439453125
2002-07-29,245.48599243164065
2002-07-30,245.46299743652344
2002-07-31,245.4750061035156
2002-08-01,245.4320068359375
2002-08-02,245.4219970703125
2002-08-03,245.36300659179688
2002-08-04,245.3419952392578
2002-08-05,245.3459930419922
2002-08-06,245.41700744628903
2002-08-07,245.4040069580078
2002-08-08,245.38800048828125
2002-08-09,245.41700744628903
2002-08-10,245.4250030517578
2002-08-11,245.42599487304688
2002-08-12,245.4309997558593
2002-08-13,245.4510040283203
2002-08-14,245.4290008544922
2002-08-15,245.3769989013672
2002-08-16,245.4069976806641
2002-08-17,245.35299682617188
2002-08-18,245.4160003662109
2002-08-19,245.4309997558593
2002-08-20,245.406005859375
2002-08-21,245.39599609375
2002-08-22,245.4369964599609
2002-08-23,245.42999267578125
2002-08-24,245.4279937744141
2002-08-25,245.40499877929688
2002-08-26,245.35299682617188
2002-08-27,245.406005859375
2002-08-28,245.4290008544922
2002-08-29,245.4320068359375
2002-08-30,245.447998046875
2002-08-31,245.51600646972656
2002-09-01,245.49099731445312
2002-09-02,245.51199340820312
2002-09-03,245.4320068359375
2002-09-04,245.3760070800781
2002-09-05,245.2700042724609
2002-09-06,245.1519927978516
2002-09-07,245.1490020751953
2002-09-08,245.19400024414065
2002-09-09,245.2120056152344
2002-09-10,245.2100067138672
2002-09-11,245.22300720214844
2002-09-12,245.19900512695312
2002-09-13,245.2480010986328
2002-09-14,245.2100067138672
2002-09-15,245.2519989013672
2002-09-16,245.1909942626953
2002-09-17,245.21600341796875
2002-09-18,245.13800048828125
2002-09-19,245.18600463867188
2002-09-20,245.2400054931641
2002-09-21,245.19400024414065
2002-09-22,245.1519927978516
2002-09-23,245.1080017089844
2002-09-24,245.1179962158203
2002-09-25,245.1150054931641
2002-09-26,245.11900329589844
2002-09-27,245.072998046875
2002-09-28,245.1390075683593
2002-09-29,245.2100067138672
2002-09-30,245.14599609375
2002-10-01,245.07899475097656
2002-10-02,245.1739959716797
2002-10-03,245.218994140625
2002-10-04,245.09500122070312
2002-10-05,245.11700439453125
2002-10-06,245.1000061035156
2002-10-07,245.1230010986328
2002-10-08,245.072006225586
2002-10-09,245.1519927978516
2002-10-10,245.15899658203125
2002-10-11,245.11599731445312
2002-10-12,245.11900329589844
2002-10-13,245.113998413086
2002-10-14,245.1009979248047
2002-10-15,245.0540008544922
2002-10-16,245.05799865722656
2002-10-17,245.04800415039065
2002-10-18,245.01300048828125
2002-10-19,245.0429992675781
2002-10-20,245.0220031738281
2002-10-21,245.0559997558593
2002-10-22,245.04600524902344
2002-10-23,245.0870056152344
2002-10-24,245.1580047607422
2002-10-25,245.0429992675781
2002-10-26,245.01300048828125
2002-10-27,245.0590057373047
2002-10-28,245.009994506836
2002-10-29,245.00799560546875
2002-10-30,245.0399932861328
2002-10-31,245.04800415039065
2002-11-01,245.0529937744141
2002-11-02,245.0559997558593
2002-11-03,245.0599975585937
2002-11-04,245.0679931640625
2002-11-05,245.0769958496093
2002-11-06,245.0590057373047
2002-11-07,245.072998046875
2002-11-08,245.05799865722656
2002-11-09,245.0559997558593
2002-11-10,245.0599975585937
2002-11-11,245.072006225586
2002-11-12,245.07400512695312
2002-11-13,245.0800018310547
2002-11-14,245.08200073242188
2002-11-15,245.0809936523437
2002-11-16,245.07899475097656
2002-11-17,245.07400512695312
2002-11-18,245.0800018310547
2002-11-19,245.0780029296875
2002-11-20,245.0760040283203
2002-11-21,245.0769958496093
2002-11-22,245.08200073242188
2002-11-23,245.0749969482422
2002-11-24,245.0749969482422
2002-11-25,245.07400512695312
