Datetime,Water Level (m)
1969-01-03,417.6130065917969
1969-01-04,
1969-01-05,
1969-01-06,
1969-01-07,
1969-01-08,
1969-01-09,
1969-01-10,
1969-01-11,
1969-01-12,
1969-01-13,
1969-01-14,
1969-01-15,
1969-01-16,
1969-01-17,417.64599609375
1969-01-18,
1969-01-19,
1969-01-20,
1969-01-21,
1969-01-22,
1969-01-23,
1969-01-24,
1969-01-25,
1969-01-26,
1969-01-27,
1969-01-28,
1969-01-29,417.75
1969-01-30,
1969-01-31,
1969-02-01,
1969-02-02,
1969-02-03,
1969-02-04,
1969-02-05,
1969-02-06,
1969-02-07,
1969-02-08,
1969-02-09,
1969-02-10,
1969-02-11,
1969-02-12,
1969-02-13,
1969-02-14,
1969-02-15,
1969-02-16,
1969-02-17,
1969-02-18,
1969-02-19,
1969-02-20,
1969-02-21,
1969-02-22,
1969-02-23,
1969-02-24,
1969-02-25,
1969-02-26,
1969-02-27,417.9079895019531
1969-02-28,
1969-03-01,
1969-03-02,
1969-03-03,
1969-03-04,
1969-03-05,
1969-03-06,
1969-03-07,
1969-03-08,
1969-03-09,
1969-03-10,
1969-03-11,
1969-03-12,
1969-03-13,
1969-03-14,417.9389953613281
1969-03-15,
1969-03-16,
1969-03-17,
1969-03-18,
1969-03-19,
1969-03-20,
1969-03-21,
1969-03-22,
1969-03-23,
1969-03-24,
1969-03-25,
1969-03-26,
1969-03-27,
1969-03-28,418.0150146484375
1969-03-29,
1969-03-30,
1969-03-31,
1969-04-01,
1969-04-02,
1969-04-03,418.0450134277344
1969-04-04,
1969-04-05,
1969-04-06,
1969-04-07,
1969-04-08,417.8869934082031
1969-04-09,417.9110107421875
1969-04-10,417.9570007324219
1969-04-11,418.0509948730469
1969-04-12,418.1400146484375
1969-04-13,418.2619934082031
1969-04-14,418.4450073242188
1969-04-15,418.6889953613281
1969-04-16,418.9630126953125
1969-04-17,419.2160034179688
1969-04-18,419.4020080566406
1969-04-19,419.5849914550781
1969-04-20,419.7739868164063
1969-04-21,419.9200134277344
1969-04-22,420.0169982910156
1969-04-23,420.1180114746094
1969-04-24,420.3340148925781
1969-04-25,420.4469909667969
1969-04-26,420.6669921875
1969-04-27,420.7279968261719
1969-04-28,420.8219909667969
1969-04-29,420.9289855957031
1969-04-30,421.0050048828125
1969-05-01,421.0780029296875
1969-05-02,421.06298828125
1969-05-03,420.9750061035156
1969-05-04,420.885986328125
1969-05-05,420.81298828125
1969-05-06,420.7789916992188
1969-05-07,420.7369995117188
1969-05-08,420.68499755859375
1969-05-09,420.635986328125
1969-05-10,420.6090087890625
1969-05-11,420.56298828125
1969-05-12,420.5329895019531
1969-05-13,420.4960021972656
1969-05-14,420.4960021972656
1969-05-15,420.5079956054688
1969-05-16,420.4960021972656
1969-05-17,420.4620056152344
1969-05-18,420.4530029296875
1969-05-19,420.4620056152344
1969-05-20,420.43499755859375
1969-05-21,420.4289855957031
1969-05-22,420.41400146484375
1969-05-23,420.4320068359375
1969-05-24,420.4049987792969
1969-05-25,420.3680114746094
1969-05-26,420.41400146484375
1969-05-27,420.4320068359375
1969-05-28,420.4500122070313
1969-05-29,420.4440002441406
1969-05-30,420.4590148925781
1969-05-31,420.5230102539063
1969-06-01,420.5199890136719
1969-06-02,420.5050048828125
1969-06-03,420.5230102539063
1969-06-04,420.5450134277344
1969-06-05,
