Datetime,Water Level (m)
2013-03-01,255.384994506836
2013-03-02,255.38800048828125
2013-03-03,255.4040069580078
2013-03-04,255.42300415039065
2013-03-05,255.4459991455078
2013-03-06,255.46299743652344
2013-03-07,255.46600341796875
2013-03-08,255.4620056152344
2013-03-09,255.4620056152344
2013-03-10,255.45899963378903
2013-03-11,255.45700073242188
2013-03-12,255.45700073242188
2013-03-13,255.4579925537109
2013-03-14,255.4600067138672
2013-03-15,255.45899963378903
2013-03-16,255.4620056152344
2013-03-17,255.4669952392578
2013-03-18,255.47900390625
2013-03-19,255.47999572753903
2013-03-20,255.47799682617188
2013-03-21,255.47300720214844
2013-03-22,255.4720001220703
2013-03-23,255.4750061035156
2013-03-24,255.4750061035156
2013-03-25,255.468002319336
2013-03-26,255.4550018310547
2013-03-27,255.4409942626953
2013-03-28,255.43800354003903
2013-03-29,255.4409942626953
2013-03-30,255.4459991455078
2013-03-31,255.44900512695312
2013-04-01,255.45399475097656
2013-04-02,255.4550018310547
2013-04-03,255.4559936523437
2013-04-04,255.44900512695312
2013-04-05,255.44500732421875
2013-04-06,255.43800354003903
2013-04-07,255.43600463867188
2013-04-08,255.4340057373047
2013-04-09,255.43299865722656
2013-04-10,255.4320068359375
2013-04-11,255.45700073242188
2013-04-12,255.47999572753903
2013-04-13,255.4850006103516
2013-04-14,255.47799682617188
2013-04-15,255.46499633789065
2013-04-16,255.44500732421875
2013-04-17,255.42300415039065
2013-04-18,255.3970031738281
2013-04-19,255.3679962158203
2013-04-20,255.343994140625
2013-04-21,255.3249969482422
2013-04-22,255.30799865722656
2013-04-23,255.3059997558593
2013-04-24,255.3029937744141
2013-04-25,255.30099487304688
2013-04-26,255.31100463867188
2013-04-27,255.33399963378903
2013-04-28,255.5540008544922
2013-04-29,255.92599487304688
2013-04-30,255.9600067138672
2013-05-01,256.6839904785156
2013-05-02,256.28500366210943
2013-05-03,256.50299072265625
2013-05-04,256.94400024414057
2013-05-05,256.9530029296875
2013-05-06,256.94400024414057
2013-05-07,256.9549865722656
2013-05-08,256.97198486328125
2013-05-09,256.70901489257807
2013-05-10,256.5889892578125
2013-05-11,256.5989990234375
2013-05-12,256.6010131835937
2013-05-13,256.59201049804693
2013-05-14,256.57400512695307
2013-05-15,256.59600830078125
2013-05-16,256.37600708007807
2013-05-17,256.1629943847656
2013-05-18,256.239013671875
2013-05-19,256.385986328125
2013-05-20,256.51901245117193
2013-05-21,256.62899780273443
2013-05-22,256.74899291992193
2013-05-23,256.83499145507807
2013-05-24,256.96798706054693
2013-05-25,257.06698608398443
2013-05-26,257.0679931640625
2013-05-27,257.07400512695307
2013-05-28,257.08200073242193
2013-05-29,256.88800048828125
2013-05-30,256.63900756835943
2013-05-31,256.69000244140625
2013-06-01,256.68798828125
2013-06-02,256.6719970703125
2013-06-03,256.6419982910156
2013-06-04,256.62899780273443
2013-06-05,256.6199951171875
2013-06-06,256.61898803710943
2013-06-07,256.61898803710943
2013-06-08,256.625
2013-06-09,256.635009765625
2013-06-10,256.74301147460943
2013-06-11,257.03201293945307
2013-06-12,257.01998901367193
2013-06-13,257.02899169921875
2013-06-14,257.02899169921875
2013-06-15,257.0260009765625
2013-06-16,257.03201293945307
2013-06-17,257.06399536132807
2013-06-18,257.06298828125
2013-06-19,257.03500366210943
2013-06-20,257.03201293945307
2013-06-21,257.03201293945307
2013-06-22,257.04501342773443
2013-06-23,257.1000061035156
2013-06-24,257.24899291992193
2013-06-25,257.45999145507807
2013-06-26,257.52099609375
2013-06-27,257.07598876953125
2013-06-28,257.1210021972656
2013-06-29,257.10501098632807
2013-06-30,257.0790100097656
2013-07-01,257.0809936523437
2013-07-02,257.0830078125
2013-07-03,257.09201049804693
2013-07-04,257.07400512695307
2013-07-05,257.10598754882807
2013-07-06,257.0809936523437
2013-07-07,257.07400512695307
2013-07-08,257.08200073242193
2013-07-09,257.0880126953125
2013-07-10,257.09298706054693
2013-07-11,257.08599853515625
2013-07-12,257.09298706054693
2013-07-13,257.11898803710943
2013-07-14,257.1099853515625
2013-07-15,257.1419982910156
2013-07-16,257.11599731445307
2013-07-17,257.10598754882807
2013-07-18,257.15399169921875
2013-07-19,257.15899658203125
2013-07-20,257.16799926757807
2013-07-21,257.14801025390625
2013-07-22,257.06100463867193
2013-07-23,257.1090087890625
2013-07-24,257.135986328125
2013-07-25,257.15798950195307
2013-07-26,257.135009765625
2013-07-27,257.09100341796875
2013-07-28,257.04598999023443
2013-07-29,256.9849853515625
2013-07-30,257.00201416015625
2013-07-31,256.989013671875
2013-08-01,256.95001220703125
2013-08-02,256.84500122070307
2013-08-03,256.7969970703125
2013-08-04,256.77200317382807
2013-08-05,256.739013671875
2013-08-06,256.7139892578125
2013-08-07,256.6619873046875
2013-08-08,256.63299560546875
2013-08-09,256.57199096679693
2013-08-10,256.52700805664057
2013-08-11,256.48699951171875
2013-08-12,256.4330139160156
2013-08-13,256.3489990234375
2013-08-14,256.3280029296875
2013-08-15,256.28500366210943
2013-08-16,256.18600463867193
2013-08-17,256.1849975585937
2013-08-18,256.1839904785156
2013-08-19,256.14498901367193
2013-08-20,256.12799072265625
2013-08-21,256.1199951171875
2013-08-22,256.06600952148443
2013-08-23,255.988998413086
2013-08-24,255.99400329589844
2013-08-25,255.9750061035156
2013-08-26,255.9519958496093
2013-08-27,255.9149932861328
2013-08-28,255.8820037841797
2013-08-29,255.87399291992188
2013-08-30,255.8329925537109
2013-08-31,255.8710021972656
2013-09-01,255.85899353027344
2013-09-02,255.8040008544922
2013-09-03,255.7539978027344
2013-09-04,255.6679992675781
2013-09-05,255.6750030517578
2013-09-06,255.6580047607422
2013-09-07,255.63800048828125
2013-09-08,255.6199951171875
2013-09-09,255.59500122070312
2013-09-10,255.5800018310547
2013-09-11,255.572998046875
2013-09-12,255.5559997558593
2013-09-13,255.5070037841797
2013-09-14,255.44500732421875
2013-09-15,255.42999267578125
2013-09-16,255.39599609375
2013-09-17,255.36599731445312
2013-09-18,255.3419952392578
2013-09-19,255.26600646972656
2013-09-20,255.2779998779297
2013-09-21,255.2760009765625
2013-09-22,255.2559967041016
2013-09-23,255.2259979248047
2013-09-24,255.19200134277344
2013-09-25,255.218994140625
2013-09-26,255.23699951171875
2013-09-27,255.2120056152344
2013-09-28,255.218994140625
2013-09-29,255.18299865722656
2013-09-30,255.1699981689453
2013-10-01,255.1540069580078
2013-10-02,255.15499877929688
2013-10-03,255.1430053710937
2013-10-04,255.1009979248047
2013-10-05,255.03700256347656
2013-10-06,255.02099609375
2013-10-07,255.0659942626953
2013-10-08,255.0500030517578
2013-10-09,255.01199340820312
2013-10-10,254.98699951171875
2013-10-11,254.97900390625
2013-10-12,255.0059967041016
2013-10-13,255.009994506836
2013-10-14,255.06300354003903
2013-10-15,255.13699340820312
2013-10-16,255.1519927978516
2013-10-17,255.1849975585937
2013-10-18,255.1869964599609
2013-10-19,255.2019958496093
2013-10-20,255.2030029296875
2013-10-21,255.20399475097656
2013-10-22,255.2059936523437
2013-10-23,255.2059936523437
2013-10-24,255.197006225586
2013-10-25,255.18600463867188
2013-10-26,255.17999267578125
2013-10-27,255.1640014648437
2013-10-28,255.1699981689453
2013-10-29,255.1660003662109
2013-10-30,255.156005859375
2013-10-31,255.1470031738281
2013-11-01,
2013-11-02,
2013-11-03,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-09,
2013-11-10,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-16,
2013-11-17,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-23,
2013-11-24,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-11-30,
2013-12-01,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-07,
2013-12-08,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-14,
2013-12-15,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-21,
2013-12-22,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-28,
2013-12-29,
2013-12-30,
2013-12-31,
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-11,
2014-01-12,
2014-01-13,
2014-01-14,
2014-01-15,
