Datetime,Water Level (m)
2005-01-01,217.94200134277344
2005-01-02,217.968002319336
2005-01-03,217.88999938964844
2005-01-04,217.9199981689453
2005-01-05,217.8719940185547
2005-01-06,217.8249969482422
2005-01-07,217.9429931640625
2005-01-08,217.89599609375
2005-01-09,217.9179992675781
2005-01-10,217.884994506836
2005-01-11,217.8890075683593
2005-01-12,217.9199981689453
2005-01-13,217.8979949951172
2005-01-14,217.86900329589844
2005-01-15,217.8699951171875
2005-01-16,217.88299560546875
2005-01-17,217.863998413086
2005-01-18,217.8419952392578
2005-01-19,217.9199981689453
2005-01-20,217.8999938964844
2005-01-21,217.8780059814453
2005-01-22,217.9340057373047
2005-01-23,217.8139953613281
2005-01-24,217.8979949951172
2005-01-25,217.8719940185547
2005-01-26,
2005-01-27,
2005-01-28,217.89100646972656
2005-01-29,217.9620056152344
2005-01-30,217.875
2005-01-31,217.9369964599609
2005-02-01,217.85899353027344
2005-02-02,217.884994506836
2005-02-03,217.9100036621093
2005-02-04,217.9389953613281
2005-02-05,217.97999572753903
2005-02-06,217.9530029296875
2005-02-07,217.93299865722656
2005-02-08,217.8919982910156
2005-02-09,217.88400268554688
2005-02-10,217.8820037841797
2005-02-11,217.88999938964844
2005-02-12,217.92599487304688
2005-02-13,217.8809967041016
2005-02-14,217.9309997558593
2005-02-15,217.89599609375
2005-02-16,217.9069976806641
2005-02-17,217.8950042724609
2005-02-18,217.8789978027344
2005-02-19,217.9040069580078
2005-02-20,217.88400268554688
2005-02-21,217.8800048828125
2005-02-22,217.8970031738281
2005-02-23,217.8950042724609
2005-02-24,217.88999938964844
2005-02-25,217.9179992675781
2005-02-26,217.8809967041016
2005-02-27,217.9160003662109
2005-02-28,217.9080047607422
2005-03-01,217.8820037841797
2005-03-02,217.8820037841797
2005-03-03,217.843002319336
2005-03-04,217.88999938964844
2005-03-05,217.8459930419922
2005-03-06,217.9309997558593
2005-03-07,217.91700744628903
2005-03-08,217.86599731445312
2005-03-09,217.86199951171875
2005-03-10,217.8979949951172
2005-03-11,217.9010009765625
2005-03-12,217.8710021972656
2005-03-13,217.8789978027344
2005-03-14,217.8760070800781
2005-03-15,217.8820037841797
2005-03-16,217.9129943847656
2005-03-17,217.9019927978516
2005-03-18,217.91900634765625
2005-03-19,217.9040069580078
2005-03-20,217.8939971923828
2005-03-21,217.9290008544922
2005-03-22,217.92300415039065
2005-03-23,217.9100036621093
2005-03-24,217.9239959716797
2005-03-25,217.8760070800781
2005-03-26,217.86700439453125
2005-03-27,217.9040069580078
2005-03-28,217.92999267578125
2005-03-29,217.9080047607422
2005-03-30,217.9149932861328
2005-03-31,217.92999267578125
2005-04-01,218.009994506836
2005-04-02,218.2510070800781
2005-04-03,218.8990020751953
2005-04-04,219.9340057373047
2005-04-05,221.3099975585937
2005-04-06,220.90899658203125
2005-04-07,220.4669952392578
2005-04-08,220.29600524902344
2005-04-09,220.1649932861328
2005-04-10,220.0410003662109
2005-04-11,219.94900512695312
2005-04-12,219.8979949951172
2005-04-13,219.9510040283203
2005-04-14,219.8970031738281
2005-04-15,219.70700073242188
2005-04-16,219.54200744628903
2005-04-17,219.3919982910156
2005-04-18,219.29800415039065
2005-04-19,219.3820037841797
2005-04-20,219.2220001220703
2005-04-21,219.1000061035156
2005-04-22,219.22999572753903
2005-04-23,218.94000244140625
2005-04-24,218.7310028076172
2005-04-25,218.9579925537109
2005-04-26,219.04800415039065
2005-04-27,218.99400329589844
2005-04-28,218.67100524902344
2005-04-29,218.4100036621093
2005-04-30,218.4640045166016
2005-05-01,218.8560028076172
2005-05-02,218.6569976806641
2005-05-03,218.302001953125
2005-05-04,218.18299865722656
2005-05-05,218.2769927978516
2005-05-06,218.2949981689453
2005-05-07,218.1889953613281
2005-05-08,218.3370056152344
2005-05-09,218.4019927978516
2005-05-10,218.63699340820312
2005-05-11,218.7250061035156
2005-05-12,218.25799560546875
2005-05-13,218.1750030517578
2005-05-14,218.6959991455078
2005-05-15,218.4709930419922
2005-05-16,218.2310028076172
2005-05-17,218.19500732421875
2005-05-18,218.1840057373047
2005-05-19,218.1779937744141
2005-05-20,218.07000732421875
2005-05-21,218.19400024414065
2005-05-22,218.3000030517578
2005-05-23,218.3520050048828
2005-05-24,218.20700073242188
2005-05-25,218.2749938964844
2005-05-26,218.4900054931641
2005-05-27,218.60499572753903
2005-05-28,218.3939971923828
2005-05-29,218.48599243164065
2005-05-30,218.363998413086
2005-05-31,218.3059997558593
2005-06-01,218.2460021972656
2005-06-02,218.1519927978516
2005-06-03,218.2749938964844
2005-06-04,218.363998413086
2005-06-05,218.53700256347656
2005-06-06,218.6629943847656
2005-06-07,218.6280059814453
2005-06-08,218.60400390625
2005-06-09,218.61199951171875
2005-06-10,218.6809997558593
2005-06-11,218.72300720214844
2005-06-12,219.0220031738281
2005-06-13,219.197006225586
2005-06-14,219.302001953125
2005-06-15,219.34100341796875
2005-06-16,219.2790069580078
2005-06-17,219.4389953613281
2005-06-18,219.3280029296875
2005-06-19,219.322998046875
2005-06-20,219.41099548339844
2005-06-21,219.48399353027344
2005-06-22,219.38400268554688
2005-06-23,219.38800048828125
2005-06-24,219.44900512695312
2005-06-25,219.55099487304688
2005-06-26,219.3999938964844
2005-06-27,219.6230010986328
2005-06-28,
2005-06-29,
2005-06-30,
2005-07-01,
2005-07-02,
2005-07-03,
2005-07-04,
2005-07-05,
2005-07-06,
2005-07-07,
2005-07-08,
2005-07-09,
2005-07-10,
2005-07-11,
2005-07-12,
2005-07-13,
2005-07-14,
2005-07-15,
2005-07-16,
2005-07-17,
2005-07-18,
2005-07-19,
2005-07-20,
2005-07-21,
2005-07-22,
2005-07-23,
2005-07-24,
2005-07-25,
2005-07-26,219.2539978027344
2005-07-27,219.01300048828125
2005-07-28,219.02099609375
2005-07-29,218.9019927978516
2005-07-30,218.7010040283203
2005-07-31,218.86099243164065
2005-08-01,218.718994140625
2005-08-02,218.75
2005-08-03,218.8370056152344
2005-08-04,218.95700073242188
2005-08-05,218.7819976806641
2005-08-06,218.6100006103516
2005-08-07,218.6419982910156
2005-08-08,218.6199951171875
2005-08-09,218.7330017089844
2005-08-10,218.718994140625
2005-08-11,218.5709991455078
2005-08-12,218.5959930419922
2005-08-13,218.7469940185547
2005-08-14,218.4349975585937
2005-08-15,218.58399963378903
2005-08-16,218.63400268554688
2005-08-17,218.468002319336
2005-08-18,218.4100036621093
2005-08-19,218.49200439453125
2005-08-20,218.6540069580078
2005-08-21,218.8419952392578
2005-08-22,218.38800048828125
2005-08-23,218.13800048828125
2005-08-24,218.125
2005-08-25,218.23699951171875
2005-08-26,218.33999633789065
2005-08-27,218.56500244140625
2005-08-28,218.66700744628903
2005-08-29,218.53399658203125
2005-08-30,218.2969970703125
2005-08-31,218.1020050048828
2005-09-01,218.343002319336
2005-09-02,218.7140045166016
2005-09-03,218.3000030517578
2005-09-04,218.06100463867188
2005-09-05,218.4080047607422
2005-09-06,218.42599487304688
2005-09-07,218.4279937744141
2005-09-08,218.1909942626953
2005-09-09,218.0679931640625
2005-09-10,218.23800659179688
2005-09-11,218.23399353027344
2005-09-12,218.29600524902344
2005-09-13,218.3809967041016
2005-09-14,218.48599243164065
2005-09-15,218.22799682617188
2005-09-16,218.44000244140625
2005-09-17,218.3580017089844
