Datetime,Water Level (m)
1921-08-22,360.68499755859375
1921-08-23,360.6759948730469
1921-08-24,360.6700134277344
1921-08-25,360.6610107421875
1921-08-26,360.6520080566406
1921-08-27,360.6390075683594
1921-08-28,360.635986328125
1921-08-29,360.6329956054688
1921-08-30,360.6300048828125
1921-08-31,360.6239929199219
1921-09-01,360.6239929199219
1921-09-02,360.6090087890625
1921-09-03,360.6090087890625
1921-09-04,360.6029968261719
1921-09-05,360.593994140625
1921-09-06,360.5910034179688
1921-09-07,360.5910034179688
1921-09-08,360.5880126953125
1921-09-09,360.5880126953125
1921-09-10,360.5880126953125
1921-09-11,360.5880126953125
1921-09-12,360.5840148925781
1921-09-13,360.5840148925781
1921-09-14,360.5840148925781
1921-09-15,360.58099365234375
1921-09-16,360.58099365234375
1921-09-17,360.58099365234375
1921-09-18,360.5780029296875
1921-09-19,360.5719909667969
1921-09-20,360.5719909667969
1921-09-21,360.5660095214844
1921-09-22,360.5660095214844
1921-09-23,360.56298828125
1921-09-24,360.56298828125
1921-09-25,360.56298828125
1921-09-26,360.55999755859375
1921-09-27,360.5539855957031
1921-09-28,360.5509948730469
1921-09-29,360.5450134277344
1921-09-30,360.5419921875
1921-10-01,360.5329895019531
1921-10-02,360.5329895019531
1921-10-03,360.5270080566406
1921-10-04,360.5239868164063
1921-10-05,360.5169982910156
1921-10-06,360.5169982910156
1921-10-07,360.510986328125
1921-10-08,360.5050048828125
1921-10-09,360.4989929199219
1921-10-10,360.489990234375
1921-10-11,360.4809875488281
1921-10-12,360.4750061035156
1921-10-13,360.4719848632813
1921-10-14,360.4660034179688
1921-10-15,360.4630126953125
1921-10-16,360.4530029296875
1921-10-17,360.4530029296875
1921-10-18,360.4469909667969
1921-10-19,360.4469909667969
1921-10-20,360.4410095214844
1921-10-21,360.4259948730469
1921-10-22,360.4259948730469
1921-10-23,360.4259948730469
1921-10-24,360.4259948730469
1921-10-25,360.4259948730469
1921-10-26,360.4259948730469
1921-10-27,360.4259948730469
1921-10-28,360.4259948730469
1921-10-29,360.39599609375
1921-10-30,360.39599609375
1921-10-31,360.39599609375
1921-11-01,360.39599609375
1921-11-02,360.39599609375
1921-11-03,360.39599609375
1921-11-04,360.39599609375
1921-11-05,360.364990234375
1921-11-06,360.364990234375
1921-11-07,360.364990234375
1921-11-08,360.364990234375
1921-11-09,360.364990234375
1921-11-10,360.364990234375
1921-11-11,360.364990234375
1921-11-12,360.364990234375
1921-11-13,360.364990234375
1921-11-14,360.364990234375
1921-11-15,360.364990234375
1921-11-16,360.3349914550781
1921-11-17,360.3349914550781
1921-11-18,360.3349914550781
1921-11-19,360.3349914550781
1921-11-20,360.3349914550781
1921-11-21,360.3349914550781
1921-11-22,360.3349914550781
1921-11-23,360.3039855957031
1921-11-24,360.3039855957031
1921-11-25,360.3039855957031
1921-11-26,360.3039855957031
1921-11-27,360.3039855957031
1921-11-28,360.3039855957031
1921-11-29,360.3039855957031
1921-11-30,360.3039855957031
1921-12-01,360.3039855957031
1921-12-02,360.3039855957031
1921-12-03,360.3039855957031
1921-12-04,360.27398681640625
1921-12-05,360.27398681640625
1921-12-06,360.27398681640625
1921-12-07,360.27398681640625
1921-12-08,360.27398681640625
1921-12-09,360.2430114746094
1921-12-10,360.2430114746094
1921-12-11,360.2430114746094
1921-12-12,360.2430114746094
1921-12-13,360.2430114746094
1921-12-14,360.2430114746094
1921-12-15,360.2430114746094
1921-12-16,360.2430114746094
1921-12-17,360.2430114746094
1921-12-18,360.2430114746094
1921-12-19,360.2430114746094
1921-12-20,360.2430114746094
1921-12-21,360.2430114746094
1921-12-22,360.2130126953125
1921-12-23,360.2130126953125
1921-12-24,360.2130126953125
1921-12-25,
1921-12-26,
1921-12-27,
1921-12-28,
1921-12-29,
1921-12-30,
1921-12-31,
1922-01-01,360.2130126953125
1922-01-02,360.2130126953125
1922-01-03,360.2130126953125
1922-01-04,360.2130126953125
1922-01-05,360.2130126953125
1922-01-06,360.2130126953125
1922-01-07,360.2130126953125
1922-01-08,360.2130126953125
1922-01-09,360.2130126953125
1922-01-10,360.1820068359375
1922-01-11,360.1820068359375
1922-01-12,360.1820068359375
1922-01-13,360.1820068359375
1922-01-14,360.1820068359375
1922-01-15,360.1820068359375
1922-01-16,360.1820068359375
1922-01-17,360.1820068359375
1922-01-18,360.1820068359375
1922-01-19,360.1820068359375
1922-01-20,360.1820068359375
1922-01-21,360.1820068359375
1922-01-22,360.1820068359375
1922-01-23,360.1820068359375
1922-01-24,360.1520080566406
1922-01-25,360.1520080566406
1922-01-26,360.1520080566406
1922-01-27,360.1520080566406
1922-01-28,360.1520080566406
1922-01-29,
1922-01-30,
1922-01-31,
1922-02-01,
1922-02-02,
1922-02-03,
1922-02-04,
1922-02-05,
1922-02-06,
1922-02-07,
1922-02-08,
1922-02-09,
1922-02-10,
1922-02-11,
1922-02-12,
1922-02-13,
1922-02-14,
1922-02-15,
1922-02-16,
1922-02-17,
1922-02-18,
1922-02-19,
1922-02-20,
1922-02-21,
1922-02-22,
1922-02-23,
1922-02-24,
1922-02-25,
1922-02-26,
1922-02-27,
1922-02-28,
1922-03-01,
1922-03-02,
1922-03-03,
1922-03-04,
1922-03-05,
1922-03-06,
1922-03-07,
1922-03-08,
1922-03-09,
1922-03-10,
1922-03-11,
1922-03-12,
1922-03-13,
1922-03-14,
1922-03-15,
1922-03-16,
1922-03-17,
1922-03-18,
1922-03-19,
1922-03-20,
1922-03-21,
1922-03-22,
1922-03-23,
1922-03-24,
1922-03-25,
1922-03-26,
1922-03-27,
1922-03-28,
1922-03-29,
1922-03-30,
1922-03-31,
1922-04-01,360.27398681640625
1922-04-02,360.364990234375
1922-04-03,360.39599609375
1922-04-04,360.39599609375
1922-04-05,360.39599609375
1922-04-06,360.39599609375
1922-04-07,360.39599609375
1922-04-08,360.4259948730469
1922-04-09,360.4259948730469
1922-04-10,360.4259948730469
1922-04-11,360.45599365234375
1922-04-12,360.45599365234375
1922-04-13,360.45599365234375
1922-04-14,360.45599365234375
1922-04-15,360.4869995117188
1922-04-16,360.5169982910156
1922-04-17,360.5480041503906
1922-04-18,360.5780029296875
1922-04-19,360.6390075683594
1922-04-20,360.6700134277344
1922-04-21,360.7309875488281
1922-04-22,360.760986328125
1922-04-23,360.7919921875
1922-04-24,360.8219909667969
1922-04-25,360.8529968261719
1922-04-26,360.8829956054688
1922-04-27,360.91400146484375
1922-04-28,360.9750061035156
1922-04-29,361.0050048828125
1922-04-30,361.0660095214844
1922-05-01,361.0660095214844
1922-05-02,361.4010009765625
1922-05-03,361.12701416015625
1922-05-04,361.1579895019531
1922-05-05,361.18798828125
1922-05-06,361.2489929199219
1922-05-07,
1922-05-08,
1922-05-09,
1922-05-10,
1922-05-11,
1922-05-12,
1922-05-13,
1922-05-14,
1922-05-15,
1922-05-16,
1922-05-17,
1922-05-18,
1922-05-19,
1922-05-20,
1922-05-21,
1922-05-22,
1922-05-23,
1922-05-24,
1922-05-25,
1922-05-26,
1922-05-27,
1922-05-28,361.614990234375
1922-05-29,361.614990234375
1922-05-30,361.5840148925781
1922-05-31,361.5539855957031
1922-06-01,361.5230102539063
1922-06-02,361.5230102539063
1922-06-03,361.4930114746094
1922-06-04,361.4930114746094
1922-06-05,361.4930114746094
1922-06-06,361.4930114746094
1922-06-07,361.4620056152344
1922-06-08,361.4320068359375
1922-06-09,361.3710021972656
1922-06-10,361.3710021972656
1922-06-11,361.5230102539063
1922-06-12,361.4620056152344
1922-06-13,
1922-06-14,
1922-06-15,
1922-06-16,
1922-06-17,
1922-06-18,
1922-06-19,
1922-06-20,
1922-06-21,
1922-06-22,
1922-06-23,
1922-06-24,
1922-06-25,
1922-06-26,
1922-06-27,
1922-06-28,
1922-06-29,
1922-06-30,
1922-07-01,
1922-07-02,
1922-07-03,
1922-07-04,
1922-07-05,
1922-07-06,
1922-07-07,
1922-07-08,
1922-07-09,
1922-07-10,
1922-07-11,
1922-07-12,
1922-07-13,
1922-07-14,
1922-07-15,
1922-07-16,360.9440002441406
1922-07-17,360.9440002441406
1922-07-18,360.9440002441406
1922-07-19,360.91400146484375
1922-07-20,360.91400146484375
1922-07-21,360.91400146484375
1922-07-22,360.8829956054688
1922-07-23,360.8529968261719
1922-07-24,360.8529968261719
1922-07-25,360.8219909667969
1922-07-26,360.8219909667969
1922-07-27,360.7919921875
1922-07-28,360.7919921875
1922-07-29,360.7919921875
1922-07-30,360.7919921875
1922-07-31,360.760986328125
1922-08-01,360.760986328125
1922-08-02,360.760986328125
1922-08-03,360.760986328125
1922-08-04,360.760986328125
1922-08-05,360.760986328125
1922-08-06,360.760986328125
1922-08-07,360.760986328125
1922-08-08,360.7309875488281
1922-08-09,360.7309875488281
1922-08-10,360.7309875488281
1922-08-11,360.7309875488281
1922-08-12,360.7309875488281
1922-08-13,
1922-08-14,
1922-08-15,
1922-08-16,
1922-08-17,
1922-08-18,
1922-08-19,
1922-08-20,
1922-08-21,
1922-08-22,
1922-08-23,
1922-08-24,
1922-08-25,
1922-08-26,
1922-08-27,
1922-08-28,
1922-08-29,
1922-08-30,
1922-08-31,
1922-09-01,360.6090087890625
1922-09-02,360.6090087890625
1922-09-03,360.6090087890625
1922-09-04,360.6090087890625
1922-09-05,360.6090087890625
1922-09-06,360.6090087890625
1922-09-07,360.6090087890625
1922-09-08,360.6090087890625
1922-09-09,360.6090087890625
1922-09-10,360.5780029296875
1922-09-11,360.5480041503906
1922-09-12,360.5480041503906
1922-09-13,360.5480041503906
1922-09-14,360.5480041503906
1922-09-15,360.5480041503906
1922-09-16,360.5169982910156
1922-09-17,360.5169982910156
1922-09-18,360.5169982910156
1922-09-19,360.5169982910156
1922-09-20,360.5169982910156
1922-09-21,360.4869995117188
1922-09-22,360.4869995117188
1922-09-23,360.4869995117188
1922-09-24,360.4869995117188
1922-09-25,360.4869995117188
1922-09-26,360.4869995117188
1922-09-27,360.4869995117188
1922-09-28,360.4869995117188
1922-09-29,360.4869995117188
1922-09-30,360.4869995117188
1922-10-01,360.45599365234375
1922-10-02,360.45599365234375
1922-10-03,360.45599365234375
1922-10-04,360.45599365234375
1922-10-05,360.45599365234375
1922-10-06,360.4259948730469
1922-10-07,360.4259948730469
1922-10-08,360.4259948730469
1922-10-09,360.4259948730469
1922-10-10,360.4259948730469
1922-10-11,360.4259948730469
1922-10-12,360.39599609375
1922-10-13,360.39599609375
1922-10-14,360.39599609375
1922-10-15,360.39599609375
1922-10-16,360.39599609375
1922-10-17,360.39599609375
1922-10-18,360.364990234375
1922-10-19,360.364990234375
1922-10-20,360.364990234375
1922-10-21,360.364990234375
1922-10-22,360.364990234375
1922-10-23,360.364990234375
1922-10-24,360.364990234375
1922-10-25,360.364990234375
1922-10-26,360.364990234375
1922-10-27,360.364990234375
1922-10-28,360.364990234375
1922-10-29,360.3349914550781
1922-10-30,360.3349914550781
1922-10-31,360.3349914550781
1922-11-01,360.3349914550781
1922-11-02,360.3349914550781
1922-11-03,360.3349914550781
1922-11-04,360.3349914550781
1922-11-05,360.3349914550781
1922-11-06,360.3349914550781
1922-11-07,360.3349914550781
1922-11-08,360.3349914550781
1922-11-09,360.3349914550781
1922-11-10,360.3349914550781
1922-11-11,360.3349914550781
1922-11-12,360.3349914550781
1922-11-13,360.3349914550781
1922-11-14,360.3039855957031
1922-11-15,360.3039855957031
1922-11-16,360.3039855957031
1922-11-17,360.3039855957031
1922-11-18,360.3039855957031
1922-11-19,360.3039855957031
1922-11-20,360.3039855957031
1922-11-21,360.3039855957031
1922-11-22,360.3039855957031
1922-11-23,360.3039855957031
1922-11-24,360.3039855957031
1922-11-25,360.3039855957031
1922-11-26,360.27398681640625
1922-11-27,360.27398681640625
1922-11-28,360.27398681640625
1922-11-29,360.27398681640625
1922-11-30,360.27398681640625
1922-12-01,360.27398681640625
1922-12-02,360.27398681640625
1922-12-03,360.27398681640625
1922-12-04,360.27398681640625
1922-12-05,360.27398681640625
1922-12-06,360.27398681640625
1922-12-07,360.27398681640625
1922-12-08,360.27398681640625
1922-12-09,360.27398681640625
1922-12-10,360.27398681640625
1922-12-11,360.27398681640625
1922-12-12,360.27398681640625
1922-12-13,360.27398681640625
1922-12-14,360.27398681640625
1922-12-15,360.27398681640625
1922-12-16,360.27398681640625
1922-12-17,360.27398681640625
1922-12-18,360.27398681640625
1922-12-19,360.27398681640625
1922-12-20,360.27398681640625
1922-12-21,360.27398681640625
1922-12-22,360.27398681640625
1922-12-23,360.27398681640625
1922-12-24,360.27398681640625
1922-12-25,360.27398681640625
1922-12-26,360.27398681640625
1922-12-27,360.27398681640625
1922-12-28,360.27398681640625
1922-12-29,360.27398681640625
1922-12-30,360.27398681640625
1922-12-31,360.27398681640625
1923-01-01,360.27398681640625
1923-01-02,360.27398681640625
1923-01-03,360.27398681640625
1923-01-04,360.27398681640625
1923-01-05,360.27398681640625
1923-01-06,360.27398681640625
1923-01-07,360.27398681640625
1923-01-08,360.27398681640625
1923-01-09,360.27398681640625
1923-01-10,360.27398681640625
1923-01-11,360.27398681640625
1923-01-12,360.27398681640625
1923-01-13,360.27398681640625
1923-01-14,360.27398681640625
1923-01-15,360.27398681640625
1923-01-16,360.27398681640625
1923-01-17,360.27398681640625
1923-01-18,360.27398681640625
1923-01-19,360.27398681640625
1923-01-20,360.27398681640625
1923-01-21,360.27398681640625
1923-01-22,360.27398681640625
1923-01-23,360.27398681640625
1923-01-24,360.27398681640625
1923-01-25,360.27398681640625
1923-01-26,360.27398681640625
1923-01-27,360.27398681640625
1923-01-28,360.27398681640625
1923-01-29,360.27398681640625
1923-01-30,360.27398681640625
1923-01-31,360.27398681640625
1923-02-01,360.27398681640625
1923-02-02,360.27398681640625
1923-02-03,360.27398681640625
1923-02-04,360.27398681640625
1923-02-05,360.27398681640625
1923-02-06,360.27398681640625
1923-02-07,360.27398681640625
1923-02-08,360.27398681640625
1923-02-09,360.27398681640625
1923-02-10,360.27398681640625
1923-02-11,360.27398681640625
1923-02-12,360.27398681640625
1923-02-13,360.27398681640625
1923-02-14,360.27398681640625
1923-02-15,360.27398681640625
1923-02-16,360.27398681640625
1923-02-17,360.27398681640625
1923-02-18,360.27398681640625
1923-02-19,360.27398681640625
1923-02-20,360.27398681640625
1923-02-21,360.27398681640625
1923-02-22,360.27398681640625
1923-02-23,360.27398681640625
1923-02-24,360.27398681640625
1923-02-25,360.27398681640625
1923-02-26,360.27398681640625
1923-02-27,360.27398681640625
1923-02-28,360.27398681640625
1923-03-01,360.27398681640625
1923-03-02,360.27398681640625
1923-03-03,360.27398681640625
1923-03-04,360.27398681640625
1923-03-05,360.27398681640625
1923-03-06,360.27398681640625
1923-03-07,360.27398681640625
1923-03-08,360.27398681640625
1923-03-09,360.27398681640625
1923-03-10,360.27398681640625
1923-03-11,360.27398681640625
