Datetime,Water Level (m)
2017-01-01,322.48199462890625
2017-01-02,322.46600341796875
2017-01-03,322.4750061035156
2017-01-04,322.489990234375
2017-01-05,322.48699951171875
2017-01-06,322.4859924316406
2017-01-07,322.4830017089844
2017-01-08,322.4769897460937
2017-01-09,322.46600341796875
2017-01-10,322.4670104980469
2017-01-11,322.45001220703125
2017-01-12,322.42401123046875
2017-01-13,322.4129943847656
2017-01-14,322.40899658203125
2017-01-15,322.4129943847656
2017-01-16,322.40899658203125
2017-01-17,322.4079895019531
2017-01-18,322.3930053710937
2017-01-19,322.3909912109375
2017-01-20,322.3840026855469
2017-01-21,322.3810119628906
2017-01-22,322.3800048828125
2017-01-23,322.3840026855469
2017-01-24,322.3819885253906
2017-01-25,322.3699951171875
2017-01-26,322.3710021972656
2017-01-27,322.3689880371094
2017-01-28,322.3590087890625
2017-01-29,322.35400390625
2017-01-30,322.3519897460937
2017-01-31,322.3479919433594
2017-02-01,322.3500061035156
2017-02-02,322.3489990234375
2017-02-03,322.34600830078125
2017-02-04,322.3290100097656
2017-02-05,322.3330078125
2017-02-06,322.3219909667969
2017-02-07,322.3219909667969
2017-02-08,322.3320007324219
2017-02-09,322.3290100097656
2017-02-10,322.31500244140625
2017-02-11,322.31500244140625
2017-02-12,322.3210144042969
2017-02-13,322.3169860839844
2017-02-14,322.3039855957031
2017-02-15,322.29901123046875
2017-02-16,322.3089904785156
2017-02-17,322.2980041503906
2017-02-18,322.29901123046875
2017-02-19,322.281005859375
2017-02-20,322.2860107421875
2017-02-21,322.31298828125
2017-02-22,322.2900085449219
2017-02-23,322.3089904785156
2017-02-24,322.2950134277344
2017-02-25,322.3030090332031
2017-02-26,322.3039855957031
2017-02-27,322.3059997558594
2017-02-28,322.2879943847656
2017-03-01,322.2950134277344
2017-03-02,322.2969970703125
2017-03-03,322.2539978027344
2017-03-04,322.2250061035156
2017-03-05,322.218994140625
2017-03-06,322.2120056152344
2017-03-07,322.24200439453125
2017-03-08,322.260009765625
2017-03-09,322.2749938964844
2017-03-10,322.22198486328125
2017-03-11,322.2120056152344
2017-03-12,322.2080078125
2017-03-13,322.2080078125
2017-03-14,322.2080078125
2017-03-15,322.2070007324219
2017-03-16,322.2040100097656
2017-03-17,322.2120056152344
2017-03-18,322.2049865722656
2017-03-19,322.21099853515625
2017-03-20,322.2090148925781
2017-03-21,322.1929931640625
2017-03-22,322.1960144042969
2017-03-23,322.1969909667969
2017-03-24,322.17999267578125
2017-03-25,322.1830139160156
2017-03-26,322.1830139160156
2017-03-27,322.1759948730469
2017-03-28,322.17401123046875
2017-03-29,322.1830139160156
2017-03-30,322.18798828125
2017-03-31,322.1910095214844
2017-04-01,322.2049865722656
2017-04-02,322.2229919433594
2017-04-03,322.2269897460937
2017-04-04,322.239013671875
2017-04-05,322.2470092773437
2017-04-06,322.2569885253906
2017-04-07,322.2720031738281
2017-04-08,322.2770080566406
2017-04-09,322.2680053710937
2017-04-10,322.2449951171875
2017-04-11,322.2829895019531
2017-04-12,322.2869873046875
2017-04-13,322.31201171875
2017-04-14,322.3389892578125
2017-04-15,322.3429870605469
2017-04-16,322.3330078125
2017-04-17,322.34698486328125
2017-04-18,322.3420104980469
2017-04-19,322.3489990234375
2017-04-20,322.3500061035156
2017-04-21,322.3550109863281
2017-04-22,322.3479919433594
2017-04-23,322.32501220703125
2017-04-24,322.32598876953125
2017-04-25,322.2749938964844
2017-04-26,322.2349853515625
2017-04-27,322.239990234375
2017-04-28,322.3089904785156
2017-04-29,322.3510131835937
2017-04-30,322.35699462890625
2017-05-01,322.3789978027344
2017-05-02,322.4200134277344
2017-05-03,322.4140014648437
2017-05-04,322.4119873046875
2017-05-05,322.406005859375
2017-05-06,322.3919982910156
2017-05-07,322.4079895019531
2017-05-08,322.44500732421875
2017-05-09,322.468994140625
2017-05-10,322.4590148925781
2017-05-11,322.46099853515625
2017-05-12,322.46099853515625
2017-05-13,322.4649963378906
2017-05-14,322.4700012207031
2017-05-15,322.4729919433594
2017-05-16,322.47100830078125
2017-05-17,322.42401123046875
2017-05-18,322.39801025390625
2017-05-19,322.4679870605469
2017-05-20,322.47198486328125
2017-05-21,322.4460144042969
2017-05-22,322.45098876953125
2017-05-23,322.42401123046875
2017-05-24,322.4840087890625
2017-05-25,322.5249938964844
2017-05-26,322.5379943847656
2017-05-27,322.52801513671875
2017-05-28,322.5050048828125
2017-05-29,322.47198486328125
2017-05-30,322.47900390625
2017-05-31,322.49200439453125
