Datetime,Water Level (m)
1917-11-01,352.3489990234375
1917-11-02,352.3519897460937
1917-11-03,352.3550109863281
1917-11-04,352.3609924316406
1917-11-05,352.3269958496094
1917-11-06,352.3489990234375
1917-11-07,352.3429870605469
1917-11-08,352.3309936523437
1917-11-09,352.3210144042969
1917-11-10,352.3240051269531
1917-11-11,352.3179931640625
1917-11-12,352.3240051269531
1917-11-13,352.31201171875
1917-11-14,352.27899169921875
1917-11-15,352.2820129394531
1917-11-16,352.3089904785156
1917-11-17,352.2669982910156
1917-11-18,352.26300048828125
1917-11-19,352.2909851074219
1917-11-20,352.2879943847656
1917-11-21,352.2569885253906
1917-11-22,352.2969970703125
1917-11-23,352.2969970703125
1917-11-24,352.2820129394531
1917-11-25,352.2879943847656
1917-11-26,352.29400634765625
1917-11-27,352.2909851074219
1917-11-28,352.2879943847656
1917-11-29,352.2879943847656
1917-11-30,352.27301025390625
1917-12-01,352.2699890136719
1917-12-02,352.26300048828125
1917-12-03,352.2699890136719
1917-12-04,352.2699890136719
1917-12-05,352.26300048828125
1917-12-06,352.26300048828125
1917-12-07,352.26300048828125
1917-12-08,352.2569885253906
1917-12-09,352.2479858398437
1917-12-10,352.2539978027344
1917-12-11,352.260009765625
1917-12-12,352.2449951171875
1917-12-13,352.2569885253906
1917-12-14,352.2449951171875
1917-12-15,352.2569885253906
1917-12-16,352.2510070800781
1917-12-17,352.2449951171875
1917-12-18,352.2449951171875
1917-12-19,352.2449951171875
1917-12-20,352.2359924316406
1917-12-21,352.2300109863281
1917-12-22,352.2179870605469
1917-12-23,352.2120056152344
1917-12-24,352.2120056152344
1917-12-25,352.2120056152344
1917-12-26,352.2120056152344
1917-12-27,352.2090148925781
1917-12-28,352.1990051269531
1917-12-29,352.2059936523437
1917-12-30,352.2059936523437
1917-12-31,352.1990051269531
1918-01-01,352.2090148925781
1918-01-02,352.1990051269531
1918-01-03,352.2090148925781
1918-01-04,352.2019958496094
1918-01-05,352.19000244140625
1918-01-06,352.1809997558594
1918-01-07,352.1809997558594
1918-01-08,352.17498779296875
1918-01-09,352.16900634765625
1918-01-10,352.1659851074219
1918-01-11,352.1629943847656
1918-01-12,352.1629943847656
1918-01-13,352.1570129394531
1918-01-14,352.1570129394531
1918-01-15,352.15399169921875
1918-01-16,352.1449890136719
1918-01-17,352.13800048828125
1918-01-18,352.135009765625
1918-01-19,352.1319885253906
1918-01-20,352.13800048828125
1918-01-21,352.1319885253906
1918-01-22,352.1289978027344
1918-01-23,352.1319885253906
1918-01-24,352.1260070800781
1918-01-25,352.114013671875
1918-01-26,352.11700439453125
1918-01-27,352.11700439453125
1918-01-28,352.1109924316406
1918-01-29,352.1050109863281
1918-01-30,352.0989990234375
1918-01-31,352.0989990234375
1918-02-01,352.0989990234375
1918-02-02,352.0899963378906
1918-02-03,352.0809936523437
1918-02-04,352.0780029296875
1918-02-05,352.0780029296875
1918-02-06,352.0740051269531
1918-02-07,352.0780029296875
1918-02-08,352.0780029296875
1918-02-09,352.0780029296875
1918-02-10,352.0809936523437
1918-02-11,352.0740051269531
1918-02-12,352.06201171875
1918-02-13,352.0589904785156
1918-02-14,352.0530090332031
1918-02-15,352.0469970703125
1918-02-16,352.04998779296875
1918-02-17,352.04998779296875
1918-02-18,352.0469970703125
1918-02-19,352.0379943847656
1918-02-20,352.0350036621094
1918-02-21,352.0350036621094
1918-02-22,352.0260009765625
1918-02-23,352.02301025390625
1918-02-24,352.0169982910156
1918-02-25,352.02301025390625
1918-02-26,352.02899169921875
1918-02-27,352.02301025390625
1918-02-28,352.0260009765625
1918-03-01,352.0140075683594
1918-03-02,352.0140075683594
1918-03-03,352.0260009765625
1918-03-04,352.0140075683594
1918-03-05,352.0169982910156
1918-03-06,352.02301025390625
1918-03-07,352.0199890136719
1918-03-08,352.0069885253906
1918-03-09,352.0039978027344
1918-03-10,351.9979858398437
1918-03-11,351.989013671875
1918-03-12,351.9979858398437
1918-03-13,351.99200439453125
1918-03-14,351.9830017089844
1918-03-15,351.9859924316406
1918-03-16,351.9859924316406
1918-03-17,351.9830017089844
1918-03-18,351.9769897460937
