Datetime,Water Level (m)
1978-05-01,12.289999961853027
1978-05-02,12.298999786376951
1978-05-03,12.30500030517578
1978-05-04,12.310999870300291
1978-05-05,12.31999969482422
1978-05-06,12.326000213623049
1978-05-07,
1978-05-08,
1978-05-09,
1978-05-10,
1978-05-11,
1978-05-12,
1978-05-13,
1978-05-14,
1978-05-15,
1978-05-16,
1978-05-17,
1978-05-18,
1978-05-19,
1978-05-20,
1978-05-21,
1978-05-22,
1978-05-23,
1978-05-24,
1978-05-25,
1978-05-26,
1978-05-27,
1978-05-28,
1978-05-29,
1978-05-30,
1978-05-31,
1978-06-01,
1978-06-02,
1978-06-03,
1978-06-04,
1978-06-05,
1978-06-06,
1978-06-07,
1978-06-08,
1978-06-09,
1978-06-10,
1978-06-11,
1978-06-12,
1978-06-13,
1978-06-14,
1978-06-15,
1978-06-16,
1978-06-17,
1978-06-18,
1978-06-19,
1978-06-20,
1978-06-21,
1978-06-22,
1978-06-23,
1978-06-24,
1978-06-25,
1978-06-26,
1978-06-27,
1978-06-28,
1978-06-29,
1978-06-30,
1978-07-01,
1978-07-02,
1978-07-03,
1978-07-04,
1978-07-05,
1978-07-06,
1978-07-07,
1978-07-08,
1978-07-09,
1978-07-10,
1978-07-11,
1978-07-12,
1978-07-13,
1978-07-14,
1978-07-15,
1978-07-16,
1978-07-17,
1978-07-18,
1978-07-19,
1978-07-20,
1978-07-21,
1978-07-22,
1978-07-23,
1978-07-24,
1978-07-25,
1978-07-26,
1978-07-27,
1978-07-28,
1978-07-29,
1978-07-30,
1978-07-31,
1978-08-01,
1978-08-02,
1978-08-03,
1978-08-04,
1978-08-05,
1978-08-06,
1978-08-07,
1978-08-08,
1978-08-09,
1978-08-10,
1978-08-11,
1978-08-12,
1978-08-13,
1978-08-14,
1978-08-15,
1978-08-16,
1978-08-17,
1978-08-18,
1978-08-19,
1978-08-20,
1978-08-21,
1978-08-22,
1978-08-23,
1978-08-24,
1978-08-25,
1978-08-26,
1978-08-27,
1978-08-28,
1978-08-29,
1978-08-30,
1978-08-31,
1978-09-01,
1978-09-02,
1978-09-03,
1978-09-04,
1978-09-05,
1978-09-06,
1978-09-07,
1978-09-08,11.17099952697754
1978-09-09,11.16800022125244
1978-09-10,11.16800022125244
1978-09-11,11.17099952697754
1978-09-12,11.173999786376951
1978-09-13,11.185999870300291
1978-09-14,11.19499969482422
1978-09-15,11.208000183105469
1978-09-16,11.211000442504885
1978-09-17,11.204999923706056
1978-09-18,11.19499969482422
1978-09-19,11.19200038909912
1978-09-20,11.19200038909912
1978-09-21,11.185999870300291
1978-09-22,11.18299961090088
1978-09-23,11.18000030517578
1978-09-24,11.18000030517578
1978-09-25,11.17099952697754
1978-09-26,11.16800022125244
1978-09-27,11.164999961853027
1978-09-28,11.16800022125244
1978-09-29,11.16800022125244
1978-09-30,11.173999786376951
1978-10-01,11.18000030517578
1978-10-02,11.177000045776367
1978-10-03,11.177000045776367
1978-10-04,11.17099952697754
1978-10-05,
1978-10-06,
1978-10-07,
1978-10-08,
1978-10-09,
1978-10-10,
1978-10-11,
1978-10-12,
1978-10-13,
1978-10-14,
1978-10-15,
1978-10-16,
1978-10-17,
1978-10-18,
1978-10-19,
1978-10-20,
1978-10-21,
1978-10-22,
1978-10-23,
1978-10-24,
1978-10-25,
1978-10-26,
1978-10-27,
1978-10-28,
1978-10-29,
1978-10-30,
1978-10-31,
1978-11-01,
1978-11-02,
1978-11-03,
1978-11-04,
1978-11-05,
1978-11-06,
1978-11-07,
1978-11-08,
1978-11-09,
1978-11-10,
1978-11-11,
1978-11-12,
1978-11-13,
1978-11-14,
1978-11-15,
1978-11-16,
1978-11-17,
1978-11-18,
1978-11-19,
1978-11-20,
1978-11-21,
1978-11-22,
1978-11-23,
1978-11-24,
1978-11-25,
1978-11-26,
1978-11-27,
1978-11-28,
1978-11-29,
1978-11-30,
1978-12-01,
1978-12-02,
1978-12-03,
1978-12-04,
1978-12-05,
1978-12-06,
1978-12-07,
1978-12-08,
1978-12-09,
1978-12-10,
1978-12-11,
1978-12-12,
1978-12-13,
1978-12-14,
1978-12-15,
1978-12-16,
1978-12-17,
1978-12-18,
1978-12-19,
1978-12-20,
1978-12-21,
1978-12-22,
1978-12-23,
1978-12-24,
1978-12-25,
1978-12-26,
1978-12-27,
1978-12-28,
1978-12-29,
1978-12-30,
1978-12-31,
1979-01-01,11.017000198364258
1979-01-02,11.015999794006348
1979-01-03,11.01200008392334
1979-01-04,11.01200008392334
1979-01-05,11.008999824523926
1979-01-06,11.006999969482422
1979-01-07,11.005999565124512
1979-01-08,11.005999565124512
1979-01-09,11.003000259399414
1979-01-10,11.003000259399414
1979-01-11,11.003999710083008
1979-01-12,11.00100040435791
1979-01-13,10.99899959564209
1979-01-14,11.0
1979-01-15,10.993000030517578
1979-01-16,10.989999771118164
1979-01-17,10.991000175476074
1979-01-18,10.993000030517578
1979-01-19,10.987000465393066
1979-01-20,10.98799991607666
1979-01-21,10.987000465393066
1979-01-22,10.986000061035156
1979-01-23,10.982000350952148
1979-01-24,10.97599983215332
1979-01-25,10.970000267028809
1979-01-26,10.982000350952148
1979-01-27,10.980999946594238
1979-01-28,10.979000091552734
1979-01-29,10.979000091552734
1979-01-30,10.980999946594238
1979-01-31,10.97599983215332
1979-02-01,10.977999687194824
1979-02-02,10.97599983215332
1979-02-03,10.96500015258789
1979-02-04,10.967000007629396
1979-02-05,10.965999603271484
1979-02-06,10.96399974822998
1979-02-07,10.961999893188477
1979-02-08,10.954999923706056
1979-02-09,10.95699977874756
1979-02-10,10.958999633789062
1979-02-11,10.949000358581545
1979-02-12,10.95400047302246
1979-02-13,10.95300006866455
1979-02-14,10.954999923706056
1979-02-15,10.949999809265137
1979-02-16,10.951000213623049
1979-02-17,10.942999839782717
1979-02-18,10.946999549865724
1979-02-19,10.949999809265137
1979-02-20,10.940999984741213
1979-02-21,10.94499969482422
1979-02-22,10.95400047302246
1979-02-23,10.958999633789062
1979-02-24,10.961000442504885
1979-02-25,10.963000297546388
1979-02-26,10.958999633789062
1979-02-27,10.963000297546388
1979-02-28,10.95699977874756
1979-03-01,10.954999923706056
1979-03-02,10.961999893188477
1979-03-03,10.961000442504885
1979-03-04,10.977999687194824
1979-03-05,10.97700023651123
1979-03-06,10.977999687194824
1979-03-07,10.984000205993652
1979-03-08,10.991000175476074
1979-03-09,10.991000175476074
1979-03-10,11.00100040435791
1979-03-11,11.010000228881836
1979-03-12,11.020000457763672
1979-03-13,11.026000022888184
1979-03-14,11.031999588012695
1979-03-15,11.026000022888184
1979-03-16,11.029999732971191
1979-03-17,11.03600025177002
1979-03-18,11.038000106811523
1979-03-19,11.04800033569336
1979-03-20,11.05799961090088
1979-03-21,11.06700038909912
1979-03-22,11.072999954223633
1979-03-23,11.07900047302246
1979-03-24,11.07699966430664
1979-03-25,11.08199977874756
1979-03-26,11.081000328063965
1979-03-27,11.07900047302246
1979-03-28,11.086000442504885
1979-03-29,11.10099983215332
1979-03-30,11.104000091552734
1979-03-31,11.102999687194824
1979-04-01,11.104999542236328
1979-04-02,11.104000091552734
1979-04-03,11.104999542236328
1979-04-04,11.102999687194824
1979-04-05,11.10099983215332
1979-04-06,11.097000122070312
1979-04-07,11.095000267028809
1979-04-08,11.093999862670898
1979-04-09,11.095999717712402
1979-04-10,11.093999862670898
1979-04-11,11.092000007629396
1979-04-12,11.09000015258789
1979-04-13,11.09000015258789
1979-04-14,11.090999603271484
1979-04-15,11.097999572753906
1979-04-16,11.11299991607666
1979-04-17,11.123000144958496
1979-04-18,11.142000198364258
1979-04-19,11.199000358581545
1979-04-20,11.373000144958494
1979-04-21,11.56700038909912
1979-04-22,11.75
1979-04-23,11.911999702453612
1979-04-24,12.050000190734863
1979-04-25,12.20699977874756
1979-04-26,12.324999809265137
1979-04-27,12.42300033569336
1979-04-28,12.494000434875488
1979-04-29,12.539999961853027
1979-04-30,12.5600004196167
1979-05-01,12.55500030517578
1979-05-02,12.560999870300291
1979-05-03,12.5600004196167
1979-05-04,12.54599952697754
1979-05-05,12.52400016784668
1979-05-06,12.489999771118164
1979-05-07,12.458999633789062
1979-05-08,12.428000450134276
1979-05-09,12.397000312805176
1979-05-10,12.359000205993652
1979-05-11,12.352999687194824
1979-05-12,12.347999572753904
1979-05-13,12.352999687194824
1979-05-14,12.369000434875488
1979-05-15,12.38700008392334
1979-05-16,12.404999732971191
1979-05-17,12.425000190734863
1979-05-18,12.4350004196167
1979-05-19,12.428999900817873
1979-05-20,12.420000076293944
1979-05-21,12.406999588012695
1979-05-22,12.390999794006348
1979-05-23,12.371999740600586
1979-05-24,12.347999572753904
1979-05-25,12.321999549865724
1979-05-26,12.293999671936035
1979-05-27,12.262999534606935
1979-05-28,12.222999572753904
1979-05-29,12.178999900817873
1979-05-30,12.135000228881836
1979-05-31,12.11299991607666
1979-06-01,12.0649995803833
1979-06-02,12.031999588012695
1979-06-03,11.987000465393065
1979-06-04,11.949000358581545
1979-06-05,11.902000427246096
1979-06-06,11.86299991607666
1979-06-07,11.836999893188477
1979-06-08,11.79699993133545
1979-06-09,11.758999824523926
1979-06-10,11.737000465393065
1979-06-11,11.701000213623049
1979-06-12,11.666999816894531
1979-06-13,11.63700008392334
1979-06-14,11.616000175476074
1979-06-15,11.595000267028809
1979-06-16,11.553999900817873
1979-06-17,11.526000022888184
1979-06-18,11.496000289916992
1979-06-19,11.468000411987305
1979-06-20,11.467000007629396
1979-06-21,11.461999893188477
1979-06-22,11.435999870300291
1979-06-23,11.416000366210938
1979-06-24,11.39799976348877
1979-06-25,11.385000228881836
1979-06-26,11.380000114440918
1979-06-27,11.354000091552734
1979-06-28,11.347000122070312
1979-06-29,11.338000297546388
1979-06-30,11.321999549865724
1979-07-01,11.303999900817873
1979-07-02,11.289999961853027
1979-07-03,11.274999618530272
1979-07-04,11.260000228881836
1979-07-05,11.24899959564209
1979-07-06,11.236000061035156
1979-07-07,11.222000122070312
1979-07-08,11.208999633789062
1979-07-09,11.197999954223633
1979-07-10,11.20199966430664
1979-07-11,11.1899995803833
1979-07-12,11.18299961090088
1979-07-13,11.184000015258787
1979-07-14,11.185999870300291
1979-07-15,11.184000015258787
1979-07-16,11.168999671936035
1979-07-17,11.166000366210938
1979-07-18,11.15999984741211
1979-07-19,11.164999961853027
1979-07-20,11.159000396728516
1979-07-21,11.154000282287598
1979-07-22,11.133999824523926
1979-07-23,11.128000259399414
1979-07-24,11.12600040435791
1979-07-25,11.119000434875488
1979-07-26,11.116999626159668
1979-07-27,11.11299991607666
1979-07-28,11.107000350952148
1979-07-29,11.097999572753906
1979-07-30,11.100000381469728
1979-07-31,11.092000007629396
1979-08-01,11.079999923706056
1979-08-02,11.07699966430664
1979-08-03,11.069000244140623
1979-08-04,11.060999870300291
1979-08-05,11.055999755859377
1979-08-06,11.043999671936035
1979-08-07,11.05500030517578
1979-08-08,11.038999557495115
1979-08-09,11.032999992370604
1979-08-10,11.036999702453612
1979-08-11,11.029999732971191
1979-08-12,11.034000396728516
1979-08-13,11.03600025177002
1979-08-14,11.024999618530272
1979-08-15,11.015000343322754
1979-08-16,11.008000373840332
1979-08-17,11.003999710083008
1979-08-18,11.001999855041504
1979-08-19,10.994999885559082
1979-08-20,10.98900032043457
1979-08-21,10.980999946594238
1979-08-22,10.984000205993652
1979-08-23,10.99899959564209
1979-08-24,10.998000144958496
1979-08-25,10.99899959564209
1979-08-26,10.996000289916992
1979-08-27,10.993000030517578
1979-08-28,10.987000465393066
1979-08-29,10.991000175476074
1979-08-30,10.977999687194824
1979-08-31,10.968999862670898
1979-09-01,10.977999687194824
1979-09-02,10.987000465393066
1979-09-03,10.975000381469728
1979-09-04,10.972000122070312
1979-09-05,10.970999717712402
1979-09-06,10.946999549865724
1979-09-07,10.913999557495115
1979-09-08,10.890999794006348
1979-09-09,10.880999565124512
1979-09-10,10.871999740600586
1979-09-11,10.873000144958496
1979-09-12,10.878999710083008
1979-09-13,10.88700008392334
1979-09-14,10.887999534606934
1979-09-15,10.890000343322754
1979-09-16,10.890000343322754
1979-09-17,10.897000312805176
1979-09-18,10.892999649047852
1979-09-19,10.895000457763672
1979-09-20,10.916999816894531
1979-09-21,10.928999900817873
1979-09-22,10.937999725341797
1979-09-23,10.942999839782717
1979-09-24,10.951000213623049
1979-09-25,10.94499969482422
1979-09-26,10.928999900817873
1979-09-27,10.92199993133545
1979-09-28,10.906000137329102
1979-09-29,10.901000022888184
1979-09-30,10.890000343322754
1979-10-01,10.880999565124512
1979-10-02,10.866999626159668
1979-10-03,10.87600040435791
1979-10-04,10.859999656677246
1979-10-05,10.857000350952148
1979-10-06,10.845999717712402
1979-10-07,10.836999893188477
1979-10-08,10.836999893188477
1979-10-09,10.833999633789062
1979-10-10,10.821000099182127
1979-10-11,10.824000358581545
1979-10-12,10.819000244140623
1979-10-13,10.80799961090088
1979-10-14,10.800999641418455
1979-10-15,10.79800033569336
1979-10-16,10.800000190734863
1979-10-17,10.791999816894531
1979-10-18,10.78499984741211
1979-10-19,10.78600025177002
1979-10-20,10.789999961853027
1979-10-21,10.79300022125244
1979-10-22,10.784000396728516
1979-10-23,10.777999877929688
1979-10-24,10.77299976348877
1979-10-25,10.77299976348877
1979-10-26,10.767999649047852
1979-10-27,10.772000312805176
1979-10-28,10.77299976348877
1979-10-29,10.770999908447266
1979-10-30,10.776000022888184
1979-10-31,10.80500030517578
1979-11-01,10.857999801635742
1979-11-02,10.913000106811523
1979-11-03,10.965999603271484
1979-11-04,11.01099967956543
1979-11-05,11.053000450134276
1979-11-06,11.08199977874756
1979-11-07,11.105999946594238
1979-11-08,11.119000434875488
1979-11-09,11.121999740600586
1979-11-10,11.128000259399414
1979-11-11,11.133000373840332
1979-11-12,11.131999969482422
1979-11-13,11.12600040435791
1979-11-14,11.118000030517578
1979-11-15,11.111000061035156
1979-11-16,11.100000381469728
1979-11-17,11.093999862670898
1979-11-18,11.086000442504885
1979-11-19,11.07900047302246
1979-11-20,11.06999969482422
1979-11-21,11.055999755859377
1979-11-22,11.04699993133545
1979-11-23,11.039999961853027
1979-11-24,11.031999588012695
1979-11-25,11.02400016784668
1979-11-26,11.017999649047852
1979-11-27,11.012999534606934
1979-11-28,11.008999824523926
1979-11-29,11.0
1979-11-30,10.989999771118164
1979-12-01,10.982000350952148
1979-12-02,10.979999542236328
1979-12-03,10.994000434875488
1979-12-04,11.003000259399414
1979-12-05,11.024999618530272
1979-12-06,11.031999588012695
1979-12-07,11.034000396728516
1979-12-08,11.036999702453612
1979-12-09,11.04300022125244
1979-12-10,11.05799961090088
1979-12-11,11.062000274658203
1979-12-12,11.06700038909912
1979-12-13,11.071000099182127
1979-12-14,11.074999809265137
1979-12-15,11.076000213623049
1979-12-16,11.074999809265137
1979-12-17,11.076000213623049
1979-12-18,11.079999923706056
1979-12-19,11.083000183105469
1979-12-20,11.08199977874756
1979-12-21,11.083999633789062
1979-12-22,11.086999893188477
1979-12-23,11.088000297546388
1979-12-24,11.086000442504885
1979-12-25,11.083999633789062
1979-12-26,11.083999633789062
1979-12-27,11.083999633789062
1979-12-28,11.081000328063965
1979-12-29,11.081000328063965
1979-12-30,11.079999923706056
1979-12-31,11.08199977874756
1980-01-01,11.07900047302246
1980-01-02,11.07800006866455
1980-01-03,11.06999969482422
1980-01-04,11.06700038909912
1980-01-05,11.071999549865724
1980-01-06,11.071999549865724
1980-01-07,11.071999549865724
1980-01-08,11.071999549865724
1980-01-09,11.071999549865724
1980-01-10,11.072999954223633
1980-01-11,11.09000015258789
1980-01-12,11.08899974822998
1980-01-13,11.08899974822998
1980-01-14,11.086000442504885
1980-01-15,11.088000297546388
1980-01-16,11.08899974822998
1980-01-17,11.088000297546388
1980-01-18,11.083999633789062
1980-01-19,11.083000183105469
1980-01-20,11.079999923706056
1980-01-21,11.079999923706056
1980-01-22,11.076000213623049
1980-01-23,11.072999954223633
1980-01-24,11.074000358581545
1980-01-25,11.072999954223633
1980-01-26,11.072999954223633
1980-01-27,11.074999809265137
1980-01-28,11.074999809265137
1980-01-29,11.071999549865724
1980-01-30,11.067999839782717
1980-01-31,11.0649995803833
1980-02-01,11.064000129699709
1980-02-02,11.062999725341797
1980-02-03,11.059000015258787
1980-02-04,11.059000015258787
1980-02-05,11.062000274658203
1980-02-06,11.062000274658203
1980-02-07,11.064000129699709
1980-02-08,11.059000015258787
1980-02-09,11.057000160217283
1980-02-10,11.064000129699709
1980-02-11,11.065999984741213
1980-02-12,11.065999984741213
1980-02-13,11.062000274658203
1980-02-14,11.062999725341797
1980-02-15,11.060999870300291
1980-02-16,11.059000015258787
1980-02-17,11.05500030517578
1980-02-18,11.057000160217283
1980-02-19,11.05500030517578
1980-02-20,11.05500030517578
1980-02-21,11.04800033569336
1980-02-22,11.050999641418455
1980-02-23,11.050000190734863
1980-02-24,11.053999900817873
1980-02-25,11.04699993133545
1980-02-26,11.04599952697754
1980-02-27,11.04599952697754
1980-02-28,11.043999671936035
1980-02-29,11.041999816894531
1980-03-01,11.041000366210938
1980-03-02,11.041999816894531
1980-03-03,11.043999671936035
1980-03-04,11.041000366210938
1980-03-05,11.038999557495115
1980-03-06,11.03499984741211
1980-03-07,11.03499984741211
1980-03-08,11.03600025177002
1980-03-09,11.036999702453612
1980-03-10,11.03600025177002
1980-03-11,11.03600025177002
1980-03-12,11.036999702453612
1980-03-13,11.043999671936035
1980-03-14,11.041999816894531
1980-03-15,11.041000366210938
1980-03-16,11.04300022125244
1980-03-17,11.04300022125244
1980-03-18,11.04300022125244
1980-03-19,11.043999671936035
1980-03-20,11.04599952697754
1980-03-21,11.04300022125244
1980-03-22,11.041999816894531
1980-03-23,11.041999816894531
1980-03-24,11.039999961853027
1980-03-25,11.038999557495115
1980-03-26,11.03600025177002
1980-03-27,11.036999702453612
1980-03-28,11.03600025177002
1980-03-29,11.03499984741211
1980-03-30,11.03499984741211
1980-03-31,11.034000396728516
1980-04-01,11.034000396728516
1980-04-02,11.034000396728516
1980-04-03,11.034000396728516
1980-04-04,11.029000282287598
1980-04-05,11.02400016784668
1980-04-06,11.020999908447266
1980-04-07,11.027000427246094
1980-04-08,11.04599952697754
1980-04-09,11.06999969482422
1980-04-10,11.09000015258789
1980-04-11,11.107999801635742
1980-04-12,11.125
1980-04-13,11.13700008392334
1980-04-14,11.140999794006348
1980-04-15,11.147000312805176
1980-04-16,11.154000282287598
1980-04-17,11.170000076293944
1980-04-18,11.20199966430664
1980-04-19,11.279000282287598
1980-04-20,11.38599967956543
1980-04-21,11.498000144958494
1980-04-22,11.60099983215332
1980-04-23,11.678999900817873
1980-04-24,11.737000465393065
1980-04-25,11.782999992370604
1980-04-26,11.809000015258787
1980-04-27,11.821000099182127
1980-04-28,11.81999969482422
1980-04-29,11.809000015258787
1980-04-30,11.791999816894531
1980-05-01,11.77299976348877
1980-05-02,11.75
1980-05-03,11.717000007629396
1980-05-04,11.685999870300291
1980-05-05,11.649999618530272
1980-05-06,11.602999687194824
1980-05-07,11.5649995803833
1980-05-08,11.531000137329102
1980-05-09,11.496000289916992
1980-05-10,11.467000007629396
1980-05-11,11.439000129699709
1980-05-12,11.40999984741211
1980-05-13,11.380999565124512
1980-05-14,11.348999977111816
1980-05-15,11.324999809265137
1980-05-16,11.29699993133545
1980-05-17,11.27400016784668
1980-05-18,11.25
1980-05-19,11.220999717712402
1980-05-20,11.196000099182127
1980-05-21,11.17199993133545
1980-05-22,11.14799976348877
1980-05-23,11.119000434875488
1980-05-24,11.093000411987305
1980-05-25,11.060999870300291
1980-05-26,11.036999702453612
1980-05-27,11.015000343322754
1980-05-28,10.998000144958496
1980-05-29,10.984999656677246
1980-05-30,10.95400047302246
1980-05-31,10.920000076293944
1980-06-01,10.89900016784668
1980-06-02,10.880999565124512
1980-06-03,10.854999542236328
1980-06-04,10.82900047302246
1980-06-05,10.815999984741213
1980-06-06,10.803999900817873
1980-06-07,10.777999877929688
1980-06-08,10.762999534606934
1980-06-09,10.736000061035156
1980-06-10,10.711999893188477
1980-06-11,10.685999870300291
1980-06-12,10.67099952697754
1980-06-13,10.666999816894531
1980-06-14,10.642000198364258
1980-06-15,10.628000259399414
1980-06-16,10.616999626159668
1980-06-17,10.60200023651123
1980-06-18,10.583999633789062
1980-06-19,10.572999954223633
1980-06-20,10.555999755859377
1980-06-21,10.54599952697754
1980-06-22,10.529999732971191
1980-06-23,10.512999534606934
1980-06-24,10.508000373840332
1980-06-25,10.494999885559082
1980-06-26,10.46500015258789
1980-06-27,10.437000274658203
1980-06-28,10.44200038909912
1980-06-29,10.444000244140623
1980-06-30,10.4350004196167
1980-07-01,10.435999870300291
1980-07-02,10.427000045776367
1980-07-03,10.41100025177002
1980-07-04,10.397000312805176
1980-07-05,10.387999534606934
1980-07-06,10.375
1980-07-07,10.38599967956543
1980-07-08,10.366000175476074
1980-07-09,10.357000350952148
1980-07-10,10.347000122070312
1980-07-11,10.32900047302246
1980-07-12,10.32800006866455
1980-07-13,10.310999870300291
1980-07-14,10.303999900817873
1980-07-15,10.293999671936035
1980-07-16,10.289999961853027
1980-07-17,10.28600025177002
1980-07-18,10.289999961853027
1980-07-19,10.29699993133545
1980-07-20,10.295000076293944
1980-07-21,10.303999900817873
1980-07-22,10.300000190734863
1980-07-23,10.303000450134276
1980-07-24,10.317999839782717
1980-07-25,10.307000160217283
1980-07-26,10.300999641418455
1980-07-27,10.305999755859377
1980-07-28,10.300999641418455
1980-07-29,10.29599952697754
1980-07-30,10.300000190734863
1980-07-31,10.29699993133545
1980-08-01,10.298999786376951
1980-08-02,10.286999702453612
1980-08-03,10.27400016784668
1980-08-04,10.281999588012695
1980-08-05,10.30799961090088
1980-08-06,10.30799961090088
1980-08-07,10.30799961090088
1980-08-08,10.314000129699709
1980-08-09,10.312999725341797
1980-08-10,10.310999870300291
1980-08-11,10.31700038909912
1980-08-12,10.319000244140623
1980-08-13,10.315999984741213
1980-08-14,10.31700038909912
1980-08-15,10.3100004196167
1980-08-16,10.298999786376951
1980-08-17,10.30799961090088
1980-08-18,10.31700038909912
1980-08-19,10.314000129699709
1980-08-20,10.310999870300291
1980-08-21,10.333000183105469
1980-08-22,10.333000183105469
