Datetime,Water Level (m)
2012-03-01,222.3520050048828
2012-03-02,222.35400390625
2012-03-03,222.35400390625
2012-03-04,222.35299682617188
2012-03-05,222.3509979248047
2012-03-06,222.35499572753903
2012-03-07,222.35499572753903
2012-03-08,222.35400390625
2012-03-09,222.35299682617188
2012-03-10,222.3520050048828
2012-03-11,222.35699462890625
2012-03-12,222.3710021972656
2012-03-13,222.3860015869141
2012-03-14,222.41900634765625
2012-03-15,222.46099853515625
2012-03-16,222.49899291992188
2012-03-17,222.5809936523437
2012-03-18,222.613998413086
2012-03-19,222.6959991455078
2012-03-20,222.7769927978516
2012-03-21,222.7050018310547
2012-03-22,222.61199951171875
2012-03-23,222.5599975585937
2012-03-24,222.5229949951172
2012-03-25,222.5030059814453
2012-03-26,222.47900390625
2012-03-27,222.45899963378903
2012-03-28,222.4559936523437
2012-03-29,222.4499969482422
2012-03-30,222.4559936523437
2012-03-31,222.4550018310547
2012-04-01,222.46099853515625
2012-04-02,222.4579925537109
2012-04-03,222.447006225586
2012-04-04,222.4409942626953
2012-04-05,222.44200134277344
2012-04-06,222.4340057373047
2012-04-07,222.41900634765625
2012-04-08,222.4149932861328
2012-04-09,222.4100036621093
2012-04-10,222.40499877929688
2012-04-11,222.3999938964844
2012-04-12,222.3950042724609
2012-04-13,222.3950042724609
2012-04-14,222.4029998779297
2012-04-15,222.40499877929688
2012-04-16,222.4069976806641
2012-04-17,222.406005859375
2012-04-18,222.3990020751953
2012-04-19,222.4019927978516
2012-04-20,222.3979949951172
2012-04-21,222.3930053710937
2012-04-22,222.3979949951172
2012-04-23,222.3970031738281
2012-04-24,222.3970031738281
2012-04-25,222.4019927978516
2012-04-26,222.3950042724609
2012-04-27,222.3919982910156
2012-04-28,222.3890075683593
2012-04-29,222.3890075683593
2012-04-30,222.3919982910156
2012-05-01,222.4290008544922
2012-05-02,222.44500732421875
2012-05-03,222.4369964599609
2012-05-04,222.4290008544922
2012-05-05,222.42100524902344
2012-05-06,222.41900634765625
2012-05-07,222.427001953125
2012-05-08,222.4429931640625
2012-05-09,222.4559936523437
2012-05-10,222.4530029296875
2012-05-11,222.46099853515625
2012-05-12,222.468002319336
2012-05-13,222.4640045166016
2012-05-14,222.4550018310547
2012-05-15,222.44400024414065
2012-05-16,222.4349975585937
2012-05-17,222.427001953125
2012-05-18,222.41700744628903
2012-05-19,222.4160003662109
2012-05-20,222.4250030517578
2012-05-21,222.4250030517578
2012-05-22,222.42300415039065
2012-05-23,222.447998046875
2012-05-24,222.47900390625
2012-05-25,222.5030059814453
2012-05-26,222.5110015869141
2012-05-27,222.5
2012-05-28,222.5
2012-05-29,222.5110015869141
2012-05-30,222.5279998779297
2012-05-31,222.5220031738281
2012-06-01,222.50900268554688
2012-06-02,222.49899291992188
2012-06-03,222.49400329589844
2012-06-04,222.49899291992188
2012-06-05,222.49099731445312
2012-06-06,222.4759979248047
2012-06-07,222.46499633789065
2012-06-08,222.4550018310547
2012-06-09,222.4519958496093
2012-06-10,222.46299743652344
2012-06-11,222.4620056152344
2012-06-12,222.46499633789065
2012-06-13,222.47999572753903
2012-06-14,222.50799560546875
2012-06-15,222.6000061035156
2012-06-16,222.6750030517578
2012-06-17,222.7120056152344
2012-06-18,222.8650054931641
2012-06-19,223.02999877929688
2012-06-20,223.1179962158203
2012-06-21,223.08200073242188
2012-06-22,223.06100463867188
2012-06-23,223.03599548339844
2012-06-24,222.9600067138672
2012-06-25,222.8860015869141
2012-06-26,222.8249969482422
2012-06-27,222.79600524902344
2012-06-28,222.78599548339844
