Datetime,Water Level (m)
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,0.0
2011-01-05,0.0
2011-01-06,0.0
2011-01-07,0.0
2011-01-08,0.0
2011-01-09,0.0
2011-01-10,0.0
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,0.0
2011-01-15,0.0
2011-01-16,0.0
2011-01-17,0.0
2011-01-18,218.29800415039065
2011-01-19,218.28599548339844
2011-01-20,218.2749938964844
2011-01-21,218.2910003662109
2011-01-22,218.2989959716797
2011-01-23,218.2969970703125
2011-01-24,218.28399658203125
2011-01-25,218.2539978027344
2011-01-26,218.2480010986328
2011-01-27,218.2460021972656
2011-01-28,218.2530059814453
2011-01-29,218.2460021972656
2011-01-30,218.2400054931641
2011-01-31,218.2220001220703
2011-02-01,218.2209930419922
2011-02-02,218.2310028076172
2011-02-03,218.23599243164065
2011-02-04,218.24899291992188
2011-02-05,218.2310028076172
2011-02-06,218.2250061035156
2011-02-07,218.20899963378903
2011-02-08,218.19900512695312
2011-02-09,218.19200134277344
2011-02-10,218.1959991455078
2011-02-11,218.197998046875
2011-02-12,218.197006225586
2011-02-13,218.19900512695312
2011-02-14,218.1999969482422
2011-02-15,218.1959991455078
2011-02-16,218.1889953613281
2011-02-17,218.1809997558593
2011-02-18,218.1699981689453
2011-02-19,218.1679992675781
2011-02-20,218.1580047607422
2011-02-21,218.1580047607422
2011-02-22,218.18299865722656
2011-02-23,218.20899963378903
2011-02-24,218.17599487304688
2011-02-25,218.156005859375
2011-02-26,218.1629943847656
2011-02-27,218.1739959716797
2011-02-28,218.1790008544922
2011-03-01,218.1750030517578
2011-03-02,218.16099548339844
2011-03-03,218.1490020751953
2011-03-04,218.1640014648437
2011-03-05,218.1479949951172
2011-03-06,218.13299560546875
2011-03-07,218.1230010986328
2011-03-08,218.11599731445312
2011-03-09,218.10499572753903
2011-03-10,218.11599731445312
2011-03-11,218.125
2011-03-12,218.113998413086
2011-03-13,218.10499572753903
2011-03-14,218.10299682617188
2011-03-15,218.11199951171875
2011-03-16,218.11099243164065
2011-03-17,218.08999633789065
2011-03-18,218.08599853515625
2011-03-19,218.0850067138672
2011-03-20,218.0800018310547
2011-03-21,218.0709991455078
2011-03-22,218.0529937744141
2011-03-23,218.04600524902344
2011-03-24,218.0399932861328
2011-03-25,218.04200744628903
2011-03-26,218.0319976806641
2011-03-27,218.0249938964844
2011-03-28,218.0180053710937
2011-03-29,218.01300048828125
2011-03-30,218.0140075683593
2011-03-31,218.0140075683593
2011-04-01,218.0019989013672
2011-04-02,217.98599243164065
2011-04-03,217.97900390625
2011-04-04,217.97300720214844
2011-04-05,217.96299743652344
2011-04-06,217.9559936523437
2011-04-07,217.9600067138672
2011-04-08,217.96600341796875
2011-04-09,217.9759979248047
2011-04-10,217.99099731445312
2011-04-11,218.01600646972656
2011-04-12,218.052001953125
2011-04-13,218.08200073242188
2011-04-14,218.1080017089844
