Datetime,Water Level (m)
1959-08-13,217.6580047607422
1959-08-14,217.6580047607422
1959-08-15,217.6580047607422
1959-08-16,217.53599548339844
1959-08-17,217.5970001220703
1959-08-18,217.5659942626953
1959-08-19,217.5659942626953
1959-08-20,217.56900024414065
1959-08-21,217.322006225586
1959-08-22,217.68800354003903
1959-08-23,217.6269989013672
1959-08-24,217.6269989013672
1959-08-25,217.6269989013672
1959-08-26,217.5970001220703
1959-08-27,217.5050048828125
1959-08-28,217.5050048828125
1959-08-29,217.5970001220703
1959-08-30,217.56900024414065
1959-08-31,217.6580047607422
1959-09-01,217.5970001220703
1959-09-02,217.53599548339844
1959-09-03,217.53599548339844
1959-09-04,217.6580047607422
1959-09-05,217.6580047607422
1959-09-06,217.5659942626953
1959-09-07,217.322006225586
1959-09-08,217.5970001220703
1959-09-09,217.10899353027344
1959-09-10,217.6580047607422
1959-09-11,217.5970001220703
1959-09-12,217.6580047607422
1959-09-13,217.5659942626953
1959-09-14,217.5659942626953
1959-09-15,217.4750061035156
1959-09-16,217.5970001220703
1959-09-17,217.5970001220703
1959-09-18,217.6580047607422
1959-09-19,217.6580047607422
1959-09-20,217.5390014648437
1959-09-21,217.5269927978516
1959-09-22,217.447006225586
1959-09-23,217.47799682617188
1959-09-24,217.5970001220703
1959-09-25,217.55099487304688
1959-09-26,217.4140014648437
1959-09-27,217.5809936523437
1959-09-28,217.29200744628903
1959-09-29,217.15499877929688
1959-09-30,217.13999938964844
1959-10-01,217.8560028076172
1959-10-02,217.67300415039065
1959-10-03,217.4900054931641
1959-10-04,217.46600341796875
1959-10-05,217.46600341796875
1959-10-06,217.4140014648437
1959-10-07,217.35299682617188
1959-10-08,217.13999938964844
1959-10-09,217.15499877929688
1959-10-10,217.06300354003903
1959-10-11,217.04800415039065
1959-10-12,217.74899291992188
1959-10-13,217.4499969482422
1959-10-14,217.4499969482422
1959-10-15,217.5970001220703
1959-10-16,217.5970001220703
1959-10-17,217.38299560546875
1959-10-18,217.54200744628903
1959-10-19,
1959-10-20,
1959-10-21,
1959-10-22,
1959-10-23,
1959-10-24,
1959-10-25,
1959-10-26,
1959-10-27,
1959-10-28,
1959-10-29,
1959-10-30,
1959-10-31,
1959-11-01,
1959-11-02,
1959-11-03,
1959-11-04,
1959-11-05,
1959-11-06,
1959-11-07,
1959-11-08,
1959-11-09,
1959-11-10,
1959-11-11,
