Datetime,Water Level (m)
1972-06-08,208.46499633789065
1972-06-09,208.44400024414065
1972-06-10,208.38299560546875
1972-06-11,208.4069976806641
1972-06-12,208.4010009765625
1972-06-13,208.447006225586
1972-06-14,208.593002319336
1972-06-15,208.45899963378903
1972-06-16,208.3950042724609
1972-06-17,208.3919982910156
1972-06-18,208.38299560546875
1972-06-19,208.4219970703125
1972-06-20,208.3699951171875
1972-06-21,208.4129943847656
1972-06-22,208.3580017089844
1972-06-23,208.3730010986328
1972-06-24,208.363998413086
1972-06-25,208.35499572753903
1972-06-26,208.35499572753903
1972-06-27,208.3580017089844
1972-06-28,208.3309936523437
1972-06-29,208.363998413086
1972-06-30,208.4309997558593
1972-07-01,208.44400024414065
1972-07-02,208.41900634765625
1972-07-03,208.3730010986328
1972-07-04,208.3459930419922
1972-07-05,208.33999633789065
1972-07-06,208.3730010986328
1972-07-07,208.363998413086
1972-07-08,208.31300354003903
1972-07-09,208.2969970703125
1972-07-10,208.3059997558593
1972-07-11,208.2640075683593
1972-07-12,208.3029937744141
1972-07-13,208.2819976806641
1972-07-14,208.2910003662109
1972-07-15,208.2449951171875
1972-07-16,208.2729949951172
1972-07-17,208.23599243164065
1972-07-18,208.2030029296875
1972-07-19,208.2120056152344
1972-07-20,208.22999572753903
1972-07-21,208.2449951171875
1972-07-22,208.2550048828125
1972-07-23,208.2760009765625
1972-07-24,208.20899963378903
1972-07-25,208.16900634765625
1972-07-26,208.1600036621093
1972-07-27,208.13299560546875
1972-07-28,208.1080017089844
1972-07-29,208.1080017089844
1972-07-30,208.08999633789065
1972-07-31,208.0989990234375
1972-08-01,208.0809936523437
1972-08-02,208.1020050048828
1972-08-03,208.072006225586
1972-08-04,208.0350036621093
1972-08-05,208.06900024414065
1972-08-06,208.06900024414065
1972-08-07,208.06900024414065
1972-08-08,208.0379943847656
1972-08-09,208.0379943847656
1972-08-10,208.0200042724609
1972-08-11,208.0319976806641
1972-08-12,208.06300354003903
1972-08-13,208.0319976806641
1972-08-14,208.0200042724609
1972-08-15,208.0169982910156
1972-08-16,208.00799560546875
1972-08-17,207.99200439453125
1972-08-18,208.0200042724609
1972-08-19,207.99200439453125
1972-08-20,207.988998413086
1972-08-21,208.0169982910156
1972-08-22,207.94400024414065
1972-08-23,207.947006225586
1972-08-24,207.9709930419922
1972-08-25,207.94400024414065
1972-08-26,207.9409942626953
1972-08-27,207.9010009765625
1972-08-28,207.9219970703125
1972-08-29,207.9499969482422
1972-08-30,207.9409942626953
1972-08-31,207.91900634765625
