Datetime,Water Level (m)
1986-06-24,33.35400009155273
1986-06-25,
1986-06-26,
1986-06-27,
1986-06-28,
1986-06-29,
1986-06-30,
1986-07-01,
1986-07-02,
1986-07-03,
1986-07-04,
1986-07-05,
1986-07-06,
1986-07-07,
1986-07-08,33.30599975585937
1986-07-09,33.29800033569336
1986-07-10,33.28900146484375
1986-07-11,33.275001525878906
1986-07-12,33.263999938964844
1986-07-13,33.279998779296875
1986-07-14,33.277999877929695
1986-07-15,33.28200149536133
1986-07-16,33.275001525878906
1986-07-17,33.272998809814446
1986-07-18,33.285999298095696
1986-07-19,33.29199981689453
1986-07-20,33.285999298095696
1986-07-21,33.29600143432617
1986-07-22,33.27000045776367
1986-07-23,33.29600143432617
1986-07-24,33.30599975585937
1986-07-25,33.30899810791016
1986-07-26,33.330001831054695
1986-07-27,33.327999114990234
1986-07-28,33.320999145507805
1986-07-29,33.333999633789055
1986-07-30,33.32899856567383
1986-07-31,33.338001251220696
1986-08-01,33.345001220703125
1986-08-02,
1986-08-03,
1986-08-04,
1986-08-05,
1986-08-06,
1986-08-07,
1986-08-08,
1986-08-09,
1986-08-10,
1986-08-11,
1986-08-12,
1986-08-13,
1986-08-14,
1986-08-15,
1986-08-16,
1986-08-17,
1986-08-18,
1986-08-19,
1986-08-20,
1986-08-21,
1986-08-22,
1986-08-23,
1986-08-24,
1986-08-25,
1986-08-26,
1986-08-27,
1986-08-28,
1986-08-29,
1986-08-30,
1986-08-31,
1986-09-01,
1986-09-02,
1986-09-03,
1986-09-04,
1986-09-05,
1986-09-06,
1986-09-07,
1986-09-08,
1986-09-09,
1986-09-10,
1986-09-11,
1986-09-12,
1986-09-13,
1986-09-14,
1986-09-15,
1986-09-16,
1986-09-17,
1986-09-18,
1986-09-19,
1986-09-20,
1986-09-21,
1986-09-22,
1986-09-23,
1986-09-24,
1986-09-25,
1986-09-26,
1986-09-27,
1986-09-28,
1986-09-29,
1986-09-30,
1986-10-01,
1986-10-02,
1986-10-03,
1986-10-04,
1986-10-05,
1986-10-06,
1986-10-07,
1986-10-08,
1986-10-09,
1986-10-10,
1986-10-11,
1986-10-12,
1986-10-13,
1986-10-14,
1986-10-15,33.09299850463867
1986-10-16,33.09600067138672
1986-10-17,33.09600067138672
1986-10-18,33.097999572753906
1986-10-19,33.09999847412109
1986-10-20,33.080001831054695
1986-10-21,33.083999633789055
1986-10-22,33.07699966430664
1986-10-23,33.07400131225586
1986-10-24,33.07699966430664
1986-10-25,33.06100082397461
1986-10-26,33.069000244140625
1986-10-27,33.060001373291016
1986-10-28,33.077999114990234
1986-10-29,33.070999145507805
1986-10-30,33.05899810791016
1986-10-31,33.075000762939446
1986-11-01,33.06800079345703
1986-11-02,33.040000915527344
1986-11-03,33.02899932861328
1986-11-04,33.029998779296875
1986-11-05,33.03499984741211
1986-11-06,33.0260009765625
1986-11-07,33.02199935913086
1986-11-08,33.01900100708008
1986-11-09,33.018001556396484
1986-11-10,33.014999389648445
1986-11-11,33.01300048828125
1986-11-12,33.013999938964844
1986-11-13,33.005001068115234
1986-11-14,33.00699996948242
1986-11-15,33.0
1986-11-16,33.00400161743164
1986-11-17,33.001998901367195
1986-11-18,32.99700164794922
1986-11-19,32.987998962402344
1986-11-20,32.98600006103516
1986-11-21,32.987998962402344
1986-11-22,32.987998962402344
1986-11-23,32.98199844360352
1986-11-24,32.990001678466804
1986-11-25,32.992000579833984
1986-11-26,32.97900009155273
1986-11-27,32.97999954223633
1986-11-28,32.976001739501946
1986-11-29,32.96900177001953
1986-11-30,32.965999603271484
1986-12-01,32.963001251220696
1986-12-02,32.958999633789055
1986-12-03,32.952999114990234
1986-12-04,32.945999145507805
1986-12-05,32.942001342773445
1986-12-06,32.937999725341804
1986-12-07,32.92699813842773
1986-12-08,32.9370002746582
1986-12-09,32.932998657226555
1986-12-10,32.93099975585937
1986-12-11,32.928001403808594
1986-12-12,32.91699981689453
1986-12-13,32.917999267578125
1986-12-14,32.915000915527344
1986-12-15,32.90900039672852
1986-12-16,32.90800094604492
1986-12-17,32.902999877929695
1986-12-18,32.90200042724609
1986-12-19,32.89500045776367
1986-12-20,32.88800048828125
1986-12-21,32.887001037597656
1986-12-22,32.88800048828125
1986-12-23,32.876998901367195
1986-12-24,32.87799835205078
1986-12-25,32.862998962402344
1986-12-26,32.86800003051758
1986-12-27,32.867000579833984
1986-12-28,32.86100006103516
1986-12-29,32.85400009155273
1986-12-30,32.85300064086914
1986-12-31,32.8489990234375
1987-01-01,32.84000015258789
1987-01-02,32.84400177001953
1987-01-03,32.834999084472656
1987-01-04,32.834999084472656
1987-01-05,32.833999633789055
1987-01-06,32.82699966430664
1987-01-07,32.83100128173828
1987-01-08,32.830001831054695
1987-01-09,32.820999145507805
1987-01-10,32.820999145507805
1987-01-11,32.81999969482422
1987-01-12,32.814998626708984
1987-01-13,32.82199859619141
1987-01-14,32.819000244140625
1987-01-15,32.80699920654297
1987-01-16,32.80500030517578
1987-01-17,32.80500030517578
1987-01-18,32.790000915527344
1987-01-19,32.792999267578125
1987-01-20,32.79199981689453
1987-01-21,32.791000366210945
1987-01-22,32.779998779296875
1987-01-23,32.77700042724609
1987-01-24,32.772998809814446
1987-01-25,32.773998260498054
1987-01-26,32.775001525878906
1987-01-27,32.77199935913086
1987-01-28,32.76599884033203
1987-01-29,32.766998291015625
1987-01-30,32.76300048828125
1987-01-31,32.761001586914055
1987-02-01,32.761001586914055
1987-02-02,32.75400161743164
1987-02-03,32.75299835205078
1987-02-04,32.751998901367195
1987-02-05,32.748001098632805
1987-02-06,32.75
1987-02-07,32.74300003051758
1987-02-08,32.738998413085945
1987-02-09,32.740001678466804
1987-02-10,32.73099899291992
1987-02-11,32.735000610351555
1987-02-12,32.72499847412109
1987-02-13,32.72499847412109
1987-02-14,32.722999572753906
1987-02-15,32.72499847412109
1987-02-16,32.722999572753906
1987-02-17,32.71799850463867
1987-02-18,32.715999603271484
1987-02-19,32.71699905395508
