Datetime,Water Level (m)
1964-10-17,0.6520000100135803
1964-10-18,0.6549999713897705
1964-10-19,0.6830000281333923
1964-10-20,0.7070000171661377
1964-10-21,0.722000002861023
1964-10-22,0.718999981880188
1964-10-23,0.722000002861023
1964-10-24,0.6949999928474426
1964-10-25,0.7070000171661377
1964-10-26,0.7129999995231628
1964-10-27,0.6890000104904175
1964-10-28,0.6980000138282776
1964-10-29,0.6830000281333923
1964-10-30,0.6830000281333923
1964-10-31,0.6679999828338623
1964-11-01,0.6489999890327454
1964-11-02,0.6579999923706055
1964-11-03,0.6460000276565552
1964-11-04,0.6399999856948853
1964-11-05,0.6370000243186951
1964-11-06,0.6520000100135803
1964-11-07,0.6460000276565552
1964-11-08,0.6399999856948853
1964-11-09,0.6340000033378601
1964-11-10,0.6399999856948853
1964-11-11,0.6190000176429749
1964-11-12,0.6159999966621399
1964-11-13,0.6159999966621399
1964-11-14,0.6100000143051147
1964-11-15,0.5759999752044678
1964-11-16,0.5669999718666077
1964-11-17,0.5699999928474426
1964-11-18,0.5669999718666077
1964-11-19,0.5640000104904175
1964-11-20,0.5609999895095825
1964-11-21,0.5550000071525574
1964-11-22,0.5550000071525574
1964-11-23,0.5550000071525574
1964-11-24,0.5490000247955322
1964-11-25,0.5389999747276306
1964-11-26,
1964-11-27,0.5059999823570251
1964-11-28,0.4939999878406525
1964-11-29,
1964-11-30,0.5519999861717224
1964-12-01,
1964-12-02,
1964-12-03,
1964-12-04,
1964-12-05,
1964-12-06,
1964-12-07,
1964-12-08,
1964-12-09,
1964-12-10,
1964-12-11,
1964-12-12,
1964-12-13,
1964-12-14,
1964-12-15,
1964-12-16,
1964-12-17,
1964-12-18,0.4909999966621399
1964-12-19,
1964-12-20,
1964-12-21,
1964-12-22,
1964-12-23,
1964-12-24,
1964-12-25,
1964-12-26,
1964-12-27,
1964-12-28,
1964-12-29,
1964-12-30,
1964-12-31,
1965-01-01,
1965-01-02,
1965-01-03,
1965-01-04,
1965-01-05,
1965-01-06,
1965-01-07,
1965-01-08,
1965-01-09,
1965-01-10,
1965-01-11,
1965-01-12,
1965-01-13,
1965-01-14,
1965-01-15,
1965-01-16,
1965-01-17,
1965-01-18,
1965-01-19,
1965-01-20,
1965-01-21,
1965-01-22,
1965-01-23,
1965-01-24,
1965-01-25,
1965-01-26,
1965-01-27,
1965-01-28,
1965-01-29,
1965-01-30,
1965-01-31,
1965-02-01,
1965-02-02,
1965-02-03,
1965-02-04,
1965-02-05,
1965-02-06,
1965-02-07,
1965-02-08,
1965-02-09,
1965-02-10,
1965-02-11,
1965-02-12,
1965-02-13,
1965-02-14,
1965-02-15,
1965-02-16,
1965-02-17,
1965-02-18,
1965-02-19,
1965-02-20,
1965-02-21,
1965-02-22,0.5299999713897705
1965-02-23,0.5239999890327454
1965-02-24,0.5120000243186951
1965-02-25,0.5059999823570251
1965-02-26,0.5059999823570251
1965-02-27,0.5
1965-02-28,0.5
1965-03-01,0.5
1965-03-02,0.4850000143051148
1965-03-03,0.4819999933242798
1965-03-04,0.4819999933242798
1965-03-05,0.4819999933242798
1965-03-06,0.4749999940395355
1965-03-07,0.4749999940395355
1965-03-08,0.4629999995231629
1965-03-09,0.4569999873638153
1965-03-10,0.4510000050067902
1965-03-11,0.4510000050067902
1965-03-12,0.4480000138282776
1965-03-13,0.4390000104904175
1965-03-14,0.4390000104904175
1965-03-15,0.43299999833107
1965-03-16,0.4269999861717224
1965-03-17,0.4269999861717224
1965-03-18,0.4210000038146973
1965-03-19,0.4210000038146973
1965-03-20,0.4149999916553497
1965-03-21,0.4149999916553497
1965-03-22,0.4110000133514404
1965-03-23,0.4079999923706055
1965-03-24,0.4020000100135803
1965-03-25,0.3989999890327453
1965-03-26,0.3840000033378601
