Datetime,Water Level (m)
1945-04-01,1.0149999856948853
1945-04-02,
1945-04-03,
1945-04-04,
1945-04-05,
1945-04-06,1.097000002861023
1945-04-07,1.0549999475479126
1945-04-08,
1945-04-09,
1945-04-10,
1945-04-11,
1945-04-12,
1945-04-13,
1945-04-14,
1945-04-15,1.100000023841858
1945-04-16,
1945-04-17,
1945-04-18,
1945-04-19,1.128000020980835
1945-04-20,
1945-04-21,
1945-04-22,
1945-04-23,1.1670000553131104
1945-04-24,
1945-04-25,
1945-04-26,1.2039999961853027
1945-04-27,
1945-04-28,
1945-04-29,
1945-04-30,1.2369999885559082
1945-05-01,
1945-05-02,1.2680000066757202
1945-05-03,
1945-05-04,1.3619999885559082
1945-05-05,
1945-05-06,1.3869999647140503
1945-05-07,
1945-05-08,
1945-05-09,1.5119999647140503
1945-05-10,1.5449999570846558
1945-05-11,1.6059999465942385
1945-05-12,1.6399999856948853
1945-05-13,
1945-05-14,1.7829999923706057
1945-05-15,
1945-05-16,1.9570000171661377
1945-05-17,
1945-05-18,2.0969998836517334
1945-05-19,2.191999912261964
1945-05-20,
1945-05-21,2.365000009536743
1945-05-22,
1945-05-23,2.4749999046325684
1945-05-24,
1945-05-25,2.602999925613404
1945-05-26,
1945-05-27,2.678999900817871
1945-05-28,
1945-05-29,2.743000030517578
1945-05-30,
1945-05-31,2.760999917984009
1945-06-01,
1945-06-02,2.7980000972747803
1945-06-03,
1945-06-04,2.812999963760376
1945-06-05,
1945-06-06,2.8220000267028813
1945-06-07,
1945-06-08,2.8220000267028813
1945-06-09,
1945-06-10,2.8220000267028813
1945-06-11,
1945-06-12,2.8559999465942383
1945-06-13,
1945-06-14,2.880000114440918
1945-06-15,
1945-06-16,2.885999917984009
1945-06-17,
1945-06-18,2.8959999084472656
1945-06-19,2.8959999084472656
1945-06-20,2.880000114440918
1945-06-21,
1945-06-22,2.880000114440918
1945-06-23,
1945-06-24,2.865000009536743
1945-06-25,
1945-06-26,2.852999925613404
1945-06-27,
1945-06-28,2.8289999961853027
1945-06-29,
1945-06-30,2.8350000381469727
1945-07-01,
1945-07-02,2.8350000381469727
1945-07-03,
1945-07-04,2.8250000476837163
1945-07-05,
1945-07-06,2.809999942779541
1945-07-07,
1945-07-08,
1945-07-09,2.743000030517578
1945-07-10,
1945-07-11,2.700999975204468
1945-07-12,
1945-07-13,
1945-07-14,2.6459999084472656
1945-07-15,
1945-07-16,
1945-07-17,
1945-07-18,2.621000051498413
1945-07-19,2.499000072479248
1945-07-20,
1945-07-21,2.5450000762939453
1945-07-22,2.575999975204468
1945-07-23,
1945-07-24,
1945-07-25,2.5360000133514404
1945-07-26,
1945-07-27,2.515000104904175
1945-07-28,
1945-07-29,2.483999967575073
1945-07-30,
1945-07-31,2.463000059127808
1945-08-01,2.444000005722046
1945-08-02,
1945-08-03,
1945-08-04,2.4019999504089355
1945-08-05,
1945-08-06,2.377000093460083
1945-08-07,
1945-08-08,
1945-08-09,2.371000051498413
1945-08-10,2.325999975204468
1945-08-11,
1945-08-12,
1945-08-13,
1945-08-14,2.25600004196167
1945-08-15,
1945-08-16,2.2309999465942383
1945-08-17,
1945-08-18,2.181999921798706
1945-08-19,
1945-08-20,2.1549999713897705
1945-08-21,
1945-08-22,
1945-08-23,
1945-08-24,2.094000101089477
1945-08-25,
1945-08-26,2.075999975204468
1945-08-27,
1945-08-28,
1945-08-29,2.056999921798706
1945-08-30,
1945-08-31,2.0420000553131104
1945-09-01,
1945-09-02,
1945-09-03,
1945-09-04,1.9989999532699585
1945-09-05,
1945-09-06,1.996000051498413
1945-09-07,
1945-09-08,1.9780000448226929
1945-09-09,
1945-09-10,1.968999981880188
1945-09-11,
1945-09-12,
1945-09-13,
1945-09-14,1.945000052452088
1945-09-15,
1945-09-16,
1945-09-17,1.9229999780654907
1945-09-18,
1945-09-19,
1945-09-20,1.9079999923706048
1945-09-21,1.8899999856948853
1945-09-22,
1945-09-23,
1945-09-24,
1945-09-25,
1945-09-26,
1945-09-27,
1945-09-28,
1945-09-29,
1945-09-30,
1945-10-01,
1945-10-02,
1945-10-03,
1945-10-04,
1945-10-05,
1945-10-06,
1945-10-07,
1945-10-08,
1945-10-09,
1945-10-10,
1945-10-11,
1945-10-12,
1945-10-13,
1945-10-14,
1945-10-15,
1945-10-16,
1945-10-17,
1945-10-18,
1945-10-19,
1945-10-20,
1945-10-21,
1945-10-22,
1945-10-23,
1945-10-24,
1945-10-25,
1945-10-26,
1945-10-27,
1945-10-28,
1945-10-29,
1945-10-30,
1945-10-31,
1945-11-01,
1945-11-02,
1945-11-03,
1945-11-04,
1945-11-05,
1945-11-06,
1945-11-07,
1945-11-08,
1945-11-09,
1945-11-10,
1945-11-11,
1945-11-12,
1945-11-13,
1945-11-14,
1945-11-15,
1945-11-16,
1945-11-17,
1945-11-18,
1945-11-19,
1945-11-20,
1945-11-21,
1945-11-22,
1945-11-23,
1945-11-24,
1945-11-25,
1945-11-26,
1945-11-27,
1945-11-28,
1945-11-29,
1945-11-30,
1945-12-01,
1945-12-02,
1945-12-03,
1945-12-04,
1945-12-05,
1945-12-06,
1945-12-07,
1945-12-08,
1945-12-09,
1945-12-10,
1945-12-11,
1945-12-12,
1945-12-13,
1945-12-14,
1945-12-15,
1945-12-16,
1945-12-17,
1945-12-18,
1945-12-19,
1945-12-20,
1945-12-21,
1945-12-22,
1945-12-23,
1945-12-24,
1945-12-25,
1945-12-26,
1945-12-27,
1945-12-28,
1945-12-29,
1945-12-30,
1945-12-31,
1946-01-01,
1946-01-02,
1946-01-03,
1946-01-04,
1946-01-05,
1946-01-06,
1946-01-07,
1946-01-08,
1946-01-09,
1946-01-10,
1946-01-11,
1946-01-12,
1946-01-13,
1946-01-14,
1946-01-15,
1946-01-16,
1946-01-17,
1946-01-18,
1946-01-19,
1946-01-20,
1946-01-21,
1946-01-22,
1946-01-23,
1946-01-24,
1946-01-25,
1946-01-26,
1946-01-27,
1946-01-28,
1946-01-29,
1946-01-30,
1946-01-31,
1946-02-01,
1946-02-02,
1946-02-03,
1946-02-04,
1946-02-05,
1946-02-06,
1946-02-07,
1946-02-08,
1946-02-09,
1946-02-10,
1946-02-11,
1946-02-12,
1946-02-13,
1946-02-14,
1946-02-15,
1946-02-16,
1946-02-17,
1946-02-18,
1946-02-19,
1946-02-20,
1946-02-21,
1946-02-22,
1946-02-23,
1946-02-24,
1946-02-25,
1946-02-26,
1946-02-27,
1946-02-28,
1946-03-01,
1946-03-02,
1946-03-03,
1946-03-04,
1946-03-05,
1946-03-06,
1946-03-07,
1946-03-08,
1946-03-09,
1946-03-10,
1946-03-11,
1946-03-12,
1946-03-13,
1946-03-14,
1946-03-15,
1946-03-16,
1946-03-17,
1946-03-18,
1946-03-19,
1946-03-20,
1946-03-21,
1946-03-22,
1946-03-23,
1946-03-24,
1946-03-25,
1946-03-26,
1946-03-27,
1946-03-28,
1946-03-29,
1946-03-30,
1946-03-31,
1946-04-01,2.3320000171661377
1946-04-02,
1946-04-03,
1946-04-04,
1946-04-05,
1946-04-06,2.371000051498413
1946-04-07,
1946-04-08,
1946-04-09,
1946-04-10,
1946-04-11,
1946-04-12,
1946-04-13,2.4170000553131104
1946-04-14,
1946-04-15,
1946-04-16,
1946-04-17,
1946-04-18,2.4660000801086426
1946-04-19,
1946-04-20,
1946-04-21,
1946-04-22,2.5209999084472656
1946-04-23,
1946-04-24,
1946-04-25,
1946-04-26,2.5910000801086426
1946-04-27,
1946-04-28,2.621000051498413
1946-04-29,
1946-04-30,
1946-05-01,2.5209999084472656
1946-05-02,
1946-05-03,
1946-05-04,
1946-05-05,
1946-05-06,
1946-05-07,2.7950000762939453
1946-05-08,
1946-05-09,2.868000030517578
1946-05-10,
1946-05-11,2.9570000171661377
1946-05-12,3.007999897003174
1946-05-13,3.056999921798706
1946-05-14,3.0360000133514404
1946-05-15,3.0179998874664307
1946-05-16,
1946-05-17,
1946-05-18,2.9470000267028813
1946-05-19,
1946-05-20,2.9049999713897705
1946-05-21,
1946-05-22,2.8559999465942383
1946-05-23,
1946-05-24,
1946-05-25,
1946-05-26,2.755000114440918
1946-05-27,
1946-05-28,
1946-05-29,
1946-05-30,2.6429998874664307
1946-05-31,
1946-06-01,
1946-06-02,2.5480000972747803
1946-06-03,
1946-06-04,
1946-06-05,2.5480000972747803
1946-06-06,
1946-06-07,
1946-06-08,2.5480000972747803
1946-06-09,
1946-06-10,
1946-06-11,
1946-06-12,2.611999988555908
1946-06-13,
1946-06-14,
1946-06-15,2.6459999084472656
1946-06-16,
1946-06-17,2.657999992370605
1946-06-18,
1946-06-19,
1946-06-20,2.6760001182556152
1946-06-21,
1946-06-22,
1946-06-23,
1946-06-24,
1946-06-25,2.6670000553131104
1946-06-26,2.690999984741211
1946-06-27,2.700999975204468
1946-06-28,
1946-06-29,
1946-06-30,2.700999975204468
1946-07-01,
1946-07-02,
1946-07-03,
1946-07-04,2.7070000171661377
1946-07-05,
1946-07-06,
1946-07-07,
1946-07-08,
1946-07-09,
1946-07-10,2.6760001182556152
1946-07-11,
1946-07-12,
1946-07-13,2.6670000553131104
1946-07-14,
1946-07-15,
1946-07-16,
1946-07-17,2.627000093460083
1946-07-18,
1946-07-19,
1946-07-20,2.588000059127808
1946-07-21,
1946-07-22,
1946-07-23,
1946-07-24,2.499000072479248
1946-07-25,
1946-07-26,2.450999975204468
1946-07-27,
1946-07-28,2.368000030517578
1946-07-29,
1946-07-30,2.315999984741211
1946-07-31,
1946-08-01,2.25600004196167
1946-08-02,
1946-08-03,2.184999942779541
1946-08-04,
1946-08-05,2.0969998836517334
1946-08-06,
1946-08-07,2.094000101089477
1946-08-08,
1946-08-09,2.0729999542236333
1946-08-10,
1946-08-11,2.0480000972747803
1946-08-12,
1946-08-13,2.0120000839233403
1946-08-14,
1946-08-15,1.9989999532699585
1946-08-16,
1946-08-17,1.996000051498413
1946-08-18,
1946-08-19,1.965999960899353
1946-08-20,
1946-08-21,
1946-08-22,
1946-08-23,1.919999957084656
1946-08-24,1.8960000276565552
1946-08-25,
1946-08-26,1.89300000667572
1946-08-27,
1946-08-28,1.8559999465942385
1946-08-29,
1946-08-30,
1946-08-31,1.6979999542236328
1946-09-01,
1946-09-02,1.6610000133514404
1946-09-03,
1946-09-04,1.6150000095367432
1946-09-05,
1946-09-06,1.5700000524520874
1946-09-07,
1946-09-08,
1946-09-09,1.5119999647140503
1946-09-10,
1946-09-11,1.4780000448226929
1946-09-12,
1946-09-13,
1946-09-14,1.465999960899353
1946-09-15,
1946-09-16,
1946-09-17,1.4329999685287476
1946-09-18,
1946-09-19,1.4229999780654907
1946-09-20,
1946-09-21,1.4019999504089355
1946-09-22,
1946-09-23,
1946-09-24,
1946-09-25,1.378000020980835
1946-09-26,
1946-09-27,1.3619999885559082
1946-09-28,1.3559999465942385
1946-09-29,
1946-09-30,
1946-10-01,
1946-10-02,
1946-10-03,
1946-10-04,
1946-10-05,
1946-10-06,
1946-10-07,
1946-10-08,
1946-10-09,
1946-10-10,
1946-10-11,
1946-10-12,
1946-10-13,
1946-10-14,
1946-10-15,
1946-10-16,
1946-10-17,
1946-10-18,
1946-10-19,
1946-10-20,
1946-10-21,
1946-10-22,
1946-10-23,
1946-10-24,
1946-10-25,
1946-10-26,
1946-10-27,
1946-10-28,
1946-10-29,
1946-10-30,
1946-10-31,
1946-11-01,
1946-11-02,
1946-11-03,
1946-11-04,
1946-11-05,
1946-11-06,
1946-11-07,
1946-11-08,
1946-11-09,
1946-11-10,
1946-11-11,
1946-11-12,
1946-11-13,
1946-11-14,
1946-11-15,
1946-11-16,
1946-11-17,
1946-11-18,
1946-11-19,
1946-11-20,
1946-11-21,
1946-11-22,
1946-11-23,
1946-11-24,
1946-11-25,
1946-11-26,
1946-11-27,
1946-11-28,
1946-11-29,
1946-11-30,
1946-12-01,
1946-12-02,
1946-12-03,
1946-12-04,
1946-12-05,
1946-12-06,
1946-12-07,
1946-12-08,
1946-12-09,
1946-12-10,
1946-12-11,
1946-12-12,
1946-12-13,
1946-12-14,
1946-12-15,
1946-12-16,
1946-12-17,
1946-12-18,
1946-12-19,
1946-12-20,
1946-12-21,
1946-12-22,
1946-12-23,
1946-12-24,
1946-12-25,
1946-12-26,
1946-12-27,
1946-12-28,
1946-12-29,
1946-12-30,
1946-12-31,
1947-01-01,
1947-01-02,
1947-01-03,
1947-01-04,
1947-01-05,
1947-01-06,
1947-01-07,
1947-01-08,
1947-01-09,
1947-01-10,
1947-01-11,
1947-01-12,
1947-01-13,
1947-01-14,
1947-01-15,
1947-01-16,
1947-01-17,
1947-01-18,
1947-01-19,
1947-01-20,
1947-01-21,
1947-01-22,
1947-01-23,
1947-01-24,
1947-01-25,
1947-01-26,
1947-01-27,
1947-01-28,
1947-01-29,
1947-01-30,
1947-01-31,
1947-02-01,
1947-02-02,
1947-02-03,
1947-02-04,
1947-02-05,
1947-02-06,
1947-02-07,
1947-02-08,
1947-02-09,
1947-02-10,
1947-02-11,
1947-02-12,
1947-02-13,
1947-02-14,
1947-02-15,
1947-02-16,
1947-02-17,
1947-02-18,
1947-02-19,
1947-02-20,
1947-02-21,
1947-02-22,
1947-02-23,
1947-02-24,
1947-02-25,
1947-02-26,
1947-02-27,
1947-02-28,
1947-03-01,
1947-03-02,
1947-03-03,
1947-03-04,
1947-03-05,
1947-03-06,
1947-03-07,
1947-03-08,
1947-03-09,
1947-03-10,
1947-03-11,
1947-03-12,
1947-03-13,
1947-03-14,
1947-03-15,
1947-03-16,
1947-03-17,
1947-03-18,
1947-03-19,
1947-03-20,
1947-03-21,
1947-03-22,
1947-03-23,
1947-03-24,
1947-03-25,
1947-03-26,
1947-03-27,
1947-03-28,
1947-03-29,
1947-03-30,
1947-03-31,
1947-04-01,1.6979999542236328
1947-04-02,
1947-04-03,1.7070000171661377
1947-04-04,
1947-04-05,1.7220000028610232
