Datetime,Water Level (m)
1961-04-24,1.4329999685287476
1961-04-25,1.4390000104904177
1961-04-26,1.4479999542236328
1961-04-27,1.4630000591278076
1961-04-28,1.475000023841858
1961-04-29,1.496999979019165
1961-04-30,1.5180000066757202
1961-05-01,1.5729999542236328
1961-05-02,1.6089999675750732
1961-05-03,1.6890000104904177
1961-05-04,1.746999979019165
1961-05-05,1.7829999923706057
1961-05-06,1.8530000448226929
1961-05-07,1.8869999647140503
1961-05-08,1.9420000314712524
1961-05-09,1.9839999675750728
1961-05-10,2.0420000553131104
1961-05-11,2.0999999046325684
1961-05-12,2.191999912261964
1961-05-13,2.259000062942505
1961-05-14,2.2980000972747803
1961-05-15,2.3499999046325684
1961-05-16,2.4230000972747803
1961-05-17,2.4660000801086426
1961-05-18,2.5269999504089355
1961-05-19,2.588000059127808
1961-05-20,2.681999921798706
1961-05-21,2.7860000133514404
1961-05-22,2.874000072479248
1961-05-23,2.9749999046325684
1961-05-24,3.013999938964844
1961-05-25,3.1489999294281006
1961-05-26,3.2739999294281006
1961-05-27,3.513999938964844
1961-05-28,3.6549999713897705
1961-05-29,3.760999917984009
1961-05-30,3.8440001010894775
1961-05-31,3.928999900817871
1961-06-01,4.013999938964844
1961-06-02,4.065999984741212
1961-06-03,4.142000198364259
1961-06-04,4.197000026702882
1961-06-05,4.249000072479248
1961-06-06,
1961-06-07,4.4780001640319815
1961-06-08,4.586999893188477
1961-06-09,4.6599998474121085
1961-06-10,4.670000076293945
1961-06-11,4.688000202178955
1961-06-12,4.703000068664551
1961-06-13,4.711999893188477
1961-06-14,4.723999977111816
1961-06-15,4.7210001945495605
1961-06-16,4.705999851226807
1961-06-17,4.688000202178955
1961-06-18,4.676000118255615
1961-06-19,4.6570000648498535
1961-06-20,4.590000152587892
1961-06-21,4.565999984741211
1961-06-22,4.538000106811523
1961-06-23,4.4710001945495605
1961-06-24,4.388999938964844
1961-06-25,4.301000118255615
1961-06-26,4.236999988555908
1961-06-27,4.151000022888184
1961-06-28,4.072000026702882
1961-06-29,3.9809999465942383
1961-06-30,3.868000030517578
1961-07-01,3.8280000686645512
1961-07-02,3.7030000686645512
1961-07-03,3.651999950408936
1961-07-04,3.556999921798706
1961-07-05,3.477999925613404
1961-07-06,3.4140000343322754
1961-07-07,3.3559999465942383
1961-07-08,3.2739999294281006
1961-07-09,3.1970000267028813
1961-07-10,3.0969998836517334
1961-07-11,3.0239999294281006
1961-07-12,2.990000009536743
1961-07-13,2.931999921798706
1961-07-14,2.880000114440918
1961-07-15,2.8320000171661377
1961-07-16,2.782999992370605
1961-07-17,2.740000009536743
1961-07-18,2.690999984741211
1961-07-19,2.6429998874664307
1961-07-20,2.5999999046325684
1961-07-21,2.5510001182556152
1961-07-22,2.515000104904175
1961-07-23,2.4809999465942383
1961-07-24,2.4479999542236333
1961-07-25,2.4230000972747803
1961-07-26,2.38700008392334
1961-07-27,2.338000059127808
1961-07-28,2.2890000343322754
1961-07-29,2.3010001182556152
1961-07-30,2.2799999713897705
1961-07-31,2.252000093460083
1961-08-01,2.227999925613404
1961-08-02,2.184999942779541
1961-08-03,2.1549999713897705
1961-08-04,2.128000020980835
1961-08-05,2.075999975204468
1961-08-06,2.0510001182556152
1961-08-07,2.0360000133514404
1961-08-08,2.0269999504089355
1961-08-09,1.9839999675750728
1961-08-10,1.9600000381469729
1961-08-11,1.932000041007996
1961-08-12,1.9019999504089355
1961-08-13,1.88100004196167
1961-08-14,1.843999981880188
1961-08-15,1.8380000591278085
1961-08-16,1.8109999895095823
1961-08-17,1.825999975204468
1961-08-18,1.7829999923706057
1961-08-19,1.75600004196167
1961-08-20,1.75600004196167
1961-08-21,1.7339999675750732
1961-08-22,1.725000023841858
1961-08-23,1.6890000104904177
1961-08-24,1.6790000200271606
1961-08-25,1.6729999780654907
1961-08-26,1.6670000553131104
1961-08-27,
1961-08-28,
1961-08-29,
1961-08-30,
1961-08-31,
1961-09-01,
1961-09-02,
1961-09-03,
1961-09-04,
1961-09-05,
1961-09-06,
1961-09-07,
1961-09-08,
1961-09-09,
1961-09-10,
1961-09-11,
1961-09-12,
1961-09-13,
1961-09-14,
1961-09-15,
1961-09-16,
1961-09-17,
1961-09-18,
1961-09-19,
1961-09-20,
1961-09-21,
1961-09-22,
1961-09-23,
1961-09-24,
1961-09-25,
1961-09-26,
1961-09-27,
1961-09-28,
1961-09-29,
1961-09-30,
1961-10-01,1.2009999752044678
1961-10-02,1.1920000314712524
1961-10-03,1.1799999475479126
1961-10-04,1.1579999923706057
1961-10-05,1.1430000066757202
1961-10-06,1.1699999570846558
1961-10-07,1.2009999752044678
1961-10-08,1.1859999895095823
1961-10-09,1.1799999475479126
1961-10-10,1.1699999570846558
1961-10-11,1.1699999570846558
1961-10-12,1.1979999542236328
1961-10-13,1.2070000171661377
1961-10-14,1.215999960899353
1961-10-15,1.2309999465942385
1961-10-16,1.25600004196167
1961-10-17,1.2920000553131104
1961-10-18,1.3289999961853027
1961-10-19,1.343999981880188
1961-10-20,1.3530000448226929
1961-10-21,1.3589999675750732
1961-10-22,1.36899995803833
1961-10-23,1.375
1961-10-24,1.36899995803833
1961-10-25,1.36899995803833
1961-10-26,1.36899995803833
1961-10-27,1.36899995803833
1961-10-28,1.3619999885559082
1961-10-29,1.36899995803833
1961-10-30,1.3619999885559082
1961-10-31,1.366000056266785
