Datetime,Water Level (m)
1998-01-01,743.4500122070312
1998-01-02,743.219970703125
1998-01-03,742.9600219726562
1998-01-04,742.72998046875
1998-01-05,742.47998046875
1998-01-06,742.280029296875
1998-01-07,742.030029296875
1998-01-08,741.7999877929688
1998-01-09,741.5399780273438
1998-01-10,741.27001953125
1998-01-11,740.989990234375
1998-01-12,740.7100219726562
1998-01-13,740.4600219726562
1998-01-14,740.239990234375
1998-01-15,740.0
1998-01-16,739.77001953125
1998-01-17,739.530029296875
1998-01-18,739.3499755859375
1998-01-19,739.1300048828125
1998-01-20,738.9199829101562
1998-01-21,738.75
1998-01-22,738.5700073242188
1998-01-23,738.3900146484375
1998-01-24,738.2999877929688
1998-01-25,738.1599731445312
1998-01-26,738.02001953125
1998-01-27,737.8400268554688
1998-01-28,737.72998046875
1998-01-29,737.6500244140625
1998-01-30,737.5499877929688
1998-01-31,737.4500122070312
1998-02-01,737.4000244140625
1998-02-02,737.2100219726562
1998-02-03,736.989990234375
1998-02-04,736.8200073242188
1998-02-05,736.6599731445312
1998-02-06,736.530029296875
1998-02-07,736.47998046875
1998-02-08,736.4600219726562
1998-02-09,736.3400268554688
1998-02-10,736.1300048828125
1998-02-11,735.9400024414062
1998-02-12,735.8300170898438
1998-02-13,735.780029296875
1998-02-14,735.739990234375
1998-02-15,735.739990234375
1998-02-16,735.6500244140625
1998-02-17,735.52001953125
1998-02-18,735.4600219726562
1998-02-19,735.3900146484375
1998-02-20,735.260009765625
1998-02-21,735.2000122070312
1998-02-22,735.2000122070312
1998-02-23,735.0800170898438
1998-02-24,734.9199829101562
1998-02-25,734.760009765625
1998-02-26,734.6199951171875
1998-02-27,734.4400024414062
1998-02-28,734.3300170898438
1998-03-01,734.27001953125
1998-03-02,734.1099853515625
1998-03-03,733.9299926757812
1998-03-04,733.719970703125
1998-03-05,733.489990234375
1998-03-06,733.25
1998-03-07,733.0599975585938
1998-03-08,732.9000244140625
1998-03-09,732.739990234375
1998-03-10,732.5399780273438
1998-03-11,732.4099731445312
1998-03-12,732.27001953125
1998-03-13,732.1699829101562
1998-03-14,732.1099853515625
1998-03-15,732.1199951171875
1998-03-16,732.02001953125
1998-03-17,731.8800048828125
1998-03-18,731.7100219726562
1998-03-19,731.5499877929688
1998-03-20,731.3800048828125
1998-03-21,731.239990234375
1998-03-22,731.1699829101562
1998-03-23,731.010009765625
1998-03-24,730.9099731445312
1998-03-25,730.8800048828125
1998-03-26,730.8400268554688
1998-03-27,730.75
1998-03-28,730.6900024414062
1998-03-29,730.6699829101562
1998-03-30,730.5900268554688
1998-03-31,730.469970703125
1998-04-01,730.3300170898438
1998-04-02,730.2100219726562
1998-04-03,730.0900268554688
1998-04-04,730.0
1998-04-05,729.969970703125
1998-04-06,729.8800048828125
1998-04-07,729.8099975585938
1998-04-08,729.6599731445312
1998-04-09,729.4600219726562
1998-04-10,729.3400268554688
1998-04-11,729.239990234375
1998-04-12,729.1400146484375
1998-04-13,728.97998046875
1998-04-14,728.75
1998-04-15,728.510009765625
1998-04-16,728.3300170898438
1998-04-17,728.1300048828125
1998-04-18,728.010009765625
1998-04-19,727.8900146484375
1998-04-20,727.7000122070312
1998-04-21,727.5599975585938
1998-04-22,727.4500122070312
1998-04-23,727.3800048828125
1998-04-24,727.3800048828125
1998-04-25,727.4500122070312
1998-04-26,727.5499877929688
1998-04-27,727.5599975585938
1998-04-28,727.5999755859375
1998-04-29,727.6599731445312
1998-04-30,727.719970703125
1998-05-01,727.9099731445312
1998-05-02,728.1400146484375
1998-05-03,728.4199829101562
1998-05-04,728.7100219726562
1998-05-05,728.989990234375
1998-05-06,729.2999877929688
1998-05-07,729.5800170898438
1998-05-08,729.9099731445312
1998-05-09,730.27001953125
1998-05-10,730.6099853515625
1998-05-11,730.9400024414062
1998-05-12,731.27001953125
1998-05-13,731.6500244140625
1998-05-14,732.02001953125
1998-05-15,732.3499755859375
1998-05-16,732.6300048828125
1998-05-17,732.8900146484375
1998-05-18,733.1300048828125
1998-05-19,733.3800048828125
1998-05-20,733.6199951171875
1998-05-21,733.9000244140625
1998-05-22,734.1699829101562
1998-05-23,734.47998046875
1998-05-24,734.8300170898438
1998-05-25,735.2100219726562
1998-05-26,735.6199951171875
1998-05-27,736.0399780273438
1998-05-28,736.469970703125
1998-05-29,736.77001953125
1998-05-30,737.1199951171875
1998-05-31,737.489990234375
1998-06-01,737.8599853515625
1998-06-02,738.1500244140625
1998-06-03,738.4400024414062
1998-06-04,738.6900024414062
1998-06-05,728.9400024414062
1998-06-06,739.2100219726562
1998-06-07,739.4600219726562
1998-06-08,739.6900024414062
1998-06-09,739.9500122070312
1998-06-10,740.2899780273438
1998-06-11,740.6199951171875
1998-06-12,740.9400024414062
1998-06-13,741.2100219726562
1998-06-14,741.469970703125
1998-06-15,741.780029296875
1998-06-16,742.010009765625
1998-06-17,742.22998046875
1998-06-18,742.4600219726562
1998-06-19,742.719970703125
1998-06-20,742.9500122070312
1998-06-21,743.2100219726562
1998-06-22,743.469970703125
1998-06-23,743.760009765625
1998-06-24,744.0499877929688
1998-06-25,744.3499755859375
1998-06-26,744.6099853515625
