Datetime,Water Level (m)
1982-08-01,879.885986328125
1982-08-02,879.8510131835938
1982-08-03,879.8109741210938
1982-08-04,879.7780151367188
1982-08-05,879.7559814453125
1982-08-06,879.7369995117188
1982-08-07,879.718017578125
1982-08-08,879.7050170898438
1982-08-09,879.7039794921875
1982-08-10,879.7069702148438
1982-08-11,879.7039794921875
1982-08-12,879.68798828125
1982-08-13,879.677001953125
1982-08-14,879.6649780273438
1982-08-15,879.6619873046875
1982-08-16,879.656982421875
1982-08-17,879.6510009765625
1982-08-18,879.6530151367188
1982-08-19,879.64697265625
1982-08-20,879.6420288085938
1982-08-21,879.635986328125
1982-08-22,879.635986328125
1982-08-23,879.656982421875
1982-08-24,879.64501953125
1982-08-25,879.6389770507812
1982-08-26,879.64599609375
1982-08-27,879.6519775390625
1982-08-28,879.6489868164062
1982-08-29,879.64697265625
1982-08-30,879.6420288085938
1982-08-31,879.635009765625
1982-09-01,879.6279907226562
1982-09-02,879.6270141601562
1982-09-03,879.6229858398438
1982-09-04,879.6259765625
1982-09-05,879.625
1982-09-06,879.6229858398438
1982-09-07,879.6099853515625
1982-09-08,879.6079711914062
1982-09-09,879.60302734375
1982-09-10,879.5980224609375
1982-09-11,879.614990234375
1982-09-12,879.6119995117188
1982-09-13,879.6170043945312
1982-09-14,879.6179809570312
1982-09-15,879.6129760742188
1982-09-16,879.6259765625
1982-09-17,879.6290283203125
1982-09-18,879.6309814453125
1982-09-19,879.6279907226562
1982-09-20,879.6279907226562
1982-09-21,879.6270141601562
1982-09-22,879.6160278320312
1982-09-23,879.6179809570312
1982-09-24,879.6179809570312
1982-09-25,879.6069946289062
1982-09-26,879.625
1982-09-27,879.7030029296875
1982-09-28,879.718994140625
1982-09-29,879.7050170898438
1982-09-30,879.698974609375
1982-10-01,879.6959838867188
1982-10-02,879.7000122070312
1982-10-03,879.697021484375
1982-10-04,879.7039794921875
1982-10-05,879.7130126953125
1982-10-06,879.7059936523438
1982-10-07,879.7000122070312
1982-10-08,879.6950073242188
1982-10-09,879.6939697265625
1982-10-10,879.6900024414062
1982-10-11,879.68701171875
1982-10-12,879.6829833984375
1982-10-13,879.6810302734375
1982-10-14,879.677001953125
1982-10-15,879.6740112304688
1982-10-16,879.6649780273438
1982-10-17,879.6619873046875
1982-10-18,879.6710205078125
1982-10-19,879.6820068359375
1982-10-20,879.677001953125
1982-10-21,879.6699829101562
1982-10-22,879.6690063476562
1982-10-23,879.6669921875
1982-10-24,879.6740112304688
1982-10-25,879.6740112304688
1982-10-26,879.6699829101562
1982-10-27,879.6630249023438
1982-10-28,879.6619873046875
1982-10-29,879.6640014648438
1982-10-30,879.6669921875
1982-10-31,879.6699829101562
1982-11-01,879.6649780273438
1982-11-02,879.6729736328125
1982-11-03,879.6649780273438
1982-11-04,
1982-11-05,
1982-11-06,
1982-11-07,
1982-11-08,
1982-11-09,
1982-11-10,
1982-11-11,
1982-11-12,
1982-11-13,
1982-11-14,
1982-11-15,
1982-11-16,
1982-11-17,
1982-11-18,
1982-11-19,
1982-11-20,
1982-11-21,
1982-11-22,
1982-11-23,
1982-11-24,
1982-11-25,
1982-11-26,
1982-11-27,
1982-11-28,
1982-11-29,
1982-11-30,
1982-12-01,
1982-12-02,
1982-12-03,
1982-12-04,
1982-12-05,
1982-12-06,
1982-12-07,
1982-12-08,
1982-12-09,
1982-12-10,
1982-12-11,
1982-12-12,
1982-12-13,
1982-12-14,
1982-12-15,
1982-12-16,
1982-12-17,
1982-12-18,
1982-12-19,
1982-12-20,
1982-12-21,
1982-12-22,
1982-12-23,
1982-12-24,
1982-12-25,
1982-12-26,
1982-12-27,
1982-12-28,
1982-12-29,
1982-12-30,
1982-12-31,
1983-01-01,
1983-01-02,
1983-01-03,
1983-01-04,
1983-01-05,
1983-01-06,
1983-01-07,
1983-01-08,
1983-01-09,
1983-01-10,
1983-01-11,
1983-01-12,
1983-01-13,
1983-01-14,
1983-01-15,
1983-01-16,
1983-01-17,
1983-01-18,
1983-01-19,
1983-01-20,
1983-01-21,
1983-01-22,
1983-01-23,
1983-01-24,
1983-01-25,
1983-01-26,
1983-01-27,
1983-01-28,
1983-01-29,
1983-01-30,
1983-01-31,
1983-02-01,
1983-02-02,
1983-02-03,
1983-02-04,
1983-02-05,
1983-02-06,
1983-02-07,
1983-02-08,
1983-02-09,
1983-02-10,
1983-02-11,
1983-02-12,
1983-02-13,
1983-02-14,
1983-02-15,
1983-02-16,
1983-02-17,
1983-02-18,
1983-02-19,
1983-02-20,
1983-02-21,879.906982421875
1983-02-22,879.8980102539062
1983-02-23,879.8900146484375
1983-02-24,879.8870239257812
1983-02-25,879.8829956054688
1983-02-26,879.8720092773438
1983-02-27,879.8660278320312
1983-02-28,879.8300170898438
1983-03-01,879.8170166015625
1983-03-02,879.8880004882812
1983-03-03,879.822998046875
1983-03-04,879.7919921875
1983-03-05,879.780029296875
1983-03-06,879.7940063476562
1983-03-07,879.8629760742188
1983-03-08,879.8369750976562
1983-03-09,879.7999877929688
1983-03-10,879.7639770507812
1983-03-11,879.77001953125
1983-03-12,879.7960205078125
1983-03-13,879.8079833984375
1983-03-14,879.8309936523438
1983-03-15,879.843994140625
1983-03-16,879.8400268554688
1983-03-17,879.8740234375
1983-03-18,879.958984375
1983-03-19,880.02001953125
1983-03-20,880.010009765625
1983-03-21,880.041015625
1983-03-22,880.0540161132812
1983-03-23,880.072021484375
1983-03-24,880.0859985351562
1983-03-25,880.0859985351562
1983-03-26,880.0759887695312
1983-03-27,880.0789794921875
1983-03-28,880.0780029296875
1983-03-29,880.0819702148438
1983-03-30,880.0789794921875
1983-03-31,880.0789794921875
1983-04-01,880.0809936523438
1983-04-02,880.0830078125
1983-04-03,880.0880126953125
1983-04-04,880.0900268554688
1983-04-05,880.0830078125
1983-04-06,880.0770263671875
1983-04-07,880.0679931640625
1983-04-08,880.06201171875
1983-04-09,880.0750122070312
1983-04-10,880.0989990234375
1983-04-11,880.1119995117188
1983-04-12,880.1199951171875
1983-04-13,880.0999755859375
1983-04-14,880.072998046875
1983-04-15,880.0540161132812
1983-04-16,880.0120239257812
1983-04-17,879.9580078125
1983-04-18,879.9609985351562
1983-04-19,879.9500122070312
1983-04-20,879.9420166015625
1983-04-21,879.9320068359375
1983-04-22,879.9249877929688
1983-04-23,879.9190063476562
1983-04-24,879.9229736328125
1983-04-25,879.9400024414062
1983-04-26,879.9710083007812
1983-04-27,880.0239868164062
1983-04-28,880.0449829101562
1983-04-29,880.0399780273438
1983-04-30,880.0490112304688
